evaluations raw_y
1 0.6758583401
4 0.6791632709
15 0.8420343550
18 0.9134088418
20 1.0351966874
22 1.0771219302
24 1.1027790031
25 1.1504832029
35 1.2658227848
46 1.2987012987
48 1.3027618551
58 1.3404825737
60 1.4409221902
65 1.5234613041
77 1.5403573629
85 1.5893197711
105 1.7277125086
113 1.8261504748
121 1.8450184502
160 2.2026431718
189 2.3041474654
230 2.4826216485
237 2.6014568158
239 2.7322404372
256 2.7746947836
276 2.9103608847
277 3.0303030303
311 3.2425421530
328 3.2851511170
410 3.3829499323
475 3.4867503487
694 3.6179450072
829 3.6496350365
100000 3.6496350365
evaluations raw_y
1 3.6496350365
100000 3.0229746070
evaluations raw_y
1 3.1685678074
209 3.2938076416
456 3.6496350365
100000 2.8968713789
evaluations raw_y
1 3.6496350365
100000 3.6496350365
evaluations raw_y
1 3.6496350365
100000 3.6496350365
evaluations raw_y
1 2.8768699655
314 3.0376670717
350 3.1446540881
418 3.2010243278
423 3.2765399738
458 3.4106412005
479 3.5161744023
611 3.5460992908
627 3.5971223022
630 3.6927621861
644 3.8167938931
1090 3.8284839204
100000 2.4975024975
evaluations raw_y
1 3.6390101892
54 3.8284839204
100000 3.1766200762
evaluations raw_y
1 3.8284839204
100000 3.8284839204
evaluations raw_y
1 2.7685492802
2 2.7746947836
41 3.0229746070
372 3.2679738562
375 3.2938076416
591 3.5063113604
781 3.5561877667
848 3.7369207773
1275 3.8402457757
1453 3.9001560062
100000 3.1928480204
evaluations raw_y
1 3.3467202142
38 3.9001560062
37771 3.9246467818
100000 3.2765399738
evaluations raw_y
1 1.1504832029
2 1.2212994626
79 1.2309207287
186 1.2531328321
203 1.3668671405
285 1.3912075682
292 1.4212620807
479 1.5537600994
484 1.5595757954
486 1.5893197711
495 1.5933715743
497 1.7543859649
3986 1.8422991894
7410 2.1385799829
7411 2.2341376229
98771 2.2421524664
100000 1.0579771477
evaluations raw_y
1 1.0395010395
4 1.1494252874
6 1.1990407674
7 1.2543903663
18 1.2761613068
20 1.3758943313
23 1.5792798484
24 1.6789791807
1446 1.6835016835
2500 1.7494751575
2881 1.7869907076
3754 1.9098548510
5294 1.9425019425
10586 1.9669551534
10591 2.0955574183
14609 2.1385799829
100000 1.0734220696
evaluations raw_y
1 1.0780508840
2 1.0883761428
5 1.1235955056
40 1.1452130096
41 1.1731581417
93 1.3819789939
138 1.5365703749
140 1.5893197711
142 1.6223231668
979 1.6265452180
1776 1.6880486158
1780 1.7972681524
1962 1.8450184502
1966 1.9577133908
21972 2.0374898126
60812 2.0441537204
65888 2.1872265967
80253 2.1987686895
100000 1.1317338162
evaluations raw_y
1 1.1317338162
4 1.1368804002
111 1.1633317822
112 1.2260912212
115 1.3506212858
121 1.3579576317
149 1.5852885225
636 1.5933715743
638 1.6056518947
641 1.7253278123
1707 1.7818959373
2547 1.7998560115
5807 1.8129079043
7997 1.8234865062
8003 2.1682567216
9143 2.2261798753
41782 2.2502250225
83245 2.2583559169
100000 1.0208248265
evaluations raw_y
1 1.0208248265
2 1.1286681716
19 1.1709601874
44 1.2382367509
46 1.2493753123
47 1.2658227848
54 1.2973533991
55 1.3433637829
121 1.3850415512
251 1.3865779257
253 1.4526438117
270 1.7768301350
281 1.8477457502
7474 1.9186492709
8377 1.9305019305
16130 2.1795989538
49131 2.2143489814
100000 0.5067909994
evaluations raw_y
1 0.4417741650
11 0.4571219601
21 0.4801229115
22 0.6810133479
23 0.7116424708
25 0.7913896803
27 0.8781173165
28 0.9792401097
31 1.0743446498
34 1.1944577162
35 1.2735608762
44 1.2853470437
46 1.3865779257
117 1.5893197711
118 1.7618040874
1153 1.8782870023
1155 2.0408163265
