evaluations raw_y
1 51.0000000000
10 52.0000000000
11 53.0000000000
17 55.0000000000
25 57.0000000000
29 58.0000000000
30 59.0000000000
43 60.0000000000
56 61.0000000000
65 62.0000000000
66 63.0000000000
75 64.0000000000
81 65.0000000000
83 66.0000000000
85 67.0000000000
97 68.0000000000
103 69.0000000000
144 70.0000000000
152 71.0000000000
164 72.0000000000
179 73.0000000000
182 74.0000000000
190 75.0000000000
195 76.0000000000
214 77.0000000000
225 78.0000000000
230 79.0000000000
241 80.0000000000
257 82.0000000000
300 83.0000000000
305 84.0000000000
316 85.0000000000
335 86.0000000000
380 87.0000000000
387 88.0000000000
415 89.0000000000
417 90.0000000000
482 91.0000000000
538 92.0000000000
574 93.0000000000
606 94.0000000000
674 95.0000000000
697 96.0000000000
797 97.0000000000
841 98.0000000000
1287 99.0000000000
1415 100.0000000000
evaluations raw_y
1 99.0000000000
72 100.0000000000
evaluations raw_y
1 99.0000000000
452 100.0000000000
evaluations raw_y
1 98.0000000000
745 99.0000000000
976 100.0000000000
evaluations raw_y
1 99.0000000000
138 100.0000000000
evaluations raw_y
1 99.0000000000
175 100.0000000000
evaluations raw_y
1 98.0000000000
2 99.0000000000
485 100.0000000000
evaluations raw_y
1 99.0000000000
166 100.0000000000
evaluations raw_y
1 98.0000000000
414 99.0000000000
714 100.0000000000
evaluations raw_y
1 99.0000000000
141 100.0000000000
evaluations raw_y
1 47.0000000000
2 49.0000000000
68 51.0000000000
238 53.0000000000
251 54.0000000000
259 55.0000000000
269 56.0000000000
272 57.0000000000
401 58.0000000000
404 59.0000000000
408 60.0000000000
437 61.0000000000
656 62.0000000000
1210 63.0000000000
1219 64.0000000000
1220 65.0000000000
1321 66.0000000000
18703 67.0000000000
100000 52.0000000000
evaluations raw_y
1 52.0000000000
31 53.0000000000
44 54.0000000000
51 55.0000000000
54 56.0000000000
68 57.0000000000
252 58.0000000000
265 59.0000000000
833 60.0000000000
849 61.0000000000
890 62.0000000000
891 64.0000000000
893 65.0000000000
895 66.0000000000
10145 67.0000000000
27860 69.0000000000
93039 70.0000000000
100000 50.0000000000
evaluations raw_y
1 50.0000000000
8 51.0000000000
9 52.0000000000
12 53.0000000000
681 54.0000000000
682 55.0000000000
683 56.0000000000
684 57.0000000000
686 58.0000000000
689 59.0000000000
691 60.0000000000
702 61.0000000000
711 62.0000000000
714 63.0000000000
778 64.0000000000
784 65.0000000000
791 66.0000000000
33414 67.0000000000
33418 68.0000000000
79536 69.0000000000
79541 71.0000000000
79546 72.0000000000
100000 48.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
3 50.0000000000
9 51.0000000000
33 52.0000000000
39 54.0000000000
44 55.0000000000
56 57.0000000000
751 58.0000000000
753 59.0000000000
758 60.0000000000
820 61.0000000000
836 62.0000000000
7192 64.0000000000
21623 65.0000000000
41879 66.0000000000
48505 67.0000000000
100000 53.0000000000
evaluations raw_y
1 53.0000000000
8 54.0000000000
14 56.0000000000
17 57.0000000000
22 58.0000000000
29 59.0000000000
222 60.0000000000
541 61.0000000000
6432 62.0000000000
6433 63.0000000000
