evaluations raw_y
1 -1556.0000000000
2 -1517.0000000000
4 -1478.0000000000
11 -1439.0000000000
17 -1342.0000000000
22 -1303.0000000000
28 -1274.0000000000
37 -1245.0000000000
38 -1206.0000000000
53 -1167.0000000000
54 -1128.0000000000
75 -1089.0000000000
79 -1050.0000000000
86 -1011.0000000000
93 -933.0000000000
97 -904.0000000000
99 -865.0000000000
105 -826.0000000000
108 -758.0000000000
116 -719.0000000000
129 -680.0000000000
146 -602.0000000000
165 -573.0000000000
184 -534.0000000000
187 -505.0000000000
192 -476.0000000000
194 -437.0000000000
195 -398.0000000000
200 -359.0000000000
203 -330.0000000000
207 -311.0000000000
221 -292.0000000000
236 -273.0000000000
244 -244.0000000000
266 -215.0000000000
279 -196.0000000000
282 -167.0000000000
303 -147.0000000000
305 -118.0000000000
327 -109.0000000000
357 -90.0000000000
369 -71.0000000000
481 -62.0000000000
528 -24.0000000000
562 -5.0000000000
627 -4.0000000000
637 5.0000000000
740 7.0000000000
893 8.0000000000
100000 8.0000000000
evaluations raw_y
1 8.0000000000
100000 8.0000000000
evaluations raw_y
1 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 8.0000000000
100000 8.0000000000
evaluations raw_y
1 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -11.0000000000
17 -2.0000000000
76 7.0000000000
250 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -11.0000000000
7 -2.0000000000
15 7.0000000000
314 8.0000000000
358 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -30.0000000000
33 -21.0000000000
67 -20.0000000000
123 -11.0000000000
156 -2.0000000000
283 7.0000000000
299 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1644.0000000000
6 -1605.0000000000
14 -1566.0000000000
111 -1527.0000000000
115 -1488.0000000000
128 -1410.0000000000
170 -1342.0000000000
172 -1303.0000000000
175 -1264.0000000000
261 -1254.0000000000
267 -1176.0000000000
268 -1137.0000000000
271 -1098.0000000000
302 -1078.0000000000
304 -1039.0000000000
313 -1000.0000000000
634 -972.0000000000
636 -962.0000000000
4648 -914.0000000000
13329 -894.0000000000
24814 -855.0000000000
24826 -845.0000000000
37384 -815.0000000000
61169 -806.0000000000
100000 -1585.0000000000
evaluations raw_y
1 -1585.0000000000
13 -1546.0000000000
25 -1517.0000000000
27 -1478.0000000000
32 -1400.0000000000
38 -1361.0000000000
57 -1351.0000000000
526 -1342.0000000000
532 -1303.0000000000
600 -1284.0000000000
678 -1245.0000000000
1018 -1215.0000000000
1026 -1147.0000000000
1181 -1128.0000000000
1223 -1109.0000000000
1467 -1098.0000000000
3703 -1079.0000000000
3965 -1069.0000000000
4979 -1059.0000000000
5191 -1030.0000000000
5279 -1011.0000000000
5286 -982.0000000000
5386 -981.0000000000
5387 -942.0000000000
5389 -903.0000000000
5392 -864.0000000000
5394 -796.0000000000
30951 -786.0000000000
30960 -747.0000000000
30976 -737.0000000000
73040 -719.0000000000
100000 -1205.0000000000
evaluations raw_y
1 -1244.0000000000
18 -1215.0000000000
35 -1157.0000000000
136 -1156.0000000000
143 -1117.0000000000
150 -1088.0000000000
323 -1059.0000000000
325 -1020.0000000000
328 -981.0000000000
379 -952.0000000000
382 -913.0000000000
391 -884.0000000000
392 -845.0000000000
6980 -835.0000000000
6989 -826.0000000000
6997 -816.0000000000
47331 -796.0000000000
47335 -757.0000000000
83563 -748.0000000000
100000 -1254.0000000000
evaluations raw_y
1 -1283.0000000000
145 -1245.0000000000
408 -1225.0000000000
419 -1186.0000000000
424 -1147.0000000000
442 -1137.0000000000
539 -1108.0000000000
717 -1098.0000000000
2957 -1070.0000000000
2970 -1060.0000000000
2990 -1050.0000000000
2991 -1021.0000000000
3005 -1011.0000000000
3006 -972.0000000000
3008 -933.0000000000
3011 -894.0000000000
3015 -855.0000000000
3019 -816.0000000000
31888 -797.0000000000
100000 -1663.0000000000
evaluations raw_y
1 -1702.0000000000
2 -1663.0000000000
4 -1624.0000000000
45 -1595.0000000000
47 -1556.0000000000
54 -1546.0000000000
62 -1507.0000000000
65 -1478.0000000000
68 -1439.0000000000
70 -1400.0000000000
119 -1371.0000000000
126 -1342.0000000000
130 -1332.0000000000
133 -1293.0000000000
158 -1264.0000000000
231 -1254.0000000000
239 -1215.0000000000
249 -1176.0000000000
816 -1157.0000000000
821 -1118.0000000000
849 -1089.0000000000
861 -1050.0000000000
873 -1040.0000000000
977 -1020.0000000000
994 -962.0000000000
6297 -942.0000000000
6299 -913.0000000000
6303 -903.0000000000
25166 -806.0000000000
25191 -787.0000000000
25207 -777.0000000000
25209 -738.0000000000
65500 -719.0000000000
65517 -690.0000000000
65519 -680.0000000000
65525 -670.0000000000
100000 -1283.0000000000
evaluations raw_y
1 -1283.0000000000
171 -1264.0000000000
172 -1225.0000000000
176 -1196.0000000000
197 -1157.0000000000
202 -1089.0000000000
230 -1070.0000000000
231 -1031.0000000000
317 -1030.0000000000
3303 -1021.0000000000
4556 -1001.0000000000
5631 -991.0000000000
8396 -973.0000000000
