evaluations raw_y
1 6.2000000000
5 6.4000000000
11 6.6000000000
13 6.8000000000
15 7.2000000000
16 7.4000000000
17 7.6000000000
18 7.8000000000
23 8.0000000000
25 8.2000000000
33 8.4000000000
35 8.6000000000
38 8.8000000000
56 9.0000000000
83 9.2000000000
90 9.4000000000
91 9.6000000000
93 9.8000000000
97 10.0000000000
99 10.2000000000
107 10.4000000000
108 10.6000000000
116 10.8000000000
128 11.0000000000
130 11.2000000000
146 11.4000000000
147 11.6000000000
158 11.8000000000
179 12.0000000000
189 12.2000000000
198 12.4000000000
200 12.6000000000
210 12.8000000000
214 13.0000000000
237 13.2000000000
255 13.4000000000
275 13.6000000000
285 13.8000000000
300 14.0000000000
308 14.2000000000
333 14.4000000000
401 14.6000000000
454 14.8000000000
563 15.0000000000
601 15.2000000000
613 15.4000000000
897 15.6000000000
972 15.8000000000
1159 16.0000000000
100000 16.0000000000
evaluations raw_y
1 16.0000000000
100000 16.0000000000
evaluations raw_y
1 16.0000000000
100000 15.8000000000
evaluations raw_y
1 15.8000000000
241 16.0000000000
100000 16.0000000000
evaluations raw_y
1 16.0000000000
100000 15.8000000000
evaluations raw_y
1 16.0000000000
100000 16.0000000000
evaluations raw_y
1 15.8000000000
43 16.0000000000
100000 15.6000000000
evaluations raw_y
1 16.0000000000
100000 16.0000000000
evaluations raw_y
1 16.0000000000
100000 15.8000000000
evaluations raw_y
1 15.8000000000
66 16.0000000000
100000 15.8000000000
evaluations raw_y
1 6.4000000000
2 6.6000000000
4 6.8000000000
19 7.0000000000
20 7.2000000000
66 8.0000000000
143 8.2000000000
145 8.4000000000
155 8.6000000000
170 8.8000000000
183 9.0000000000
187 9.2000000000
879 9.8000000000
945 10.0000000000
10520 10.2000000000
39290 10.4000000000
67805 10.6000000000
94021 10.8000000000
100000 5.4000000000
evaluations raw_y
1 5.4000000000
4 5.6000000000
6 5.8000000000
9 6.0000000000
12 6.2000000000
13 6.4000000000
14 6.6000000000
15 6.8000000000
34 7.0000000000
39 7.2000000000
120 7.4000000000
127 7.6000000000
128 7.8000000000
356 8.4000000000
368 8.6000000000
373 9.4000000000
375 9.6000000000
784 9.8000000000
983 10.0000000000
993 10.2000000000
4644 10.6000000000
6672 10.8000000000
6674 11.0000000000
6675 11.2000000000
100000 5.6000000000
evaluations raw_y
1 5.6000000000
17 6.2000000000
70 6.4000000000
72 6.6000000000
73 6.8000000000
76 7.8000000000
112 8.0000000000
115 8.2000000000
120 8.4000000000
129 8.6000000000
133 8.8000000000
139 9.0000000000
145 9.2000000000
1390 9.4000000000
1525 10.2000000000
7232 10.4000000000
51874 10.6000000000
86878 10.8000000000
86892 11.0000000000
87845 11.6000000000
100000 4.4000000000
evaluations raw_y
1 4.2000000000
6 5.2000000000
10 5.4000000000
20 5.6000000000
21 6.6000000000
71 7.0000000000
198 7.6000000000
213 7.8000000000
361 8.4000000000
411 9.0000000000
412 9.2000000000
415 9.4000000000
982 10.0000000000
26073 10.4000000000
26083 10.6000000000
100000 5.4000000000
evaluations raw_y
1 5.4000000000
4 5.6000000000
26 5.8000000000
35 6.0000000000
38 6.2000000000
39 6.4000000000
40 6.6000000000
42 7.6000000000
43 8.0000000000
496 9.0000000000
4999 9.2000000000
5457 10.0000000000
5468 10.2000000000
10297 10.6000000000
95688 11.0000000000
100000 5.8000000000
evaluations raw_y
1 5.8000000000
15 6.0000000000
57 6.2000000000
61 6.4000000000
64 6.6000000000
159 6.8000000000
183 7.6000000000
352 7.8000000000
424 8.0000000000
425 8.2000000000
433 8.6000000000
434 8.8000000000
438 9.0000000000
443 9.2000000000
455 9.4000000000
460 9.6000000000
7412 9.8000000000
14342 10.0000000000
14344 10.2000000000
14346 10.4000000000
14348 10.6000000000
57178 11.2000000000
100000 6.0000000000
evaluations raw_y
1 6.0000000000
8 7.0000000000
95 7.4000000000
96 8.4000000000
97 8.6000000000
103 8.8000000000
105 9.0000000000
106 9.2000000000
108 9.4000000000
116 9.6000000000
118 9.8000000000
165 10.0000000000
166 10.2000000000
167 10.4000000000
41204 11.0000000000
41208 11.2000000000
100000 7.4000000000
evaluations raw_y
1 7.2000000000
35 7.4000000000
44 8.2000000000
46 9.2000000000
3316 9.4000000000
3347 9.8000000000
3402 10.0000000000
3436 10.4000000000
38265 10.6000000000
38267 10.8000000000
96185 11.0000000000
100000 9.0000000000
evaluations raw_y
1 9.0000000000
226 9.2000000000
227 9.4000000000
229 9.6000000000
245 9.8000000000
3445 10.0000000000
3446 10.2000000000
3493 10.6000000000
75959 10.8000000000
75963 11.2000000000
75964 11.4000000000
100000 6.8000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
10 7.8000000000
11 8.0000000000
17 8.2000000000
222 8.6000000000
224 9.6000000000
923 10.0000000000
924 11.0000000000
49959 11.2000000000
92076 11.4000000000
92078 11.6000000000
92079 11.8000000000
100000 8.0000000000
evaluations raw_y
1 7.0000000000
2 7.2000000000
3 8.8000000000
23 10.4000000000
32 10.6000000000
42 10.8000000000
50 11.0000000000
61 11.2000000000
88 11.4000000000
107 11.6000000000
120 11.8000000000
140 12.0000000000
144 12.2000000000
162 12.4000000000
191 12.6000000000
201 12.8000000000
228 13.0000000000
242 13.2000000000
267 13.4000000000
283 13.6000000000
302 13.8000000000
319 14.0000000000
341 14.2000000000
373 14.4000000000
378 14.6000000000
488 14.8000000000
509 15.0000000000
558 15.2000000000
568 15.4000000000
661 15.6000000000
673 15.8000000000
680 16.0000000000
694 16.2000000000
933 16.4000000000
971 16.6000000000
1822 16.8000000000
100000 16.8000000000
evaluations raw_y
1 16.8000000000
100000 16.8000000000
evaluations raw_y
1 16.6000000000
2 16.8000000000
100000 16.8000000000
evaluations raw_y
1 16.8000000000
100000 16.8000000000
evaluations raw_y
1 16.8000000000
100000 16.8000000000
evaluations raw_y
1 16.8000000000
100000 16.8000000000
evaluations raw_y
1 16.8000000000
100000 16.6000000000
evaluations raw_y
1 16.8000000000
100000 16.8000000000
evaluations raw_y
1 16.6000000000
2 16.8000000000
100000 16.6000000000
evaluations raw_y
1 15.8000000000
2 16.8000000000
100000 16.8000000000
evaluations raw_y
1 6.6000000000
2 6.8000000000
10 7.0000000000
12 8.6000000000
29 8.8000000000
1245 9.4000000000
1378 10.4000000000
18689 10.8000000000
18817 11.0000000000
18856 11.2000000000
52329 11.4000000000
100000 5.2000000000
evaluations raw_y
1 6.2000000000
6 7.2000000000
8 7.6000000000
81 8.0000000000
82 8.6000000000
129 9.0000000000
188 9.4000000000
205 9.8000000000
6173 10.0000000000
6267 10.8000000000
100000 4.2000000000
evaluations raw_y
1 4.2000000000
2 5.8000000000
4 6.0000000000
5 6.4000000000
15 7.0000000000
197 7.2000000000
307 7.4000000000
371 8.0000000000
653 8.8000000000
979 9.0000000000
2499 9.2000000000
2533 9.6000000000
2668 9.8000000000
2679 10.0000000000
2845 10.4000000000
4485 10.8000000000
4712 11.0000000000
4721 11.2000000000
4784 11.4000000000
100000 6.6000000000
evaluations raw_y
1 6.8000000000
7 7.0000000000
29 7.4000000000
31 7.6000000000
98 7.8000000000
153 8.4000000000
279 8.6000000000
1071 8.8000000000
1190 9.0000000000
1622 9.2000000000
2411 9.6000000000
2569 9.8000000000
2577 10.0000000000
2687 10.2000000000
15817 10.4000000000
15880 10.6000000000
36490 11.0000000000
100000 6.0000000000
evaluations raw_y
1 6.4000000000
2 7.4000000000
4 8.2000000000
57 8.8000000000
166 9.0000000000
306 9.4000000000
