evaluations raw_y
1 -0.4527351810
2 -0.4522954518
3 -0.4499539964
5 -0.4419746609
6 -0.4398878719
11 -0.4330352166
22 -0.4292447847
23 -0.4291877219
30 -0.4287390759
31 -0.4274985423
54 -0.4267204507
58 -0.4221578728
60 -0.4170561598
87 -0.4098357134
93 -0.4080643344
103 -0.4072714889
105 -0.3989607393
118 -0.3982197219
123 -0.3916863188
132 -0.3835481418
142 -0.3801078526
164 -0.3743205841
194 -0.3656933781
197 -0.3645009480
219 -0.3591920721
223 -0.3551960538
249 -0.3544550364
250 -0.3499411488
272 -0.3496294739
295 -0.3495724110
329 -0.3440008241
331 -0.3427705339
349 -0.3388858533
351 -0.3345206676
377 -0.3334432604
412 -0.3311355100
569 -0.3305189277
586 -0.3296906161
622 -0.3283664124
639 -0.3233440301
722 -0.3170559778
814 -0.3138057570
1132 -0.3133256370
1329 -0.3130015987
1357 -0.3122393010
8296 -0.3109133031
34090 -0.3103257420
34353 -0.3093247016
34531 -0.3091982962
34577 -0.3038786603
57481 -0.3028022732
58640 -0.3020399754
74218 -0.3005247151
100000 -0.3012870129
evaluations raw_y
1 -0.3005247151
100000 -0.3005247151
evaluations raw_y
1 -0.3005247151
96405 -0.3004069076
100000 -0.3004069076
evaluations raw_y
1 -0.3004069076
100000 -0.3004069076
evaluations raw_y
1 -0.3113019725
301 -0.3004069076
100000 -0.3004069076
evaluations raw_y
1 -0.3067845509
393 -0.3004069076
100000 -0.3089209300
evaluations raw_y
1 -0.3101273444
410 -0.3004069076
100000 -0.3027146580
evaluations raw_y
1 -0.3004069076
100000 -0.3004069076
evaluations raw_y
1 -0.3004069076
100000 -0.3052184390
evaluations raw_y
1 -0.3004069076
100000 -0.3040934663
evaluations raw_y
1 -0.5277912957
3 -0.5238414071
5 -0.5231212729
6 -0.5201282912
7 -0.5183041510
11 -0.5145066497
20 -0.5127841856
22 -0.5105262557
77 -0.5070227353
159 -0.4989021229
167 -0.4973984804
169 -0.4967024295
170 -0.4945440902
215 -0.4908501628
221 -0.4844366017
233 -0.4792211601
242 -0.4773824136
249 -0.4748793410
272 -0.4718004800
273 -0.4694590245
280 -0.4585069340
288 -0.4530110396
580 -0.4522593304
583 -0.4519352921
1448 -0.4490159486
1454 -0.4472774776
3475 -0.4453204789
3477 -0.4447791469
3502 -0.4437453119
3503 -0.4408220514
3561 -0.4336690527
3563 -0.4299347737
3564 -0.4292453570
28439 -0.4256864890
28445 -0.4247816961
28456 -0.4232621584
70744 -0.4198667880
100000 -0.4675068480
evaluations raw_y
1 -0.4675068480
2 -0.4621160657
7 -0.4574211381
635 -0.4558276984
637 -0.4458325338
4433 -0.4451049191
4434 -0.4375670174
21767 -0.4355583366
35150 -0.4279685990
57115 -0.4257030109
57117 -0.4226553460
57120 -0.4223492191
57121 -0.4189429323
57137 -0.4189073880
100000 -0.5036400839
evaluations raw_y
1 -0.5054430363
2 -0.4870056043
3 -0.4850979472
53 -0.4808804668
56 -0.4790085291
69 -0.4781511799
71 -0.4760286474
74 -0.4748362173
78 -0.4663250512
119 -0.4633559953
152 -0.4625082712
1773 -0.4549658979
4857 -0.4484832465
6020 -0.4470839441
8871 -0.4469357710
10877 -0.4448389645
10878 -0.4408890760
10881 -0.4402254707
10882 -0.4399193438
17133 -0.4380835057
17136 -0.4368910756
17160 -0.4358585443
31274 -0.4328542225
31279 -0.4279560596
31288 -0.4219246522
32853 -0.4206471882
32857 -0.4118924537
32862 -0.4064694114
100000 -0.5332075894
evaluations raw_y
1 -0.5308998390
5 -0.5232126098
8 -0.5206183581
10 -0.5121043357
12 -0.5041079027
