evaluations raw_y
1 2365.0000000000
4 2457.0000000000
8 2472.0000000000
15 2497.0000000000
24 2608.0000000000
27 2659.0000000000
31 2665.0000000000
35 2680.0000000000
38 2744.0000000000
40 2779.0000000000
42 2864.0000000000
56 2922.0000000000
60 3021.0000000000
67 3028.0000000000
74 3150.0000000000
82 3246.0000000000
86 3260.0000000000
100 3340.0000000000
111 3358.0000000000
112 3427.0000000000
117 3495.0000000000
123 3497.0000000000
128 3519.0000000000
131 3605.0000000000
148 3652.0000000000
149 3722.0000000000
167 3766.0000000000
171 3816.0000000000
184 3878.0000000000
207 3889.0000000000
221 3955.0000000000
235 4033.0000000000
259 4059.0000000000
285 4090.0000000000
293 4105.0000000000
314 4194.0000000000
344 4253.0000000000
355 4289.0000000000
356 4323.0000000000
398 4342.0000000000
412 4343.0000000000
416 4366.0000000000
422 4385.0000000000
425 4390.0000000000
455 4483.0000000000
456 4564.0000000000
460 4600.0000000000
472 4638.0000000000
475 4691.0000000000
515 4763.0000000000
530 4767.0000000000
558 4816.0000000000
563 4898.0000000000
575 4954.0000000000
579 5011.0000000000
679 5029.0000000000
1184 5050.0000000000
evaluations raw_y
1 5029.0000000000
289 5050.0000000000
evaluations raw_y
1 5029.0000000000
186 5050.0000000000
evaluations raw_y
1 4956.0000000000
319 5029.0000000000
475 5050.0000000000
evaluations raw_y
1 4996.0000000000
61 5006.0000000000
83 5027.0000000000
638 5050.0000000000
evaluations raw_y
1 4945.0000000000
224 5027.0000000000
370 5050.0000000000
evaluations raw_y
1 5027.0000000000
51 5050.0000000000
evaluations raw_y
1 5027.0000000000
593 5050.0000000000
evaluations raw_y
1 5027.0000000000
23 5050.0000000000
evaluations raw_y
1 5027.0000000000
256 5050.0000000000
evaluations raw_y
1 2299.0000000000
2 2456.0000000000
5 2479.0000000000
6 2494.0000000000
86 2552.0000000000
90 2624.0000000000
93 2704.0000000000
235 2751.0000000000
302 2756.0000000000
305 2810.0000000000
311 2895.0000000000
312 2961.0000000000
657 2971.0000000000
660 3055.0000000000
662 3129.0000000000
680 3132.0000000000
684 3156.0000000000
687 3190.0000000000
975 3194.0000000000
5820 3224.0000000000
5826 3256.0000000000
5831 3309.0000000000
5832 3352.0000000000
5839 3417.0000000000
5849 3418.0000000000
5850 3429.0000000000
5851 3491.0000000000
75169 3507.0000000000
75170 3527.0000000000
75178 3542.0000000000
75189 3563.0000000000
100000 2466.0000000000
evaluations raw_y
1 2448.0000000000
42 2564.0000000000
44 2609.0000000000
54 2627.0000000000
56 2662.0000000000
99 2671.0000000000
101 2739.0000000000
103 2760.0000000000
104 2888.0000000000
118 2906.0000000000
166 2954.0000000000
167 2996.0000000000
1592 3039.0000000000
1613 3087.0000000000
1615 3162.0000000000
1623 3218.0000000000
1624 3219.0000000000
1632 3276.0000000000
1636 3330.0000000000
1654 3383.0000000000
12538 3394.0000000000
12562 3467.0000000000
20126 3498.0000000000
41634 3517.0000000000
100000 2567.0000000000
evaluations raw_y
1 2567.0000000000
5 2663.0000000000
8 2664.0000000000
9 2723.0000000000
15 2793.0000000000
16 2826.0000000000
217 2847.0000000000
241 2882.0000000000
267 2896.0000000000
269 2963.0000000000
279 3047.0000000000
476 3063.0000000000
477 3107.0000000000
481 3123.0000000000
747 3174.0000000000
751 3177.0000000000
755 3201.0000000000
827 3283.0000000000
828 3445.0000000000
829 3471.0000000000
25295 3478.0000000000
25296 3529.0000000000
63191 3560.0000000000
63193 3684.0000000000
63195 3694.0000000000
63198 3746.0000000000
100000 2299.0000000000
evaluations raw_y
1 2299.0000000000
5 2304.0000000000
43 2403.0000000000
49 2471.0000000000
125 2479.0000000000
126 2624.0000000000
136 2666.0000000000
142 2733.0000000000
143 2761.0000000000
145 2805.0000000000
149 2934.0000000000
150 2972.0000000000
160 2997.0000000000
168 3003.0000000000
179 3012.0000000000
181 3067.0000000000
183 3136.0000000000
186 3138.0000000000
187 3165.0000000000
196 3203.0000000000
236 3243.0000000000
241 3259.0000000000
244 3275.0000000000
252 3321.0000000000
4906 3344.0000000000
4914 3384.0000000000
4916 3412.0000000000
5693 3495.0000000000
5699 3498.0000000000
24760 3536.0000000000
31651 3599.0000000000
100000 2578.0000000000
evaluations raw_y
1 2578.0000000000
2 2590.0000000000
6 2593.0000000000
11 2600.0000000000
17 2663.0000000000
23 2695.0000000000
27 2738.0000000000
28 2818.0000000000
30 2835.0000000000
416 2898.0000000000
1049 2925.0000000000
1090 2929.0000000000
1093 3047.0000000000
2189 3075.0000000000
3090 3079.0000000000
3097 3102.0000000000
3122 3113.0000000000
3155 3130.0000000000
6506 3152.0000000000
6507 3179.0000000000
6510 3186.0000000000
6814 3309.0000000000
6815 3329.0000000000
8662 3356.0000000000
8667 3377.0000000000
8668 3391.0000000000
21839 3438.0000000000
21844 3441.0000000000
21846 3485.0000000000
42646 3496.0000000000
42651 3556.0000000000
42652 3565.0000000000
100000 2189.0000000000
evaluations raw_y
1 2251.0000000000
13 2258.0000000000
19 2299.0000000000
22 2314.0000000000
26 2393.0000000000
27 2466.0000000000
37 2509.0000000000
38 2537.0000000000
91 2581.0000000000
322 2583.0000000000
326 2584.0000000000
366 2665.0000000000
385 2786.0000000000
386 2817.0000000000
393 2836.0000000000
514 2871.0000000000
540 2903.0000000000
582 2913.0000000000
718 2956.0000000000
720 3023.0000000000
965 3039.0000000000
971 3041.0000000000
3996 3126.0000000000
4539 3180.0000000000
16706 3195.0000000000
16707 3228.0000000000
16763 3271.0000000000
16782 3275.0000000000
16786 3428.0000000000
57877 3483.0000000000
57895 3521.0000000000
57974 3522.0000000000
57986 3535.0000000000
57992 3553.0000000000
58009 3574.0000000000
58012 3582.0000000000
58335 3585.0000000000
58366 3608.0000000000
100000 1935.0000000000
evaluations raw_y
1 1935.0000000000
9 1959.0000000000
11 1992.0000000000
15 2042.0000000000
19 2119.0000000000
23 2287.0000000000
29 2362.0000000000
30 2370.0000000000
32 2398.0000000000
34 2443.0000000000
63 2466.0000000000
66 2522.0000000000
67 2574.0000000000
73 2601.0000000000
75 2651.0000000000
579 2690.0000000000
581 2733.0000000000
674 2756.0000000000
675 2850.0000000000
697 2893.0000000000
698 2966.0000000000
702 2993.0000000000
708 3003.0000000000
714 3026.0000000000
715 3093.0000000000
740 3114.0000000000
749 3158.0000000000
761 3183.0000000000
7544 3188.0000000000
7573 3202.0000000000
7607 3231.0000000000
9137 3237.0000000000
9141 3242.0000000000
9671 3272.0000000000
9674 3276.0000000000
9681 3311.0000000000
9682 3378.0000000000
9713 3400.0000000000
9722 3426.0000000000
9748 3435.0000000000
9749 3444.0000000000
22958 3476.0000000000
22960 3558.0000000000
100000 2922.0000000000
evaluations raw_y
1 2922.0000000000
115 2930.0000000000
117 3022.0000000000
123 3028.0000000000
125 3060.0000000000
126 3093.0000000000
128 3150.0000000000
131 3182.0000000000
868 3221.0000000000
4607 3225.0000000000
4609 3270.0000000000
4610 3328.0000000000
7365 3431.0000000000
9049 3457.0000000000
46355 3462.0000000000
46357 3523.0000000000
46364 3558.0000000000
46371 3562.0000000000
46372 3579.0000000000
99369 3583.0000000000
99372 3629.0000000000
100000 2182.0000000000
evaluations raw_y
1 2182.0000000000
5 2205.0000000000
7 2262.0000000000
14 2302.0000000000
53 2382.0000000000
56 2437.0000000000
58 2471.0000000000
62 2523.0000000000
118 2572.0000000000
125 2587.0000000000
208 2599.0000000000
210 2602.0000000000
211 2693.0000000000
213 2793.0000000000
225 2812.0000000000
557 2866.0000000000
572 2905.0000000000
640 2915.0000000000
648 2975.0000000000
650 2986.0000000000
654 3025.0000000000
666 3038.0000000000
3709 3040.0000000000
3713 3064.0000000000
3714 3100.0000000000
3715 3158.0000000000
3720 3207.0000000000
4910 3257.0000000000
8076 3288.0000000000
8077 3298.0000000000
8080 3313.0000000000
8091 3384.0000000000
20901 3387.0000000000
20903 3466.0000000000
100000 2362.0000000000
evaluations raw_y
1 2362.0000000000
13 2406.0000000000
15 2530.0000000000
25 2581.0000000000
30 2596.0000000000
200 2649.0000000000
202 2743.0000000000
203 2826.0000000000
272 2832.0000000000
288 2880.0000000000
289 2971.0000000000
356 3003.0000000000
395 3074.0000000000
1240 3097.0000000000
1295 3107.0000000000
1301 3132.0000000000
1326 3162.0000000000
1327 3176.0000000000
3095 3216.0000000000
3097 3289.0000000000
3119 3290.0000000000
3146 3396.0000000000
3149 3456.0000000000
42555 3474.0000000000
42557 3505.0000000000
74919 3507.0000000000
76313 3521.0000000000
76325 3537.0000000000
100000 2527.0000000000
evaluations raw_y
1 2118.0000000000
2 2574.0000000000
5 2791.0000000000
12 2886.0000000000
15 3091.0000000000
24 3204.0000000000
39 3301.0000000000
40 3346.0000000000
49 3367.0000000000
54 3409.0000000000
56 3493.0000000000
70 3519.0000000000
81 3540.0000000000
97 3581.0000000000
102 3585.0000000000
103 3633.0000000000
115 3654.0000000000
140 3669.0000000000
146 3702.0000000000
150 3717.0000000000
157 3746.0000000000
159 3794.0000000000
171 3874.0000000000
176 3891.0000000000
183 3968.0000000000
200 4015.0000000000
220 4040.0000000000
222 4048.0000000000
243 4118.0000000000
247 4120.0000000000
272 4134.0000000000
280 4156.0000000000
286 4208.0000000000
293 4232.0000000000
298 4258.0000000000
306 4292.0000000000
315 4312.0000000000
321 4316.0000000000
334 4327.0000000000
340 4338.0000000000
350 4349.0000000000
394 4387.0000000000
400 4394.0000000000
402 4432.0000000000
444 4463.0000000000
491 4515.0000000000
512 4520.0000000000
513 4594.0000000000
580 4634.0000000000
589 4637.0000000000
645 4730.0000000000
694 4798.0000000000
711 4890.0000000000
741 4900.0000000000
816 4954.0000000000
940 5007.0000000000
1221 5023.0000000000
