evaluations raw_y
1 2593.0000000000
3 2603.0000000000
5 3427.0000000000
100000 2393.0000000000
evaluations raw_y
1 2101.0000000000
2 2359.0000000000
4 2523.0000000000
5 2757.0000000000
8 2839.0000000000
22 3271.0000000000
1878 3282.0000000000
2065 3351.0000000000
4489 3406.0000000000
6218 3420.0000000000
6369 3468.0000000000
6568 3524.0000000000
6898 3571.0000000000
7697 3618.0000000000
8855 3635.0000000000
9288 3638.0000000000
9711 3646.0000000000
10439 3702.0000000000
10696 3763.0000000000
12415 3766.0000000000
15452 3807.0000000000
100000 2761.0000000000
evaluations raw_y
1 2286.0000000000
2 2431.0000000000
5 2549.0000000000
12 2589.0000000000
15 2935.0000000000
32 3266.0000000000
235 3744.0000000000
100000 2236.0000000000
evaluations raw_y
1 2751.0000000000
8 2817.0000000000
13 3012.0000000000
22 3231.0000000000
65 3254.0000000000
156 3278.0000000000
177 3308.0000000000
194 3327.0000000000
6922 3343.0000000000
7476 3475.0000000000
100000 2197.0000000000
evaluations raw_y
1 2807.0000000000
4 2866.0000000000
5 2967.0000000000
16 2993.0000000000
55 3017.0000000000
107 3093.0000000000
115 3160.0000000000
345 3162.0000000000
579 3309.0000000000
766 3337.0000000000
1620 3348.0000000000
2025 3420.0000000000
64533 3482.0000000000
100000 2567.0000000000
evaluations raw_y
1 2574.0000000000
4 2712.0000000000
9 2741.0000000000
10 2874.0000000000
30 2907.0000000000
43 3042.0000000000
51 3077.0000000000
122 3262.0000000000
290 3310.0000000000
2115 3351.0000000000
39218 3417.0000000000
58191 3598.0000000000
100000 2462.0000000000
evaluations raw_y
1 2145.0000000000
2 2400.0000000000
6 2863.0000000000
11 2988.0000000000
49 3115.0000000000
75 3204.0000000000
149 3230.0000000000
182 3491.0000000000
972 3496.0000000000
1832 3546.0000000000
2336 3642.0000000000
100000 2166.0000000000
evaluations raw_y
1 2770.0000000000
2 3165.0000000000
126 3219.0000000000
423 3287.0000000000
442 3404.0000000000
100000 2198.0000000000
evaluations raw_y
1 2389.0000000000
4 2647.0000000000
6 3090.0000000000
14 3274.0000000000
17 3403.0000000000
564 3404.0000000000
1321 3437.0000000000
6702 3484.0000000000
10201 3509.0000000000
11341 3525.0000000000
13015 3551.0000000000
13858 3693.0000000000
100000 2417.0000000000
evaluations raw_y
1 2446.0000000000
6 2580.0000000000
11 2758.0000000000
16 3015.0000000000
18 3081.0000000000
27 3131.0000000000
30 3272.0000000000
138 3452.0000000000
61420 3496.0000000000
64357 3524.0000000000
64858 3556.0000000000
92776 3610.0000000000
100000 2764.0000000000
