evaluations raw_y
1 0.9792401097
3 1.1337868481
4 1.1410314925
6 1.5654351910
93 1.7041581459
194 1.7325017325
486 1.8982536067
661 1.9069412662
2910 1.9516003123
4496 1.9794140934
6331 2.0016012810
50011 2.0610057708
50376 2.0955574183
55464 2.3518344309
100000 0.7923930269
evaluations raw_y
1 1.3192612137
12 1.4943215780
35 1.6700066800
43 1.6789791807
168 1.7568517217
191 1.9305019305
5381 2.5484199796
100000 0.9846396219
evaluations raw_y
1 1.4359563469
32 1.4509576320
74 1.5693659761
75 1.5873015873
122 1.7111567420
1149 1.7182130584
1215 1.7421602787
2406 1.7642907551
2617 1.7768301350
2773 2.2222222222
37930 2.3741690408
97435 2.3832221163
100000 1.1809163911
evaluations raw_y
1 1.2297097885
5 1.3448090371
18 1.5328019620
41 1.6393442623
85 1.6812373907
128 1.8261504748
368 1.8867924528
2838 1.9607843137
3418 1.9888623707
7670 2.0275750203
10065 2.0475020475
11486 2.0610057708
11983 2.2502250225
27654 2.2747952684
100000 1.0725010725
evaluations raw_y
1 0.9262689885
2 1.1876484561
5 1.3390465988
6 1.5015015015
32 1.6097875080
105 1.6139444803
396 1.6611295681
401 1.6949152542
739 1.7768301350
1436 1.8450184502
1566 1.8726591760
1689 2.1987686895
25133 2.3386342376
100000 1.1116051578
evaluations raw_y
1 0.7473841555
2 1.0499790004
3 1.1215791835
4 1.3150973172
9 1.9425019425
996 2.0508613618
14372 2.0712510356
82175 2.1496130696
100000 1.2333497780
evaluations raw_y
1 1.2001920307
4 1.2671059301
10 1.3000520021
11 1.4148273911
26 1.4326647564
47 1.4425851125
84 1.4801657786
109 1.5328019620
219 1.5499070056
235 1.6181229773
362 1.6857720836
542 1.8024513338
1298 2.0475020475
2347 2.1349274125
8202 2.1533161068
44547 2.3741690408
100000 1.5253203173
evaluations raw_y
1 0.9028530155
2 1.5015015015
50 1.5576323988
79 1.6371971185
213 1.6545334216
223 1.6744809109
296 1.7921146953
682 1.8234865062
977 1.8811136193
1145 1.8896447468
2139 1.9364833462
7659 2.0815986678
17674 2.0885547201
53140 2.1987686895
100000 0.6464959917
evaluations raw_y
1 1.2153621779
7 1.2431626057
8 1.2481278083
10 1.3865779257
37 1.5124016939
59 1.6479894529
287 1.7064846416
647 1.7844396859
675 1.7895490336
709 1.9364833462
1074 2.0112630732
1571 2.1204410517
2721 2.2831050228
100000 0.9948269001
evaluations raw_y
1 1.2071463061
3 1.3164823591
15 1.6677785190
39 1.7397355602
531 1.7618040874
1057 1.9215987702
1714 1.9920318725
1768 2.0145044319
1787 2.1758050479
1911 2.2665457842
2911 2.6511134677
100000 1.1775788978
