evaluations raw_y
1 0.0000000000
2 1.0000000000
3 3.0000000000
15 4.0000000000
435 5.0000000000
640 6.0000000000
6913 7.0000000000
7969 8.0000000000
23640 12.0000000000
25192 13.0000000000
100000 6.0000000000
evaluations raw_y
1 0.0000000000
9 1.0000000000
436 4.0000000000
2360 6.0000000000
4152 7.0000000000
4508 12.0000000000
4560 14.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
6 3.0000000000
13 4.0000000000
1585 5.0000000000
6856 6.0000000000
7190 7.0000000000
22631 8.0000000000
22728 9.0000000000
22746 12.0000000000
43850 14.0000000000
100000 3.0000000000
evaluations raw_y
1 0.0000000000
5 1.0000000000
8 3.0000000000
863 4.0000000000
10554 5.0000000000
14586 6.0000000000
15816 7.0000000000
21376 8.0000000000
96086 10.0000000000
100000 1.0000000000
evaluations raw_y
1 6.0000000000
74 7.0000000000
14874 8.0000000000
23581 10.0000000000
24214 11.0000000000
76579 13.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
8 4.0000000000
968 6.0000000000
6494 7.0000000000
6656 8.0000000000
15367 10.0000000000
39654 11.0000000000
100000 3.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
17 3.0000000000
28 6.0000000000
1769 8.0000000000
3547 9.0000000000
39728 10.0000000000
39893 11.0000000000
53975 17.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
6 5.0000000000
18 7.0000000000
8308 9.0000000000
8378 11.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
188 3.0000000000
278 5.0000000000
4965 8.0000000000
6727 9.0000000000
70450 16.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
13 3.0000000000
16 4.0000000000
65 7.0000000000
46428 8.0000000000
83390 9.0000000000
84194 10.0000000000
100000 1.0000000000
