evaluations raw_y
1 49.0000000000
5 51.0000000000
7 52.0000000000
33 53.0000000000
40 55.0000000000
960 56.0000000000
1705 57.0000000000
2001 58.0000000000
13770 59.0000000000
13791 61.0000000000
13810 64.0000000000
37761 66.0000000000
100000 46.0000000000
evaluations raw_y
1 56.0000000000
2 60.0000000000
6737 61.0000000000
6738 62.0000000000
7109 63.0000000000
7122 64.0000000000
15144 65.0000000000
63675 66.0000000000
63772 67.0000000000
63812 68.0000000000
63850 69.0000000000
100000 44.0000000000
evaluations raw_y
1 54.0000000000
7 55.0000000000
13 59.0000000000
110 62.0000000000
9924 63.0000000000
10372 64.0000000000
45649 66.0000000000
100000 47.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
6 52.0000000000
8 60.0000000000
85 62.0000000000
117 64.0000000000
379 66.0000000000
381 68.0000000000
100000 47.0000000000
evaluations raw_y
1 43.0000000000
4 50.0000000000
17 51.0000000000
19 52.0000000000
20 54.0000000000
23 56.0000000000
30 57.0000000000
3408 58.0000000000
3513 59.0000000000
4919 60.0000000000
6614 61.0000000000
6617 63.0000000000
10855 66.0000000000
20870 68.0000000000
100000 46.0000000000
evaluations raw_y
1 44.0000000000
2 54.0000000000
4 56.0000000000
18 57.0000000000
322 58.0000000000
431 59.0000000000
435 62.0000000000
600 63.0000000000
601 64.0000000000
614 65.0000000000
1464 66.0000000000
1487 68.0000000000
87308 69.0000000000
87352 70.0000000000
87372 72.0000000000
100000 51.0000000000
evaluations raw_y
1 48.0000000000
3 51.0000000000
7 52.0000000000
11 56.0000000000
16 58.0000000000
4929 60.0000000000
4953 61.0000000000
5004 63.0000000000
20038 64.0000000000
20081 65.0000000000
20309 66.0000000000
20322 67.0000000000
20458 68.0000000000
20479 69.0000000000
100000 44.0000000000
evaluations raw_y
1 51.0000000000
3 53.0000000000
4 59.0000000000
143 60.0000000000
6580 61.0000000000
6605 63.0000000000
7738 64.0000000000
7769 65.0000000000
64890 66.0000000000
64924 67.0000000000
65103 68.0000000000
75553 69.0000000000
100000 57.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
5 53.0000000000
6 58.0000000000
3470 59.0000000000
3507 61.0000000000
3516 65.0000000000
14324 66.0000000000
14455 68.0000000000
15758 69.0000000000
15933 70.0000000000
16822 71.0000000000
16837 72.0000000000
100000 47.0000000000
evaluations raw_y
1 43.0000000000
2 55.0000000000
11 60.0000000000
9962 61.0000000000
10832 62.0000000000
11818 64.0000000000
28521 66.0000000000
44759 67.0000000000
60643 68.0000000000
100000 43.0000000000
