evaluations raw_y
1 -1527.0000000000
2 -1488.0000000000
5 -1449.0000000000
74 -1410.0000000000
199 -1381.0000000000
260 -1371.0000000000
265 -1361.0000000000
266 -1332.0000000000
267 -1293.0000000000
500 -1273.0000000000
507 -1244.0000000000
682 -1235.0000000000
687 -1206.0000000000
698 -1196.0000000000
818 -1167.0000000000
819 -1128.0000000000
821 -1089.0000000000
823 -1060.0000000000
1009 -1040.0000000000
1010 -1011.0000000000
1012 -972.0000000000
1015 -943.0000000000
1017 -865.0000000000
1020 -826.0000000000
1023 -797.0000000000
61193 -767.0000000000
61194 -728.0000000000
61196 -699.0000000000
63637 -670.0000000000
100000 -1098.0000000000
evaluations raw_y
1 -1469.0000000000
2 -1440.0000000000
71 -1410.0000000000
95 -1381.0000000000
109 -1342.0000000000
111 -1303.0000000000
112 -1264.0000000000
121 -1225.0000000000
161 -1206.0000000000
168 -1177.0000000000
170 -1138.0000000000
174 -1021.0000000000
188 -1011.0000000000
194 -1001.0000000000
195 -962.0000000000
198 -923.0000000000
219 -884.0000000000
19660 -855.0000000000
31520 -836.0000000000
61609 -826.0000000000
61610 -787.0000000000
73376 -786.0000000000
73377 -757.0000000000
73392 -728.0000000000
100000 -1585.0000000000
evaluations raw_y
1 -1566.0000000000
2 -1527.0000000000
42 -1517.0000000000
43 -1488.0000000000
114 -1449.0000000000
116 -1410.0000000000
117 -1381.0000000000
207 -1342.0000000000
308 -1332.0000000000
448 -1322.0000000000
686 -1303.0000000000
694 -1264.0000000000
703 -1225.0000000000
705 -1186.0000000000
710 -1147.0000000000
1005 -1137.0000000000
1018 -1098.0000000000
1020 -1069.0000000000
1025 -1030.0000000000
1028 -991.0000000000
1029 -962.0000000000
1031 -923.0000000000
1050 -884.0000000000
11270 -875.0000000000
17480 -865.0000000000
17486 -826.0000000000
23943 -825.0000000000
23947 -806.0000000000
100000 -1206.0000000000
evaluations raw_y
1 -1021.0000000000
8 -992.0000000000
10 -963.0000000000
21 -924.0000000000
32 -885.0000000000
26272 -874.0000000000
26276 -835.0000000000
26278 -796.0000000000
59771 -787.0000000000
100000 -1566.0000000000
evaluations raw_y
1 -1517.0000000000
11 -1478.0000000000
13 -1439.0000000000
14 -1400.0000000000
16 -1361.0000000000
22 -1322.0000000000
25 -1283.0000000000
35 -1264.0000000000
37 -1225.0000000000
45 -1196.0000000000
46 -1128.0000000000
1680 -1099.0000000000
1691 -1089.0000000000
1695 -1021.0000000000
3897 -1001.0000000000
6866 -962.0000000000
6869 -884.0000000000
16418 -875.0000000000
22665 -816.0000000000
22666 -787.0000000000
45831 -777.0000000000
45838 -758.0000000000
45841 -719.0000000000
45842 -680.0000000000
100000 -1166.0000000000
evaluations raw_y
1 -1527.0000000000
17 -1488.0000000000
28 -1449.0000000000
29 -1410.0000000000
32 -1371.0000000000
47 -1332.0000000000
48 -1293.0000000000
86 -1283.0000000000
98 -1205.0000000000
102 -1176.0000000000
135 -1167.0000000000
1204 -1156.0000000000
1206 -1127.0000000000
1215 -1088.0000000000
1810 -1069.0000000000
1812 -1030.0000000000
1821 -991.0000000000
1822 -962.0000000000
1824 -933.0000000000
4061 -855.0000000000
4065 -787.0000000000
19810 -768.0000000000
22004 -748.0000000000
22012 -719.0000000000
22067 -710.0000000000
22068 -681.0000000000
100000 -1488.0000000000
evaluations raw_y
1 -1683.0000000000
15 -1644.0000000000
16 -1605.0000000000
24 -1566.0000000000
26 -1556.0000000000
29 -1517.0000000000
38 -1488.0000000000
39 -1449.0000000000
40 -1410.0000000000
41 -1371.0000000000
89 -1332.0000000000
304 -1302.0000000000
309 -1244.0000000000
783 -1205.0000000000
785 -1176.0000000000
1145 -1137.0000000000
1146 -1098.0000000000
1149 -1059.0000000000
1165 -1020.0000000000
1169 -991.0000000000
1175 -952.0000000000
1201 -942.0000000000
1273 -923.0000000000
2030 -884.0000000000
2035 -874.0000000000
2036 -835.0000000000
2048 -806.0000000000
77476 -768.0000000000
77477 -729.0000000000
77479 -719.0000000000
100000 -1692.0000000000
evaluations raw_y
1 -982.0000000000
8 -943.0000000000
13 -904.0000000000
18 -894.0000000000
21 -865.0000000000
17066 -836.0000000000
17089 -758.0000000000
20707 -729.0000000000
20708 -690.0000000000
100000 -1634.0000000000
evaluations raw_y
1 -1508.0000000000
5 -1498.0000000000
13 -1459.0000000000
20 -1381.0000000000
264 -1372.0000000000
265 -1343.0000000000
383 -1342.0000000000
385 -1303.0000000000
705 -1283.0000000000
1139 -1255.0000000000
1141 -1216.0000000000
1147 -1206.0000000000
1569 -1176.0000000000
1688 -1166.0000000000
1726 -1127.0000000000
3027 -1118.0000000000
3028 -1079.0000000000
3048 -1011.0000000000
3056 -972.0000000000
5361 -962.0000000000
5363 -923.0000000000
5364 -884.0000000000
5369 -845.0000000000
9159 -836.0000000000
15273 -816.0000000000
15275 -787.0000000000
100000 -1196.0000000000
evaluations raw_y
1 -1215.0000000000
121 -1185.0000000000
133 -1156.0000000000
140 -1117.0000000000
216 -1108.0000000000
223 -1069.0000000000
225 -1040.0000000000
549 -1001.0000000000
565 -972.0000000000
573 -962.0000000000
574 -933.0000000000
6778 -913.0000000000
6779 -835.0000000000
6786 -796.0000000000
100000 -1595.0000000000
