evaluations raw_y
1 6.6000000000
5 7.6000000000
13 7.8000000000
127 8.0000000000
143 8.2000000000
262 8.6000000000
550 8.8000000000
1332 9.0000000000
1336 9.8000000000
1353 10.0000000000
1354 10.2000000000
1393 10.4000000000
35473 10.8000000000
98349 11.0000000000
100000 5.0000000000
evaluations raw_y
1 6.2000000000
25 7.4000000000
30 7.6000000000
33 7.8000000000
150 8.2000000000
1607 8.4000000000
1614 8.6000000000
1620 8.8000000000
1920 9.6000000000
5701 9.8000000000
15434 10.2000000000
38760 10.8000000000
67029 11.4000000000
67035 11.6000000000
67036 11.8000000000
67039 12.0000000000
100000 4.2000000000
evaluations raw_y
1 5.6000000000
34 6.0000000000
46 7.0000000000
50 7.8000000000
56 9.0000000000
1430 9.2000000000
1433 9.4000000000
1437 9.6000000000
1885 9.8000000000
4201 10.0000000000
4210 10.2000000000
6295 10.4000000000
6297 10.6000000000
6302 10.8000000000
6303 11.0000000000
67098 11.4000000000
87481 11.6000000000
100000 7.4000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
9 7.2000000000
32 7.4000000000
33 7.6000000000
83 7.8000000000
84 8.0000000000
252 8.6000000000
253 8.8000000000
1401 9.0000000000
1665 9.2000000000
1677 9.4000000000
1835 9.6000000000
3591 9.8000000000
3596 10.4000000000
21818 11.0000000000
29649 11.4000000000
100000 5.2000000000
evaluations raw_y
1 7.2000000000
2 7.6000000000
6 7.8000000000
9 8.0000000000
72 8.2000000000
73 8.4000000000
811 8.6000000000
815 9.6000000000
824 10.0000000000
826 10.2000000000
828 10.4000000000
40899 10.6000000000
64721 10.8000000000
77900 11.0000000000
100000 7.8000000000
evaluations raw_y
1 6.2000000000
5 6.4000000000
6 6.6000000000
8 6.8000000000
21 7.0000000000
27 7.2000000000
31 7.6000000000
58 8.2000000000
326 8.4000000000
338 8.6000000000
924 8.8000000000
933 9.0000000000
1109 9.2000000000
1111 9.6000000000
1112 9.8000000000
7170 10.0000000000
13205 10.4000000000
13208 10.6000000000
13209 10.8000000000
31171 11.6000000000
52980 11.8000000000
100000 6.2000000000
evaluations raw_y
1 7.0000000000
118 7.2000000000
132 7.4000000000
139 7.8000000000
146 8.0000000000
155 8.2000000000
157 8.4000000000
194 9.2000000000
195 9.4000000000
196 9.6000000000
1728 9.8000000000
1753 10.0000000000
3337 10.2000000000
11699 10.4000000000
36430 10.8000000000
36432 11.0000000000
100000 7.0000000000
evaluations raw_y
1 7.2000000000
5 7.6000000000
176 7.8000000000
333 8.0000000000
337 8.2000000000
384 8.4000000000
401 8.6000000000
457 8.8000000000
459 9.0000000000
1534 9.6000000000
14918 9.8000000000
14920 10.0000000000
28719 10.2000000000
28722 10.4000000000
28733 10.6000000000
100000 8.6000000000
evaluations raw_y
1 7.8000000000
8 8.0000000000
270 8.2000000000
312 8.4000000000
975 9.2000000000
6714 9.4000000000
7201 9.6000000000
7207 9.8000000000
7954 10.6000000000
7959 10.8000000000
7960 11.2000000000
100000 8.0000000000
evaluations raw_y
1 6.2000000000
3 7.2000000000
4 8.2000000000
8 8.4000000000
255 8.8000000000
275 9.8000000000
571 10.0000000000
572 10.2000000000
9127 11.4000000000
100000 6.4000000000
