evaluations raw_y
1 -0.5087053499
2 -0.5027338765
142 -0.4995483262
149 -0.4966150835
155 -0.4890269883
267 -0.4820900718
385 -0.4761175582
499 -0.4753606092
505 -0.4745808928
508 -0.4678558556
514 -0.4650509679
518 -0.4590725633
827 -0.4579334273
828 -0.4579250421
833 -0.4568826457
1248 -0.4546888741
1262 -0.4530405083
1265 -0.4458249652
1869 -0.4428674789
1871 -0.4372727326
19907 -0.4364950364
25385 -0.4362624533
25386 -0.4288854359
25391 -0.4269804485
51436 -0.4224909889
51440 -0.4199418025
51444 -0.4151058516
100000 -0.5176231579
evaluations raw_y
1 -0.5554181074
6 -0.5428555308
7 -0.5413861308
9 -0.5254137890
11 -0.5193170421
14 -0.5146908473
15 -0.5108272395
20 -0.5084079738
21 -0.5068769974
62 -0.4952420172
63 -0.4896966879
387 -0.4847909557
465 -0.4819411148
468 -0.4814660915
654 -0.4805953946
656 -0.4804927504
658 -0.4767890942
659 -0.4700987798
675 -0.4694349793
798 -0.4683652381
802 -0.4616402010
804 -0.4566289771
1106 -0.4501454207
1107 -0.4448365447
1120 -0.4424861958
1125 -0.4418545587
1159 -0.4402622117
21765 -0.4357645364
44375 -0.4195124606
100000 -0.5450070472
evaluations raw_y
1 -0.5228320471
10 -0.5168563564
16 -0.5163426305
19 -0.5096973053
20 -0.5089350075
23 -0.5053700263
25 -0.4964908319
27 -0.4944277990
45 -0.4885781552
46 -0.4846821290
48 -0.4804739045
77 -0.4750085896
78 -0.4740044572
81 -0.4673978125
83 -0.4639107549
88 -0.4636498377
2755 -0.4634516025
2756 -0.4605183598
3088 -0.4575149594
3093 -0.4529055444
6641 -0.4524276636
6642 -0.4441681211
7869 -0.4399468517
13403 -0.4289814281
13407 -0.4240805920
13410 -0.4235218088
13424 -0.4201457473
13425 -0.4196656273
13430 -0.4179834023
13432 -0.4172211046
13436 -0.4167761512
66993 -0.4153673973
100000 -0.4600177086
evaluations raw_y
1 -0.4582640491
982 -0.4486270050
991 -0.4475526134
4363 -0.4462345090
4366 -0.4395891838
4370 -0.4395397971
6394 -0.4348411414
6395 -0.4285524429
6400 -0.4246051356
6419 -0.4239901879
54165 -0.4169446852
76240 -0.4130663814
100000 -0.5194287567
evaluations raw_y
1 -0.5185472844
7 -0.5148413204
17 -0.5140537298
19 -0.5102739827
58 -0.5024528118
60 -0.4987832151
65 -0.4963166014
66 -0.4953526999
76 -0.4938655020
96 -0.4917928195
104 -0.4914570962
131 -0.4873330303
142 -0.4861120406
145 -0.4780894941
149 -0.4739836872
159 -0.4717227532
266 -0.4694081958
267 -0.4628015511
1255 -0.4626495406
1262 -0.4622301733
1271 -0.4620631946
1284 -0.4619310883
1285 -0.4599594373
1618 -0.4568773508
1620 -0.4507126891
1622 -0.4347724782
32364 -0.4305555093
32369 -0.4301879001
32370 -0.4282802430
49980 -0.4274587789
49993 -0.4253909124
90857 -0.4231191724
100000 -0.5469522423
evaluations raw_y
1 -0.5061144847
6 -0.4981351492
40 -0.4950027333
50 -0.4894784804
56 -0.4757166282
107 -0.4719679646
111 -0.4683414716
118 -0.4571814695
121 -0.4490820383
5054 -0.4416384398
5056 -0.4401965313
17267 -0.4320913348
19478 -0.4316279681
19479 -0.4254633064
64176 -0.4229272385
64177 -0.4162288753
64179 -0.4144574963
64180 -0.4139824730
100000 -0.5124138499
evaluations raw_y
1 -0.5129817235
5 -0.5096243603
15 -0.5070148809
42 -0.5048992664
47 -0.5040974254
50 -0.5001887609
54 -0.4875986250
62 -0.4868205335
716 -0.4828265608
1234 -0.4827870427
1266 -0.4719442166
1326 -0.4669805329
3661 -0.4646401506
3674 -0.4638646367
3694 -0.4612878458
3696 -0.4537668721
3711 -0.4503283648
3712 -0.4488062390
3714 -0.4428140302
3723 -0.4407013539
3724 -0.4377569812
3725 -0.4299441634
3731 -0.4244525826
3740 -0.4220476356
23930 -0.4203341972
23932 -0.4136438828
23934 -0.4072683411
100000 -0.5124486032
evaluations raw_y
1 -0.5022648211
3 -0.4949753999
5 -0.4899641760
8 -0.4824594224
11 -0.4748392016
17 -0.4740114555
32 -0.4692813784
45 -0.4665141191
61 -0.4587004158
63 -0.4507210804
80 -0.4482842825
3513 -0.4467922411
7941 -0.4408814202
7945 -0.4385896652
11168 -0.4358624341
11169 -0.4251196581
17931 -0.4207022780
17940 -0.4165604748
100000 -0.5276537317
evaluations raw_y
1 -0.5107577948
2 -0.5083951740
4 -0.5018699037
5 -0.5002094117
152 -0.4988763569
157 -0.4958926298
160 -0.4934892376
162 -0.4868026308
198 -0.4866313335
204 -0.4851097951
207 -0.4832048076
707 -0.4774583287
956 -0.4711646713
1133 -0.4671995981
1137 -0.4637221068
1138 -0.4580271877
1363 -0.4577975694
1719 -0.4576308864
3504 -0.4571857510
3509 -0.4567107276
3510 -0.4564445877
4378 -0.4541365154
4399 -0.4537365909
6326 -0.4524389907
6327 -0.4519549481
7319 -0.4444391419
13557 -0.4418750865
14197 -0.4374029145
26997 -0.4292188130
37665 -0.4279643055
50684 -0.4277081287
98677 -0.4259272900
98683 -0.4214301296
100000 -0.4657447950
evaluations raw_y
1 -0.5327552071
3 -0.5222318492
4 -0.5156614474
50 -0.5026071817
51 -0.5006995246
55 -0.4956883008
57 -0.4946271056
64 -0.4897579589
70 -0.4878649491
376 -0.4796260406
377 -0.4687505685
498 -0.4677036596
793 -0.4667846077
2086 -0.4629652606
3254 -0.4610999931
3259 -0.4578068375
6755 -0.4546541083
8668 -0.4541373168
8669 -0.4506269790
8741 -0.4483967925
8744 -0.4384692391
9181 -0.4373252949
16763 -0.4314548954
16773 -0.4230469970
16775 -0.4145329745
16777 -0.4069349986
16782 -0.4022541758
100000 -0.5026641707
