evaluations raw_y
1 7.2000000000
2 7.4000000000
3 10.0000000000
57 10.6000000000
134 11.6000000000
184 11.8000000000
218 12.0000000000
245 12.6000000000
247 12.8000000000
267 13.2000000000
347 13.6000000000
362 13.8000000000
449 14.0000000000
501 14.2000000000
532 14.4000000000
601 14.6000000000
746 14.8000000000
843 15.0000000000
953 15.2000000000
1056 15.4000000000
1142 15.6000000000
1267 15.8000000000
1437 16.0000000000
1627 16.2000000000
1815 16.4000000000
2110 16.6000000000
2223 16.8000000000
100000 16.8000000000
evaluations raw_y
1 6.2000000000
2 7.2000000000
3 7.6000000000
19 7.8000000000
28 8.6000000000
41 8.8000000000
88 9.0000000000
102 9.4000000000
114 9.6000000000
171 10.8000000000
303 11.0000000000
312 11.2000000000
366 11.4000000000
390 11.8000000000
402 12.0000000000
422 12.2000000000
487 12.4000000000
546 12.8000000000
605 13.0000000000
685 13.2000000000
700 13.4000000000
778 13.6000000000
879 13.8000000000
908 14.0000000000
1028 14.2000000000
1124 14.4000000000
1207 14.6000000000
1315 14.8000000000
1353 15.0000000000
1508 15.2000000000
1590 15.4000000000
1639 15.6000000000
1781 15.8000000000
1891 16.0000000000
2065 16.2000000000
2205 16.4000000000
2444 16.6000000000
100000 16.6000000000
evaluations raw_y
1 9.2000000000
71 9.4000000000
116 10.2000000000
155 10.4000000000
192 11.4000000000
258 12.0000000000
312 12.2000000000
316 12.4000000000
346 13.0000000000
393 13.2000000000
401 13.4000000000
446 13.8000000000
450 14.0000000000
557 14.4000000000
580 14.6000000000
650 14.8000000000
875 15.0000000000
1013 15.2000000000
1064 15.4000000000
1154 15.6000000000
1234 15.8000000000
1305 16.0000000000
1646 16.2000000000
1710 16.4000000000
1991 16.6000000000
100000 16.6000000000
evaluations raw_y
1 4.8000000000
2 6.8000000000
3 8.6000000000
6 9.0000000000
58 9.2000000000
86 9.4000000000
108 9.8000000000
119 10.0000000000
148 10.2000000000
164 11.6000000000
184 12.0000000000
260 12.4000000000
352 12.6000000000
361 12.8000000000
377 13.0000000000
394 13.2000000000
435 13.4000000000
448 13.6000000000
477 14.0000000000
526 14.2000000000
552 14.4000000000
631 14.6000000000
666 14.8000000000
694 15.0000000000
808 15.2000000000
1015 15.4000000000
1028 15.6000000000
1097 15.8000000000
1263 16.0000000000
1659 16.2000000000
1723 16.4000000000
1811 16.6000000000
2358 16.8000000000
100000 16.8000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
3 8.0000000000
6 8.4000000000
13 8.6000000000
22 9.6000000000
103 10.2000000000
106 10.4000000000
188 11.0000000000
221 11.4000000000
236 12.2000000000
266 12.6000000000
332 12.8000000000
343 13.0000000000
391 13.4000000000
432 13.6000000000
440 13.8000000000
477 14.0000000000
513 14.2000000000
537 14.4000000000
647 14.6000000000
680 14.8000000000
783 15.0000000000
845 15.2000000000
1019 15.4000000000
1105 15.6000000000
1126 15.8000000000
1168 16.0000000000
1297 16.2000000000
1473 16.4000000000
1551 16.6000000000
1627 16.8000000000
1717 17.0000000000
2613 17.2000000000
100000 17.2000000000
evaluations raw_y
1 9.6000000000
64 10.6000000000
75 11.6000000000
170 11.8000000000
176 12.2000000000
237 13.0000000000
251 13.2000000000
354 13.8000000000
394 14.4000000000
535 14.6000000000
577 14.8000000000
730 15.0000000000
762 15.2000000000
810 15.4000000000
908 15.6000000000
978 15.8000000000
1149 16.0000000000
1246 16.2000000000
1423 16.4000000000
1779 16.6000000000
2027 16.8000000000
3271 17.0000000000
100000 17.0000000000
evaluations raw_y
1 9.0000000000
31 11.0000000000
233 11.2000000000
237 11.4000000000
258 11.8000000000
281 12.0000000000
313 12.4000000000
314 12.8000000000
379 13.0000000000
384 13.4000000000
437 13.6000000000
451 14.0000000000
504 14.2000000000
522 14.4000000000
606 14.6000000000
700 14.8000000000
921 15.0000000000
1022 15.2000000000
1053 15.4000000000
1124 15.6000000000
1178 15.8000000000
1450 16.0000000000
1590 16.2000000000
1660 16.4000000000
1737 16.6000000000
2125 16.8000000000
100000 16.8000000000
evaluations raw_y
1 6.2000000000
4 7.2000000000
5 7.6000000000
9 8.6000000000
35 8.8000000000
46 9.0000000000
69 10.6000000000
139 11.2000000000
162 11.4000000000
199 11.6000000000
266 12.6000000000
333 13.0000000000
382 14.0000000000
446 14.2000000000
491 14.4000000000
526 14.6000000000
582 14.8000000000
601 15.0000000000
638 15.2000000000
727 15.4000000000
785 15.6000000000
975 15.8000000000
1111 16.0000000000
1246 16.2000000000
1426 16.4000000000
1489 16.6000000000
1681 16.8000000000
