evaluations raw_y
1 -0.5180259080
2 -0.5053112073
4 -0.4733627249
11 -0.4717664191
25 -0.4657627876
46 -0.4430328945
92 -0.4375379117
100 -0.4263480706
169 -0.4241284341
214 -0.4098823162
251 -0.4066261647
267 -0.3982104761
269 -0.3945209701
322 -0.3909767771
337 -0.3873019193
347 -0.3618612279
479 -0.3617901569
480 -0.3549712492
536 -0.3539011177
547 -0.3441525689
642 -0.3426785744
652 -0.3423811899
676 -0.3419665445
689 -0.3409071954
756 -0.3396769052
778 -0.3387195255
789 -0.3383270966
798 -0.3338792727
808 -0.3292450393
1012 -0.3285914742
1022 -0.3280045056
1035 -0.3273509406
1041 -0.3235425551
1090 -0.3228889900
1139 -0.3221479727
1151 -0.3216484564
1204 -0.3209074390
1300 -0.3189943264
1313 -0.3182533090
1336 -0.3181962462
1461 -0.3174181546
1834 -0.3097703932
1851 -0.3094388192
2011 -0.3086369782
2679 -0.3080203959
10133 -0.3079025884
10349 -0.3025433926
85480 -0.3009547912
86208 -0.3008283857
86254 -0.2955087499
100000 -0.3034880854
evaluations raw_y
1 -0.5406196011
2 -0.5082641848
3 -0.4963233951
8 -0.4813829900
10 -0.4597011034
44 -0.4579512460
79 -0.4520365970
124 -0.4515138144
134 -0.4267951271
153 -0.4194748684
167 -0.4161050548
281 -0.4150491425
298 -0.4044161772
322 -0.3977036691
325 -0.3949557420
379 -0.3908306780
432 -0.3801195258
492 -0.3800696466
496 -0.3713170666
510 -0.3700304176
526 -0.3682062774
574 -0.3663515685
628 -0.3652415279
644 -0.3622224537
664 -0.3603593596
751 -0.3559265799
811 -0.3542385309
819 -0.3541552009
826 -0.3536671204
855 -0.3518957414
874 -0.3481316484
1124 -0.3475150661
1153 -0.3457713182
1227 -0.3451547360
1240 -0.3408027548
1344 -0.3390978200
1364 -0.3367374899
1457 -0.3340833598
1488 -0.3277612948
1496 -0.3271447125
1704 -0.3258205088
1723 -0.3249395981
1781 -0.3236153943
1845 -0.3223166558
1867 -0.3213076439
1964 -0.3204793323
2075 -0.3167578687
2216 -0.3117354864
2344 -0.3082951972
2539 -0.3025971582
2726 -0.3010661817
2970 -0.2998358916
3154 -0.2993641567
3165 -0.2993557716
3201 -0.2987858876
42655 -0.2974256900
43493 -0.2920664943
100000 -0.3040235368
evaluations raw_y
1 -0.5148027887
4 -0.4936316966
12 -0.4934341944
16 -0.4675472758
44 -0.4569591644
46 -0.4568070685
73 -0.4563265215
84 -0.4541123139
106 -0.4529771071
108 -0.4464365971
125 -0.4217653035
164 -0.4145409581
216 -0.4137089683
250 -0.4020747603
280 -0.4006461902
294 -0.3899340586
340 -0.3858392645
347 -0.3766978107
392 -0.3743242088
415 -0.3693457927
417 -0.3655143502
499 -0.3640292732
525 -0.3601512007
537 -0.3597353419
546 -0.3566452349
581 -0.3551162520
596 -0.3545591993
598 -0.3542777939
615 -0.3538631485
631 -0.3457707454
667 -0.3447916029
727 -0.3445844320
739 -0.3445754364
782 -0.3437825910
793 -0.3376179293
823 -0.3375869649
858 -0.3371723195
859 -0.3363794740
880 -0.3333599420
928 -0.3319716350
929 -0.3315569896
994 -0.3304184135
1031 -0.3286154611
1069 -0.3271918039
1102 -0.3263634923
1175 -0.3257989951
1245 -0.3231645417
1274 -0.3209426612
1374 -0.3182885312
1540 -0.3170582410
1654 -0.3164416588
1691 -0.3138795836
3429 -0.3109313265
19355 -0.3074535982
27155 -0.3073357907
63714 -0.3059839782
63771 -0.3059755930
63822 -0.3038829096
63835 -0.3006163973
68493 -0.2991011370
100000 -0.2991011370
evaluations raw_y
1 -0.5026941964
3 -0.5011242734
7 -0.4792798502
18 -0.4791140546
29 -0.4628552488
45 -0.4560550197
55 -0.4528214054
75 -0.4474204381
93 -0.4424402269
104 -0.4412481737
106 -0.4065145805
209 -0.4057208982
231 -0.3900587571
273 -0.3886951578
278 -0.3868286202
300 -0.3844800882
310 -0.3832084264
315 -0.3803903522
318 -0.3579756627
416 -0.3512625667
454 -0.3486495224
469 -0.3462362321
513 -0.3461102835
529 -0.3434776683
550 -0.3417073742
606 -0.3413408519
629 -0.3402858234
642 -0.3376542931
704 -0.3364240029
738 -0.3302593412
821 -0.3295183238
873 -0.3245905580
906 -0.3235601963
913 -0.3228191789
962 -0.3220862017
984 -0.3163397499
1017 -0.3155987325
1034 -0.3130102486
1114 -0.3115362540
1328 -0.3109663701
1358 -0.3088821240
1362 -0.3083122401
1559 -0.3082551773
1741 -0.3070627471
2186 -0.3047549967
6663 -0.3046371891
6893 -0.2992779934
50861 -0.2958002651
100000 -0.3192699546
evaluations raw_y
1 -0.5357444786
2 -0.4889949201
18 -0.4850093951
27 -0.4719873245
