evaluations raw_y
1 48.0000000000
2 54.0000000000
4 55.0000000000
14 57.0000000000
15 60.0000000000
41 62.0000000000
60 64.0000000000
93 67.0000000000
160 69.0000000000
182 70.0000000000
222 73.0000000000
242 74.0000000000
267 78.0000000000
372 80.0000000000
418 81.0000000000
459 82.0000000000
524 83.0000000000
545 84.0000000000
606 85.0000000000
693 86.0000000000
753 87.0000000000
860 88.0000000000
971 89.0000000000
995 90.0000000000
1101 91.0000000000
1120 92.0000000000
1279 93.0000000000
1369 94.0000000000
1417 95.0000000000
1461 96.0000000000
1544 97.0000000000
1829 98.0000000000
2041 99.0000000000
2632 100.0000000000
evaluations raw_y
1 47.0000000000
4 51.0000000000
6 54.0000000000
16 57.0000000000
26 58.0000000000
32 59.0000000000
36 62.0000000000
95 63.0000000000
123 67.0000000000
136 68.0000000000
169 71.0000000000
195 72.0000000000
235 75.0000000000
325 76.0000000000
356 77.0000000000
397 78.0000000000
431 79.0000000000
478 80.0000000000
487 81.0000000000
505 82.0000000000
549 83.0000000000
565 85.0000000000
636 86.0000000000
665 87.0000000000
762 88.0000000000
851 89.0000000000
910 90.0000000000
973 91.0000000000
1016 92.0000000000
1136 93.0000000000
1286 94.0000000000
1315 95.0000000000
1465 96.0000000000
1733 97.0000000000
1830 98.0000000000
1877 99.0000000000
2145 100.0000000000
evaluations raw_y
1 58.0000000000
4 60.0000000000
32 63.0000000000
86 66.0000000000
121 69.0000000000
154 72.0000000000
158 74.0000000000
203 77.0000000000
236 79.0000000000
268 80.0000000000
293 82.0000000000
399 83.0000000000
412 84.0000000000
422 85.0000000000
512 86.0000000000
576 87.0000000000
586 88.0000000000
627 89.0000000000
649 90.0000000000
877 91.0000000000
950 92.0000000000
1134 93.0000000000
1241 94.0000000000
1379 95.0000000000
1474 96.0000000000
1554 97.0000000000
1693 98.0000000000
1997 99.0000000000
2966 100.0000000000
evaluations raw_y
1 56.0000000000
13 58.0000000000
23 67.0000000000
93 71.0000000000
167 72.0000000000
195 74.0000000000
207 77.0000000000
272 80.0000000000
342 82.0000000000
403 83.0000000000
408 84.0000000000
428 85.0000000000
540 86.0000000000
589 87.0000000000
653 88.0000000000
680 89.0000000000
836 90.0000000000
1016 91.0000000000
1133 92.0000000000
1256 93.0000000000
1435 95.0000000000
1514 96.0000000000
1610 97.0000000000
2044 98.0000000000
2254 99.0000000000
3178 100.0000000000
evaluations raw_y
1 55.0000000000
9 57.0000000000
14 59.0000000000
23 62.0000000000
27 63.0000000000
46 64.0000000000
52 65.0000000000
84 67.0000000000
158 71.0000000000
180 74.0000000000
217 77.0000000000
275 78.0000000000
298 79.0000000000
301 80.0000000000
359 81.0000000000
416 82.0000000000
449 83.0000000000
455 84.0000000000
471 85.0000000000
548 86.0000000000
572 88.0000000000
736 89.0000000000
780 90.0000000000
938 91.0000000000
988 92.0000000000
1035 93.0000000000
1067 94.0000000000
1107 95.0000000000
1163 96.0000000000
1406 97.0000000000
1635 98.0000000000
1892 99.0000000000
2378 100.0000000000
evaluations raw_y
1 48.0000000000
2 51.0000000000
10 54.0000000000
13 63.0000000000
41 64.0000000000
79 65.0000000000
125 66.0000000000
133 69.0000000000
169 72.0000000000
232 73.0000000000
255 74.0000000000
280 76.0000000000
297 79.0000000000
345 80.0000000000
372 82.0000000000
394 83.0000000000
413 84.0000000000
502 86.0000000000
553 87.0000000000
567 88.0000000000
620 90.0000000000
684 91.0000000000
752 92.0000000000
807 93.0000000000
935 94.0000000000
981 95.0000000000
1027 96.0000000000
1282 97.0000000000
1384 98.0000000000
1994 99.0000000000
2236 100.0000000000
evaluations raw_y
1 55.0000000000
27 60.0000000000
54 61.0000000000
80 63.0000000000
98 65.0000000000
143 66.0000000000
154 68.0000000000
174 69.0000000000
198 70.0000000000
201 71.0000000000
202 72.0000000000
213 74.0000000000
273 75.0000000000
294 76.0000000000
328 77.0000000000
368 78.0000000000
374 80.0000000000
404 83.0000000000
504 86.0000000000
607 87.0000000000
684 88.0000000000
905 89.0000000000
956 90.0000000000
1083 91.0000000000
1116 92.0000000000
1203 94.0000000000
1537 95.0000000000
1562 96.0000000000
1795 97.0000000000
2200 98.0000000000
2273 99.0000000000
2441 100.0000000000
evaluations raw_y
1 43.0000000000
2 47.0000000000
3 60.0000000000
13 61.0000000000
20 63.0000000000
55 64.0000000000
93 66.0000000000
131 67.0000000000
138 69.0000000000
190 71.0000000000
221 75.0000000000
263 76.0000000000
275 77.0000000000
298 79.0000000000
353 80.0000000000
390 81.0000000000
428 82.0000000000
501 84.0000000000
562 85.0000000000
607 86.0000000000
677 87.0000000000
821 88.0000000000
855 89.0000000000
931 90.0000000000
1138 91.0000000000
1159 92.0000000000
1316 93.0000000000
1659 94.0000000000
1758 95.0000000000
2149 97.0000000000
2327 98.0000000000
2575 99.0000000000
3355 100.0000000000
evaluations raw_y
1 50.0000000000
4 53.0000000000
7 54.0000000000
10 55.0000000000
11 59.0000000000
42 61.0000000000
47 66.0000000000
77 68.0000000000
106 71.0000000000
185 72.0000000000
198 77.0000000000
276 81.0000000000
340 83.0000000000
391 85.0000000000
456 86.0000000000
509 87.0000000000
549 88.0000000000
667 89.0000000000
785 90.0000000000
827 91.0000000000
1129 92.0000000000
1305 93.0000000000
1395 94.0000000000
1473 95.0000000000
1708 96.0000000000
2048 97.0000000000
2119 98.0000000000
2419 99.0000000000
2891 100.0000000000
evaluations raw_y
1 52.0000000000
2 63.0000000000
66 66.0000000000
109 68.0000000000
133 69.0000000000
148 72.0000000000
195 74.0000000000
259 78.0000000000
336 79.0000000000
361 80.0000000000
386 82.0000000000
430 84.0000000000
445 85.0000000000
482 86.0000000000
554 87.0000000000
582 88.0000000000
655 89.0000000000
797 90.0000000000
827 91.0000000000
924 92.0000000000
1115 93.0000000000
1227 94.0000000000
1261 95.0000000000
1424 96.0000000000
1500 97.0000000000
1728 98.0000000000
2481 99.0000000000
3610 100.0000000000
