evaluations raw_y
1 0.0000000000
2 2.0000000000
11 5.0000000000
18 10.0000000000
22 14.0000000000
46 16.0000000000
447 18.0000000000
919 20.0000000000
1187 22.0000000000
1394 25.0000000000
1660 26.0000000000
1983 31.0000000000
2632 33.0000000000
2803 34.0000000000
2961 36.0000000000
3044 39.0000000000
3624 43.0000000000
3674 45.0000000000
4141 47.0000000000
4845 48.0000000000
5060 49.0000000000
5211 51.0000000000
5342 52.0000000000
5501 58.0000000000
5830 59.0000000000
6481 61.0000000000
6576 62.0000000000
7766 71.0000000000
7895 72.0000000000
8005 73.0000000000
8617 74.0000000000
8829 75.0000000000
8836 76.0000000000
8884 77.0000000000
8963 79.0000000000
9004 81.0000000000
9464 85.0000000000
9620 88.0000000000
10018 89.0000000000
10081 90.0000000000
10174 91.0000000000
10427 92.0000000000
10506 96.0000000000
10640 97.0000000000
10675 99.0000000000
10722 100.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
5 9.0000000000
371 15.0000000000
400 16.0000000000
726 23.0000000000
1115 28.0000000000
1492 29.0000000000
1545 30.0000000000
2046 31.0000000000
2139 33.0000000000
2383 34.0000000000
2915 35.0000000000
2995 38.0000000000
3525 39.0000000000
3899 42.0000000000
4023 44.0000000000
4296 45.0000000000
4314 48.0000000000
4431 49.0000000000
5120 50.0000000000
5230 55.0000000000
5763 56.0000000000
6108 57.0000000000
6137 58.0000000000
6463 60.0000000000
6480 62.0000000000
6885 63.0000000000
7257 68.0000000000
7491 69.0000000000
8125 74.0000000000
8361 76.0000000000
8887 77.0000000000
9149 78.0000000000
9933 80.0000000000
10771 81.0000000000
11149 82.0000000000
11413 84.0000000000
11425 86.0000000000
11481 88.0000000000
11830 89.0000000000
12707 92.0000000000
12925 93.0000000000
13181 94.0000000000
13396 96.0000000000
13702 98.0000000000
13723 99.0000000000
15182 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 4.0000000000
227 8.0000000000
326 9.0000000000
652 10.0000000000
1157 16.0000000000
1166 17.0000000000
1185 18.0000000000
1228 19.0000000000
1465 20.0000000000
1793 22.0000000000
1982 26.0000000000
3012 31.0000000000
3295 33.0000000000
3490 36.0000000000
3746 37.0000000000
3896 40.0000000000
4073 41.0000000000
4232 43.0000000000
4424 44.0000000000
4733 50.0000000000
4965 51.0000000000
5071 52.0000000000
5195 54.0000000000
5516 55.0000000000
5873 56.0000000000
6225 58.0000000000
6398 59.0000000000
6474 61.0000000000
6748 63.0000000000
7237 64.0000000000
7274 67.0000000000
8067 70.0000000000
8631 72.0000000000
8845 73.0000000000
8857 75.0000000000
9289 76.0000000000
9417 77.0000000000
9642 83.0000000000
10646 84.0000000000
10960 87.0000000000
11019 90.0000000000
11091 91.0000000000
11176 93.0000000000
11240 94.0000000000
11458 95.0000000000
11876 96.0000000000
12836 97.0000000000
14094 99.0000000000
14393 100.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
23 3.0000000000
200 4.0000000000
768 5.0000000000
904 8.0000000000
1012 10.0000000000
1249 11.0000000000
1284 14.0000000000
1572 15.0000000000
1851 16.0000000000
2011 17.0000000000
2438 20.0000000000
2540 22.0000000000
2730 23.0000000000
2799 24.0000000000
3065 27.0000000000
3187 28.0000000000
3398 29.0000000000
3536 31.0000000000
3642 33.0000000000
3994 34.0000000000
4017 36.0000000000
4124 37.0000000000
4157 42.0000000000
4190 44.0000000000
4200 45.0000000000
4462 46.0000000000
4789 48.0000000000
4851 52.0000000000
4869 53.0000000000
5169 56.0000000000
6053 59.0000000000
6186 60.0000000000
6214 62.0000000000
6563 63.0000000000
6851 65.0000000000
7137 66.0000000000
7299 69.0000000000
7329 73.0000000000
7352 75.0000000000
7379 78.0000000000
7553 81.0000000000
8157 83.0000000000
8626 88.0000000000
8777 90.0000000000
9385 91.0000000000
9396 92.0000000000
9522 93.0000000000
9540 95.0000000000
10393 96.0000000000
11065 97.0000000000
11093 98.0000000000
11192 100.0000000000
evaluations raw_y
1 2.0000000000
11 4.0000000000
18 5.0000000000
180 7.0000000000
500 9.0000000000
699 12.0000000000
974 14.0000000000
1003 18.0000000000
1362 23.0000000000
1370 25.0000000000
1621 28.0000000000
1867 30.0000000000
2183 33.0000000000
2385 34.0000000000
2557 36.0000000000
2592 38.0000000000
2663 41.0000000000
3060 44.0000000000
3122 49.0000000000
3696 51.0000000000
3715 56.0000000000
3978 60.0000000000
4077 61.0000000000
4318 63.0000000000
4540 64.0000000000
4572 67.0000000000
4653 68.0000000000
4913 70.0000000000
5096 71.0000000000
5120 74.0000000000
5777 76.0000000000
5861 77.0000000000
6413 78.0000000000
7146 82.0000000000
7167 84.0000000000
7304 85.0000000000
7582 88.0000000000
7627 91.0000000000
7684 92.0000000000
7917 94.0000000000
8196 96.0000000000
8199 100.0000000000
evaluations raw_y
1 0.0000000000
4 2.0000000000
6 3.0000000000
259 7.0000000000
263 10.0000000000
365 12.0000000000
399 16.0000000000
558 17.0000000000
949 23.0000000000
1066 30.0000000000
1172 31.0000000000
1268 33.0000000000
1395 35.0000000000
1399 36.0000000000
2191 37.0000000000
2207 42.0000000000
2563 45.0000000000
2881 47.0000000000
3078 50.0000000000
3109 51.0000000000
3531 56.0000000000
3579 59.0000000000
3607 63.0000000000
4077 69.0000000000
4084 74.0000000000
4140 76.0000000000
4232 81.0000000000
4282 82.0000000000
4899 83.0000000000
4923 84.0000000000
5445 86.0000000000
6154 87.0000000000
6846 90.0000000000
6949 91.0000000000
7711 93.0000000000
8333 95.0000000000
8569 96.0000000000
8671 99.0000000000
