evaluations raw_y
1 2520.0000000000
2 2636.0000000000
5 2905.0000000000
7 3586.0000000000
27 3673.0000000000
35 3759.0000000000
42 3764.0000000000
58 3810.0000000000
85 3821.0000000000
87 3850.0000000000
92 3915.0000000000
101 3929.0000000000
109 3955.0000000000
115 3969.0000000000
125 4006.0000000000
130 4017.0000000000
144 4071.0000000000
163 4076.0000000000
172 4133.0000000000
177 4142.0000000000
185 4184.0000000000
188 4246.0000000000
220 4258.0000000000
234 4259.0000000000
279 4312.0000000000
297 4393.0000000000
317 4415.0000000000
346 4489.0000000000
391 4510.0000000000
463 4577.0000000000
470 4605.0000000000
480 4646.0000000000
491 4649.0000000000
583 4685.0000000000
600 4687.0000000000
602 4704.0000000000
603 4740.0000000000
610 4745.0000000000
616 4800.0000000000
619 4807.0000000000
687 4831.0000000000
701 4847.0000000000
727 4890.0000000000
767 4895.0000000000
778 4910.0000000000
799 4937.0000000000
851 4938.0000000000
856 4981.0000000000
860 4998.0000000000
877 5032.0000000000
1002 5050.0000000000
evaluations raw_y
1 2384.0000000000
2 2633.0000000000
4 2660.0000000000
5 2681.0000000000
6 3062.0000000000
17 3283.0000000000
20 3332.0000000000
29 3466.0000000000
30 3523.0000000000
33 3566.0000000000
37 3573.0000000000
43 3699.0000000000
47 3709.0000000000
54 3797.0000000000
58 3833.0000000000
62 3897.0000000000
88 3898.0000000000
89 3933.0000000000
106 3981.0000000000
153 3994.0000000000
157 4012.0000000000
163 4030.0000000000
171 4035.0000000000
176 4058.0000000000
177 4069.0000000000
193 4076.0000000000
196 4086.0000000000
213 4093.0000000000
214 4160.0000000000
253 4194.0000000000
256 4212.0000000000
287 4269.0000000000
299 4298.0000000000
340 4451.0000000000
360 4503.0000000000
372 4532.0000000000
376 4551.0000000000
387 4574.0000000000
390 4580.0000000000
455 4581.0000000000
456 4630.0000000000
459 4684.0000000000
476 4707.0000000000
570 4781.0000000000
638 4797.0000000000
677 4798.0000000000
678 4825.0000000000
695 4833.0000000000
748 4843.0000000000
784 4881.0000000000
789 4922.0000000000
850 4948.0000000000
863 4969.0000000000
864 4994.0000000000
918 5018.0000000000
946 5049.0000000000
1519 5050.0000000000
evaluations raw_y
1 2464.0000000000
2 2672.0000000000
7 2783.0000000000
8 2881.0000000000
10 3004.0000000000
24 3160.0000000000
25 3227.0000000000
28 3245.0000000000
39 3260.0000000000
43 3330.0000000000
45 3408.0000000000
54 3551.0000000000
71 3572.0000000000
76 3717.0000000000
85 3756.0000000000
96 3763.0000000000
127 3827.0000000000
143 3860.0000000000
146 3898.0000000000
150 3931.0000000000
160 3998.0000000000
169 4036.0000000000
202 4042.0000000000
206 4095.0000000000
234 4167.0000000000
273 4225.0000000000
278 4263.0000000000
290 4328.0000000000
316 4339.0000000000
319 4390.0000000000
344 4403.0000000000
345 4482.0000000000
364 4495.0000000000
371 4497.0000000000
377 4510.0000000000
384 4545.0000000000
393 4559.0000000000
479 4561.0000000000
513 4569.0000000000
517 4645.0000000000
538 4661.0000000000
583 4673.0000000000
688 4700.0000000000
709 4779.0000000000
870 4810.0000000000
878 4856.0000000000
988 4916.0000000000
1048 4957.0000000000
1066 4962.0000000000
1248 5020.0000000000
1388 5022.0000000000
1433 5050.0000000000
evaluations raw_y
1 2751.0000000000
4 2904.0000000000
7 2913.0000000000
8 2931.0000000000
12 3026.0000000000
15 3143.0000000000
22 3264.0000000000
23 3367.0000000000
30 3464.0000000000
38 3499.0000000000
44 3500.0000000000
47 3527.0000000000
50 3620.0000000000
58 3621.0000000000
59 3622.0000000000
62 3728.0000000000
69 3769.0000000000
84 3785.0000000000
88 3832.0000000000
101 3869.0000000000
104 3908.0000000000
112 3918.0000000000
119 3971.0000000000
141 4023.0000000000
147 4068.0000000000
168 4120.0000000000
184 4140.0000000000
185 4192.0000000000
186 4248.0000000000
188 4258.0000000000
205 4300.0000000000
219 4326.0000000000
223 4479.0000000000
240 4486.0000000000
244 4493.0000000000
250 4514.0000000000
253 4539.0000000000
267 4546.0000000000
287 4552.0000000000
319 4571.0000000000
339 4613.0000000000
400 4680.0000000000
407 4755.0000000000
460 4789.0000000000
720 4794.0000000000
792 4823.0000000000
883 4918.0000000000
965 4976.0000000000
972 4991.0000000000
991 4993.0000000000
1052 5024.0000000000
1633 5050.0000000000
evaluations raw_y
1 2803.0000000000
3 2828.0000000000
6 3046.0000000000
10 3378.0000000000
22 3383.0000000000
25 3467.0000000000
26 3711.0000000000
43 3822.0000000000
51 3880.0000000000
61 3921.0000000000
68 3939.0000000000
71 3955.0000000000
72 3986.0000000000
94 4052.0000000000
123 4071.0000000000
135 4094.0000000000
138 4113.0000000000
142 4161.0000000000
156 4222.0000000000
158 4236.0000000000
169 4297.0000000000
175 4303.0000000000
176 4369.0000000000
208 4433.0000000000
222 4443.0000000000
227 4508.0000000000
256 4601.0000000000
273 4655.0000000000
276 4663.0000000000
285 4717.0000000000
312 4750.0000000000
316 4775.0000000000
325 4831.0000000000
335 4847.0000000000
380 4857.0000000000
388 4886.0000000000
396 4891.0000000000
397 4916.0000000000
417 4952.0000000000
466 4957.0000000000
507 4988.0000000000
584 5011.0000000000
752 5023.0000000000
883 5025.0000000000
940 5044.0000000000
1897 5050.0000000000
evaluations raw_y
1 2626.0000000000
2 2730.0000000000
4 2902.0000000000
11 2960.0000000000
12 3412.0000000000
20 3498.0000000000
31 3535.0000000000
40 3560.0000000000
41 3666.0000000000
45 3712.0000000000
50 3731.0000000000
52 3739.0000000000
56 3742.0000000000
63 3810.0000000000
69 3866.0000000000
75 3871.0000000000
81 3875.0000000000
86 3978.0000000000
103 3994.0000000000
104 4001.0000000000
131 4031.0000000000
138 4040.0000000000
152 4071.0000000000
172 4147.0000000000
174 4227.0000000000
179 4235.0000000000
180 4238.0000000000
186 4318.0000000000
215 4337.0000000000
225 4389.0000000000
240 4435.0000000000
244 4480.0000000000
249 4504.0000000000
252 4506.0000000000
253 4565.0000000000
259 4575.0000000000
343 4607.0000000000
361 4651.0000000000
364 4658.0000000000
397 4685.0000000000
406 4691.0000000000
411 4773.0000000000
435 4784.0000000000
437 4798.0000000000
449 4806.0000000000
507 4826.0000000000
509 4843.0000000000
516 4863.0000000000
567 4920.0000000000
582 4924.0000000000
592 4970.0000000000
635 4991.0000000000
747 4993.0000000000
1061 4998.0000000000
1253 5009.0000000000
1259 5022.0000000000
1374 5050.0000000000
evaluations raw_y
1 2581.0000000000
2 2729.0000000000
6 2950.0000000000
8 3017.0000000000
13 3069.0000000000
15 3250.0000000000
16 3269.0000000000
23 3373.0000000000
25 3393.0000000000
34 3487.0000000000
45 3584.0000000000
49 3606.0000000000
52 3624.0000000000
56 3630.0000000000
69 3638.0000000000
71 3680.0000000000
73 3681.0000000000
81 3739.0000000000
84 3763.0000000000
89 3799.0000000000
95 3841.0000000000
97 3878.0000000000
101 3886.0000000000
105 3905.0000000000
112 3911.0000000000
117 3927.0000000000
119 3936.0000000000
141 3981.0000000000
156 3987.0000000000
160 4022.0000000000
162 4062.0000000000
164 4068.0000000000
166 4078.0000000000
170 4101.0000000000
202 4126.0000000000
203 4139.0000000000
204 4181.0000000000
207 4206.0000000000
215 4217.0000000000
229 4221.0000000000
231 4294.0000000000
243 4339.0000000000
248 4363.0000000000
253 4391.0000000000
257 4419.0000000000
263 4440.0000000000
275 4447.0000000000
277 4497.0000000000
280 4523.0000000000
286 4530.0000000000
288 4580.0000000000
303 4587.0000000000
308 4644.0000000000
346 4648.0000000000
390 4660.0000000000
419 4668.0000000000
424 4684.0000000000
431 4692.0000000000
454 4735.0000000000
465 4751.0000000000
492 4784.0000000000
510 4787.0000000000
586 4812.0000000000
594 4833.0000000000
627 4919.0000000000
700 4949.0000000000
732 4950.0000000000
792 4979.0000000000
803 5035.0000000000
848 5050.0000000000
evaluations raw_y
1 2770.0000000000
2 3025.0000000000
19 3057.0000000000
20 3181.0000000000
29 3309.0000000000
45 3338.0000000000
50 3352.0000000000
54 3381.0000000000
63 3403.0000000000
80 3499.0000000000
89 3586.0000000000
102 3658.0000000000
117 3688.0000000000
119 3713.0000000000
125 3718.0000000000
126 3751.0000000000
134 3768.0000000000
137 3820.0000000000
141 3836.0000000000
144 3866.0000000000
158 3900.0000000000
161 3934.0000000000
163 3947.0000000000
173 3962.0000000000
184 4030.0000000000
197 4106.0000000000
210 4177.0000000000
218 4239.0000000000
258 4290.0000000000
259 4297.0000000000
279 4320.0000000000
283 4389.0000000000
297 4406.0000000000
298 4463.0000000000
309 4486.0000000000
310 4514.0000000000
338 4529.0000000000
364 4570.0000000000
428 4579.0000000000
436 4586.0000000000
437 4591.0000000000
445 4643.0000000000
531 4675.0000000000
583 4712.0000000000
622 4738.0000000000
654 4746.0000000000
660 4766.0000000000
686 4773.0000000000
729 4788.0000000000
731 4798.0000000000
745 4876.0000000000
785 4899.0000000000
868 4913.0000000000
1032 4981.0000000000
1036 4991.0000000000
1144 5012.0000000000
1268 5050.0000000000
evaluations raw_y
1 2848.0000000000
6 3034.0000000000
15 3179.0000000000
22 3198.0000000000
25 3292.0000000000
28 3566.0000000000
50 3598.0000000000
66 3636.0000000000
74 3718.0000000000
100 3732.0000000000
112 3774.0000000000
121 3789.0000000000
138 3825.0000000000
142 3843.0000000000
147 3845.0000000000
157 3851.0000000000
170 3860.0000000000
180 3899.0000000000
205 3922.0000000000
217 3960.0000000000
222 3983.0000000000
234 4015.0000000000
238 4078.0000000000
250 4131.0000000000
253 4163.0000000000
270 4168.0000000000
293 4193.0000000000
307 4200.0000000000
323 4222.0000000000
331 4265.0000000000
365 4343.0000000000
382 4389.0000000000
395 4424.0000000000
400 4425.0000000000
426 4517.0000000000
451 4588.0000000000
491 4640.0000000000
521 4650.0000000000
525 4730.0000000000
531 4762.0000000000
547 4779.0000000000
549 4814.0000000000
592 4902.0000000000
613 4912.0000000000
649 4958.0000000000
657 4968.0000000000
687 5042.0000000000
1004 5050.0000000000
evaluations raw_y
1 2740.0000000000
2 3039.0000000000
10 3379.0000000000
17 3500.0000000000
21 3543.0000000000
33 3695.0000000000
39 3703.0000000000
40 3813.0000000000
51 3831.0000000000
52 3911.0000000000
75 3997.0000000000
90 4035.0000000000
118 4056.0000000000
127 4101.0000000000
146 4137.0000000000
