evaluations raw_y
1 1.5595757954
10 1.5752993069
23 1.5954052329
26 1.6633399867
39 1.6995241332
41 1.7349063151
42 1.7717930546
43 1.8050541516
56 1.8234865062
68 1.8422991894
107 1.9305019305
115 1.9888623707
150 2.0308692120
157 2.0508613618
166 2.2222222222
168 2.2261798753
180 2.4061597690
231 2.4108003857
290 2.5329280648
334 2.5588536336
372 3.1446540881
486 3.2509752926
722 3.2938076416
29031 3.3288948069
29292 3.3921302578
29670 3.4770514604
29959 3.4867503487
30013 3.5561877667
65981 3.6390101892
66130 3.6710719530
66389 3.7037037037
68296 3.8520801233
68421 4.0916530278
100000 2.8506271380
evaluations raw_y
1 1.1431184271
3 1.1820330969
8 1.4628437683
10 1.9275250578
24 2.1720243267
31 2.1910604733
112 2.2665457842
114 2.2914757104
148 2.3126734505
177 2.3969319271
193 2.4015369837
195 2.4485798237
264 2.6852846402
374 2.8768699655
437 3.0084235860
451 3.0303030303
471 3.2594524120
530 3.3025099075
557 3.3288948069
49725 3.4387895461
49770 3.4482758621
49955 3.4770514604
51208 3.5161744023
51246 3.6075036075
100000 2.9515938607
evaluations raw_y
1 0.7261109498
2 1.0855405992
4 1.2827090816
6 1.2933264356
22 1.3535462913
25 1.3594344753
33 1.5142337977
44 1.5994881638
52 2.0016012810
73 2.0576131687
74 2.3084025854
89 2.3562676720
116 2.5329280648
165 2.6455026455
273 2.7685492802
301 2.9036004646
344 3.0084235860
452 3.1685678074
590 3.2594524120
719 3.4867503487
861 3.5561877667
999 3.6710719530
1021 3.8402457757
2181 3.9001560062
2291 3.9872408293
100000 2.9726516052
evaluations raw_y
1 1.2619888945
2 1.3304949441
4 1.6436554898
40 1.7519271198
62 1.8896447468
85 1.9825535289
164 1.9984012790
171 2.0048115477
180 2.0542317173
278 2.2831050228
341 2.3212627669
389 2.4925224327
409 2.4975024975
572 2.5025025025
612 2.6624068158
617 2.7502750275
763 2.7563395810
1038 2.9036004646
1061 2.9377203290
1147 2.9797377831
1157 3.0012004802
1198 3.0084235860
1510 3.1055900621
2234 3.2092426187
2290 3.2341526520
2440 3.2938076416
2697 3.5260930889
3053 3.8167938931
3435 3.8284839204
4245 4.3782837128
4432 4.6554934823
4461 4.9309664694
100000 3.7593984962
evaluations raw_y
1 1.0150223305
2 1.1379153391
4 1.4326647564
20 1.5033072760
23 1.5271838729
31 1.5873015873
33 1.6244314490
40 1.7158544955
42 1.8102824041
46 1.9186492709
68 1.9275250578
122 2.0576131687
146 2.1533161068
149 2.2301516503
177 2.3169601483
181 2.3342670401
193 2.4679170780
195 2.5960539979
197 2.6068821689
202 2.6680896478
288 2.8312570781
338 2.8376844495
343 2.8702640643
409 2.9036004646
433 2.9655990510
471 3.0156815440
533 3.2258064516
651 3.2679738562
783 3.4965034965
951 3.5460992908
1616 3.6179450072
1781 3.9001560062
2746 3.9619651347
2749 4.0518638574
3912 4.0650406504
4444 4.2444821732
4835 4.2881646655
100000 3.1847133758
evaluations raw_y
1 0.7949125596
2 0.9777082519
3 1.3027618551
9 1.3927576602
11 1.4475969890
20 1.7642907551
34 1.8615040953
40 1.8754688672
50 1.8896447468
54 2.1570319241
62 2.3342670401
155 2.3562676720
186 2.5025025025
195 2.7382256298
320 2.8312570781
321 2.9239766082
339 3.2509752926
342 3.2594524120
357 3.2851511170
489 3.4199726402
515 3.4674063800
952 3.4770514604
1045 3.5063113604
1477 3.6179450072
1864 3.6927621861
4251 3.7147102526
4322 3.7936267071
4376 3.9246467818
4594 4.0387722132
4890 4.1050903120
5533 4.2881646655
5646 4.4247787611
100000 4.4247787611
evaluations raw_y
1 0.9167583425
2 0.9269558769
3 1.0615711253
4 1.5069318867
19 1.6286644951
36 1.7301038062
39 1.8288222385
108 1.8477457502
160 1.9127773527
