evaluations raw_y
1 -1478.0000000000
4 -1400.0000000000
10 -1361.0000000000
15 -1322.0000000000
16 -1293.0000000000
21 -1283.0000000000
25 -1244.0000000000
32 -1186.0000000000
38 -1157.0000000000
59 -1128.0000000000
60 -1089.0000000000
73 -1050.0000000000
91 -1021.0000000000
96 -1011.0000000000
100 -972.0000000000
101 -933.0000000000
117 -894.0000000000
118 -855.0000000000
121 -826.0000000000
123 -787.0000000000
128 -758.0000000000
140 -719.0000000000
149 -680.0000000000
152 -641.0000000000
158 -612.0000000000
160 -602.0000000000
165 -573.0000000000
192 -534.0000000000
194 -505.0000000000
219 -466.0000000000
226 -437.0000000000
231 -408.0000000000
242 -379.0000000000
248 -311.0000000000
275 -301.0000000000
281 -282.0000000000
302 -263.0000000000
309 -234.0000000000
312 -215.0000000000
327 -176.0000000000
354 -157.0000000000
355 -128.0000000000
385 -118.0000000000
415 -117.0000000000
422 -88.0000000000
484 -50.0000000000
504 -31.0000000000
526 -12.0000000000
580 -3.0000000000
607 6.0000000000
621 7.0000000000
629 8.0000000000
1101 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1274.0000000000
3 -1167.0000000000
5 -1128.0000000000
9 -1050.0000000000
24 -1021.0000000000
35 -953.0000000000
45 -924.0000000000
47 -895.0000000000
49 -856.0000000000
57 -827.0000000000
69 -807.0000000000
74 -788.0000000000
80 -749.0000000000
81 -710.0000000000
82 -671.0000000000
92 -632.0000000000
93 -593.0000000000
103 -583.0000000000
126 -573.0000000000
133 -544.0000000000
151 -476.0000000000
163 -457.0000000000
191 -447.0000000000
197 -418.0000000000
204 -379.0000000000
214 -340.0000000000
224 -321.0000000000
265 -282.0000000000
274 -263.0000000000
281 -234.0000000000
307 -224.0000000000
316 -204.0000000000
333 -185.0000000000
356 -166.0000000000
385 -137.0000000000
465 -118.0000000000
472 -89.0000000000
504 -50.0000000000
569 -31.0000000000
585 -12.0000000000
672 -3.0000000000
920 6.0000000000
948 7.0000000000
1001 8.0000000000
100000 -31.0000000000
evaluations raw_y
1 -1410.0000000000
2 -1371.0000000000
5 -1293.0000000000
22 -1254.0000000000
26 -1225.0000000000
33 -1196.0000000000
35 -1167.0000000000
39 -1128.0000000000
49 -1099.0000000000
65 -1060.0000000000
71 -1021.0000000000
73 -982.0000000000
86 -943.0000000000
90 -904.0000000000
91 -865.0000000000
95 -826.0000000000
96 -787.0000000000
127 -748.0000000000
130 -719.0000000000
131 -680.0000000000
140 -641.0000000000
146 -612.0000000000
156 -534.0000000000
167 -524.0000000000
176 -505.0000000000
178 -476.0000000000
182 -447.0000000000
202 -418.0000000000
203 -389.0000000000
207 -360.0000000000
211 -321.0000000000
214 -302.0000000000
219 -283.0000000000
242 -273.0000000000
248 -244.0000000000
249 -205.0000000000
265 -176.0000000000
270 -167.0000000000
281 -138.0000000000
360 -129.0000000000
387 -110.0000000000
494 -109.0000000000
505 -99.0000000000
516 -80.0000000000
529 -51.0000000000
547 -32.0000000000
548 -23.0000000000
578 -14.0000000000
614 -5.0000000000
616 -4.0000000000
658 -3.0000000000
704 6.0000000000
857 7.0000000000
1595 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1469.0000000000
5 -1430.0000000000
10 -1391.0000000000
11 -1352.0000000000
15 -1342.0000000000
21 -1303.0000000000
26 -1264.0000000000
51 -1225.0000000000
52 -1186.0000000000
60 -1147.0000000000
63 -1137.0000000000
65 -1098.0000000000
72 -1059.0000000000
79 -1020.0000000000
92 -991.0000000000
99 -952.0000000000
102 -913.0000000000
113 -884.0000000000
115 -855.0000000000
116 -816.0000000000
123 -787.0000000000
139 -768.0000000000
143 -729.0000000000
145 -700.0000000000
147 -661.0000000000
148 -622.0000000000
150 -593.0000000000
155 -554.0000000000
160 -525.0000000000
166 -496.0000000000
168 -457.0000000000
179 -437.0000000000
202 -408.0000000000
205 -379.0000000000
209 -340.0000000000
215 -311.0000000000
217 -272.0000000000
222 -253.0000000000
259 -234.0000000000
322 -215.0000000000
340 -186.0000000000
375 -167.0000000000
390 -148.0000000000
397 -139.0000000000
413 -110.0000000000
506 -81.0000000000
511 -62.0000000000
543 -61.0000000000
643 -32.0000000000
769 -23.0000000000
823 -22.0000000000
828 -21.0000000000
869 -2.0000000000
874 -1.0000000000
959 8.0000000000
1209 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1332.0000000000
19 -1293.0000000000
21 -1254.0000000000
22 -1225.0000000000
42 -1186.0000000000
52 -1147.0000000000
61 -1108.0000000000
62 -1069.0000000000
67 -1030.0000000000
71 -1001.0000000000
81 -982.0000000000
110 -943.0000000000
114 -914.0000000000
118 -875.0000000000
128 -797.0000000000
130 -768.0000000000
134 -758.0000000000
142 -729.0000000000
144 -700.0000000000
149 -690.0000000000
179 -651.0000000000
189 -612.0000000000
200 -573.0000000000
220 -544.0000000000
243 -515.0000000000
247 -476.0000000000
260 -437.0000000000
277 -331.0000000000
283 -312.0000000000
292 -293.0000000000
308 -283.0000000000
314 -254.0000000000
337 -215.0000000000
359 -186.0000000000
435 -167.0000000000
440 -110.0000000000
471 -91.0000000000
480 -72.0000000000
511 -71.0000000000
558 -52.0000000000
569 -51.0000000000
