evaluations raw_y
1 45.0000000000
11 46.0000000000
12 47.0000000000
15 49.0000000000
23 50.0000000000
28 51.0000000000
31 52.0000000000
39 53.0000000000
44 54.0000000000
46 55.0000000000
48 56.0000000000
56 57.0000000000
68 58.0000000000
75 59.0000000000
104 60.0000000000
112 61.0000000000
113 62.0000000000
118 63.0000000000
122 64.0000000000
129 65.0000000000
133 67.0000000000
151 68.0000000000
154 69.0000000000
171 70.0000000000
177 72.0000000000
178 74.0000000000
196 75.0000000000
211 76.0000000000
216 77.0000000000
224 78.0000000000
229 79.0000000000
238 80.0000000000
259 81.0000000000
295 82.0000000000
333 83.0000000000
353 84.0000000000
388 85.0000000000
394 86.0000000000
402 87.0000000000
442 88.0000000000
461 90.0000000000
493 91.0000000000
517 92.0000000000
583 93.0000000000
615 94.0000000000
657 95.0000000000
683 96.0000000000
772 97.0000000000
787 98.0000000000
876 99.0000000000
911 100.0000000000
evaluations raw_y
1 99.0000000000
810 100.0000000000
evaluations raw_y
1 99.0000000000
82 100.0000000000
evaluations raw_y
1 99.0000000000
109 100.0000000000
evaluations raw_y
1 99.0000000000
289 100.0000000000
evaluations raw_y
1 99.0000000000
205 100.0000000000
evaluations raw_y
1 99.0000000000
160 100.0000000000
evaluations raw_y
1 98.0000000000
332 99.0000000000
417 100.0000000000
evaluations raw_y
1 99.0000000000
363 100.0000000000
evaluations raw_y
1 99.0000000000
414 100.0000000000
evaluations raw_y
1 57.0000000000
2 58.0000000000
20 59.0000000000
92 60.0000000000
93 61.0000000000
542 62.0000000000
551 63.0000000000
556 64.0000000000
557 65.0000000000
563 66.0000000000
3249 67.0000000000
100000 48.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
17 51.0000000000
44 52.0000000000
84 53.0000000000
125 54.0000000000
144 55.0000000000
497 57.0000000000
501 58.0000000000
507 60.0000000000
509 61.0000000000
1946 62.0000000000
8477 63.0000000000
8479 64.0000000000
13174 65.0000000000
19315 66.0000000000
19318 67.0000000000
19365 68.0000000000
19374 69.0000000000
19375 70.0000000000
19377 71.0000000000
100000 47.0000000000
evaluations raw_y
1 47.0000000000
5 48.0000000000
13 50.0000000000
16 51.0000000000
21 52.0000000000
23 53.0000000000
24 54.0000000000
32 55.0000000000
39 56.0000000000
66 57.0000000000
97 58.0000000000
254 60.0000000000
266 61.0000000000
1523 62.0000000000
1526 63.0000000000
1531 64.0000000000
1532 65.0000000000
25843 67.0000000000
25845 68.0000000000
100000 48.0000000000
evaluations raw_y
1 48.0000000000
3 49.0000000000
92 50.0000000000
116 51.0000000000
209 52.0000000000
210 53.0000000000
234 54.0000000000
245 55.0000000000
247 56.0000000000
264 57.0000000000
266 58.0000000000
267 59.0000000000
268 60.0000000000
272 61.0000000000
273 62.0000000000
284 63.0000000000
286 64.0000000000
299 65.0000000000
3419 66.0000000000
17810 67.0000000000
17812 68.0000000000
100000 46.0000000000
evaluations raw_y
1 45.0000000000
4 46.0000000000
6 47.0000000000
20 49.0000000000
28 50.0000000000
112 51.0000000000
117 52.0000000000
125 53.0000000000
127 54.0000000000
213 55.0000000000
218 56.0000000000
403 57.0000000000
404 58.0000000000
408 59.0000000000
451 60.0000000000
4047 61.0000000000
15151 62.0000000000
15152 63.0000000000
15155 64.0000000000
22135 65.0000000000
32843 66.0000000000
32844 67.0000000000
32861 68.0000000000
32862 69.0000000000
100000 53.0000000000
evaluations raw_y
1 53.0000000000
8 54.0000000000
9 55.0000000000
10 56.0000000000
20 57.0000000000
22 58.0000000000
651 59.0000000000
793 60.0000000000
794 61.0000000000
811 63.0000000000
818 64.0000000000
6510 65.0000000000
6523 66.0000000000
6524 67.0000000000
6533 68.0000000000
6550 69.0000000000
6551 70.0000000000
100000 48.0000000000
evaluations raw_y
1 49.0000000000
2 51.0000000000
10 52.0000000000
452 53.0000000000
878 54.0000000000
881 55.0000000000
882 56.0000000000
895 57.0000000000
901 58.0000000000
904 59.0000000000
2467 60.0000000000
2468 61.0000000000
2641 62.0000000000
8292 63.0000000000
8298 65.0000000000
33952 66.0000000000
43328 68.0000000000
43333 69.0000000000
43335 70.0000000000
43337 71.0000000000
43340 72.0000000000
100000 51.0000000000
evaluations raw_y
1 51.0000000000
6 52.0000000000
589 53.0000000000
590 54.0000000000
592 56.0000000000
594 57.0000000000
601 58.0000000000
608 59.0000000000
631 60.0000000000
2280 61.0000000000
2282 62.0000000000
2289 63.0000000000
2551 64.0000000000
2571 65.0000000000
21033 66.0000000000
21036 67.0000000000
100000 46.0000000000
evaluations raw_y
1 46.0000000000
3 48.0000000000
29 49.0000000000
41 50.0000000000
49 51.0000000000
52 52.0000000000
268 53.0000000000
297 54.0000000000
410 55.0000000000
1329 56.0000000000
1332 57.0000000000
1350 58.0000000000
1358 59.0000000000
1765 60.0000000000
1780 61.0000000000
1794 62.0000000000
15084 63.0000000000
15088 64.0000000000
19762 65.0000000000
19763 67.0000000000
19870 68.0000000000
19871 69.0000000000
19874 70.0000000000
88052 71.0000000000
100000 50.0000000000
evaluations raw_y
1 50.0000000000
4 51.0000000000
112 52.0000000000
114 53.0000000000
123 54.0000000000
268 55.0000000000
269 56.0000000000
270 57.0000000000
275 58.0000000000
1250 59.0000000000
1252 60.0000000000
5365 62.0000000000
5573 63.0000000000
9238 64.0000000000
46708 65.0000000000
50828 66.0000000000
50829 68.0000000000
100000 45.0000000000
evaluations raw_y
1 54.0000000000
4 55.0000000000
14 56.0000000000
17 59.0000000000
29 62.0000000000
39 63.0000000000
51 64.0000000000
55 65.0000000000
65 66.0000000000
75 68.0000000000
97 69.0000000000
101 70.0000000000
114 71.0000000000
128 72.0000000000
132 73.0000000000
136 74.0000000000
146 75.0000000000
159 76.0000000000
168 77.0000000000
171 78.0000000000
186 79.0000000000
195 80.0000000000
235 81.0000000000
244 82.0000000000
325 83.0000000000
354 84.0000000000
400 85.0000000000
441 86.0000000000
474 87.0000000000
498 88.0000000000
533 89.0000000000
559 90.0000000000
588 91.0000000000
593 92.0000000000
614 93.0000000000
754 94.0000000000
840 95.0000000000
1263 96.0000000000
1369 97.0000000000
1532 98.0000000000
1636 99.0000000000
1795 100.0000000000
evaluations raw_y
1 98.0000000000
3 99.0000000000
209 100.0000000000
evaluations raw_y
1 99.0000000000
90 100.0000000000
evaluations raw_y
1 99.0000000000
693 100.0000000000
evaluations raw_y
1 98.0000000000
5 99.0000000000
134 100.0000000000
evaluations raw_y
1 99.0000000000
176 100.0000000000
evaluations raw_y
1 96.0000000000
2 99.0000000000
468 100.0000000000
evaluations raw_y
1 98.0000000000
7 99.0000000000
83 100.0000000000
evaluations raw_y
1 97.0000000000
2 98.0000000000
5 99.0000000000
750 100.0000000000
evaluations raw_y
1 99.0000000000
545 100.0000000000
evaluations raw_y
1 42.0000000000
2 49.0000000000
3 53.0000000000
5 56.0000000000
65 59.0000000000
6624 61.0000000000
19366 62.0000000000
19603 63.0000000000
19613 64.0000000000
28966 65.0000000000
47932 66.0000000000
47944 67.0000000000
47951 68.0000000000
47979 69.0000000000
48020 70.0000000000
100000 46.0000000000
evaluations raw_y
1 47.0000000000
2 48.0000000000
5 49.0000000000
10 50.0000000000
240 51.0000000000
901 52.0000000000
960 54.0000000000
1066 55.0000000000
1079 58.0000000000
1135 59.0000000000
1284 60.0000000000
1385 62.0000000000
5139 63.0000000000
5227 65.0000000000
94882 67.0000000000
95053 68.0000000000
95245 69.0000000000
95294 70.0000000000
100000 49.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
3 55.0000000000
4226 56.0000000000
9932 58.0000000000
9949 59.0000000000
9968 60.0000000000
18729 61.0000000000
18765 63.0000000000
25476 64.0000000000
25548 65.0000000000
25556 66.0000000000
25559 67.0000000000
25622 68.0000000000
26052 69.0000000000
100000 51.0000000000
evaluations raw_y
1 54.0000000000
2 55.0000000000
5 58.0000000000
7 60.0000000000
305 61.0000000000
4468 62.0000000000
4538 63.0000000000
51049 64.0000000000
64444 65.0000000000
64458 67.0000000000
64580 68.0000000000
100000 51.0000000000
evaluations raw_y
1 46.0000000000
2 51.0000000000
8 52.0000000000
15 53.0000000000
25 54.0000000000
144 55.0000000000
