evaluations raw_y
1 1.0477787091
4 1.0548523207
7 1.2794268168
12 1.9500780031
253 2.1663778163
435 2.8344671202
16153 3.1172069825
18840 3.3156498674
58487 3.5410764873
125000 1.8355359765
evaluations raw_y
1 1.3007284079
4 1.3572204126
6 1.8355359765
52 1.9500780031
59 2.1663778163
345 2.3277467412
750 2.4366471735
3228 2.4752475248
5536 2.6881720430
8416 2.8868360277
19827 3.1806615776
87829 3.2467532468
125000 1.9025875190
evaluations raw_y
1 1.1478420569
3 1.1563367253
4 2.3277467412
858 2.5562372188
3938 3.1806615776
15567 3.3875338753
125000 1.4585764294
evaluations raw_y
1 0.8871540099
3 0.9697439876
4 1.1312217195
5 1.2195121951
10 1.4450867052
11 1.4863258026
20 2.1968365554
276 2.4366471735
4928 2.4752475248
6378 2.5562372188
7747 2.5987525988
9368 2.6881720430
36391 2.8344671202
63268 2.9411764706
125000 0.9238728751
evaluations raw_y
1 0.9349289454
2 1.1478420569
5 1.6254876463
22 1.8355359765
55 2.1968365554
683 2.3629489603
1708 2.3992322457
2605 2.4366471735
3746 2.8344671202
12176 3.1806615776
125000 0.9462528388
evaluations raw_y
1 0.7617306520
3 1.0766580534
5 1.2690355330
7 1.6778523490
12 2.0000000000
19 2.2281639929
144 2.6427061311
9319 2.6881720430
17949 2.7839643653
20895 2.9976019185
106122 3.1806615776
125000 1.0204081633
evaluations raw_y
1 0.7034327518
2 0.9520182788
3 1.2388503469
5 1.3935340022
9 1.5006002401
14 1.5923566879
72 1.6778523490
85 1.7146776406
133 1.9747235387
369 2.1663778163
856 2.1968365554
1019 2.3992322457
3010 2.4366471735
5242 2.4752475248
5474 2.6881720430
20529 3.0562347188
49480 3.2467532468
125000 1.0548523207
evaluations raw_y
1 1.4188422247
7 1.7730496454
138 2.1367521368
682 2.1663778163
913 2.2935779817
1824 3.1806615776
125000 0.7580351728
evaluations raw_y
1 1.0620220901
4 1.8142235123
47 2.1367521368
388 2.2281639929
1069 2.3992322457
3115 2.4366471735
6041 2.4752475248
8505 2.5987525988
8605 2.6427061311
12166 2.8868360277
47557 3.0562347188
58307 3.1172069825
118561 3.2467532468
125000 1.2899896801
evaluations raw_y
1 1.2690355330
4 1.3691128149
5 1.4450867052
9 1.4723203769
12 1.5299877601
13 1.6425755585
29 1.6600265604
48 1.8573551263
62 2.0798668885
84 2.5150905433
589 3.0562347188
125000 0.9819324430
