evaluations raw_y
1 32.0000000000
42 34.0000000000
49 37.0000000000
1025 38.0000000000
5305 40.0000000000
125000 18.0000000000
evaluations raw_y
1 25.0000000000
5 26.0000000000
7 32.0000000000
114 36.0000000000
6030 37.0000000000
10958 40.0000000000
125000 24.0000000000
evaluations raw_y
1 23.0000000000
2 31.0000000000
51 33.0000000000
102 35.0000000000
966 36.0000000000
1954 37.0000000000
19969 38.0000000000
40349 40.0000000000
125000 32.0000000000
evaluations raw_y
1 32.0000000000
28 33.0000000000
174 35.0000000000
593 36.0000000000
2532 37.0000000000
3785 38.0000000000
9205 39.0000000000
67270 40.0000000000
125000 29.0000000000
evaluations raw_y
1 22.0000000000
2 27.0000000000
6 30.0000000000
32 32.0000000000
48 33.0000000000
146 35.0000000000
302 37.0000000000
4140 39.0000000000
10015 41.0000000000
125000 20.0000000000
evaluations raw_y
1 25.0000000000
2 26.0000000000
7 28.0000000000
9 29.0000000000
21 31.0000000000
31 34.0000000000
187 35.0000000000
206 36.0000000000
1385 39.0000000000
18279 40.0000000000
125000 26.0000000000
evaluations raw_y
1 21.0000000000
2 29.0000000000
4 31.0000000000
23 32.0000000000
50 34.0000000000
356 35.0000000000
1490 36.0000000000
2308 39.0000000000
52857 42.0000000000
125000 28.0000000000
evaluations raw_y
1 28.0000000000
3 33.0000000000
134 34.0000000000
553 35.0000000000
2263 36.0000000000
8890 38.0000000000
20211 42.0000000000
125000 23.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
4 29.0000000000
12 31.0000000000
17 35.0000000000
791 36.0000000000
3142 37.0000000000
5763 38.0000000000
17286 39.0000000000
43411 40.0000000000
125000 25.0000000000
evaluations raw_y
1 28.0000000000
7 32.0000000000
13 34.0000000000
41 35.0000000000
116 36.0000000000
605 39.0000000000
125000 25.0000000000
