evaluations raw_y
1 2.0000000000
18 5.0000000000
20 8.0000000000
897 9.0000000000
1682 12.0000000000
5575 13.0000000000
26191 14.0000000000
84198 15.0000000000
87918 17.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
6 2.0000000000
7 6.0000000000
37 7.0000000000
83 8.0000000000
1045 9.0000000000
1300 13.0000000000
8769 15.0000000000
125000 1.0000000000
evaluations raw_y
1 3.0000000000
15 4.0000000000
66 5.0000000000
100 6.0000000000
226 9.0000000000
654 10.0000000000
2587 14.0000000000
73417 15.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
6 3.0000000000
11 4.0000000000
39 8.0000000000
67 10.0000000000
393 13.0000000000
41858 14.0000000000
57257 15.0000000000
69274 16.0000000000
100584 18.0000000000
103793 19.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
4 4.0000000000
6 5.0000000000
185 8.0000000000
740 10.0000000000
2447 11.0000000000
9734 14.0000000000
14408 15.0000000000
26272 16.0000000000
125000 0.0000000000
evaluations raw_y
1 3.0000000000
30 4.0000000000
62 6.0000000000
218 7.0000000000
279 9.0000000000
430 10.0000000000
661 11.0000000000
8238 13.0000000000
34105 15.0000000000
85034 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
3 3.0000000000
41 4.0000000000
65 5.0000000000
110 6.0000000000
310 8.0000000000
607 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
7 6.0000000000
422 8.0000000000
2286 9.0000000000
2441 10.0000000000
3656 11.0000000000
5049 13.0000000000
10906 17.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
15 5.0000000000
54 8.0000000000
251 10.0000000000
2018 12.0000000000
16800 15.0000000000
57065 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
6 4.0000000000
9 5.0000000000
124 9.0000000000
3218 11.0000000000
8890 12.0000000000
15722 15.0000000000
74889 16.0000000000
93509 17.0000000000
125000 2.0000000000
