evaluations raw_y
1 1.0950503723
2 1.1145786893
5 1.1876484561
8 1.4392630973
12 1.4560279557
13 1.6414970453
25 1.6744809109
28 1.7793594306
33 1.8102824041
34 1.8504811251
38 1.9577133908
42 1.9794140934
43 2.0275750203
49 2.1645021645
54 2.1758050479
55 2.2583559169
56 2.2956841139
61 2.3169601483
82 2.3832221163
88 2.4533856722
120 2.7563395810
209 2.8506271380
221 2.9239766082
230 2.9308323564
278 3.0012004802
285 3.2594524120
299 3.2679738562
487 3.3647375505
511 3.4293552812
583 3.4770514604
662 3.7147102526
776 3.7481259370
100000 3.7481259370
evaluations raw_y
1 0.9235315848
2 1.0158472166
5 1.1106175033
6 1.1633317822
19 1.1865211201
21 1.3376136972
23 1.4021312395
25 1.4326647564
35 1.4560279557
44 1.6722408027
53 1.8261504748
55 1.9546520719
62 1.9920318725
92 2.0016012810
98 2.0242914980
107 2.1607605877
109 2.1987686895
114 2.2341376229
128 2.4248302619
136 2.5176233635
159 2.6288117771
167 2.6511134677
205 2.6680896478
220 2.7085590466
251 2.8636884307
253 2.8968713789
359 3.2258064516
364 3.2679738562
480 3.2938076416
519 3.3921302578
1574 3.4674063800
1627 3.5765379113
1650 3.7147102526
1692 3.9619651347
1915 4.2735042735
1933 4.4091710758
100000 2.9726516052
evaluations raw_y
1 1.2118274358
4 1.2518778167
8 1.2581781580
10 1.3896609227
11 1.5234613041
13 1.6202203500
14 1.6903313049
24 1.8315018315
56 1.9638648861
69 2.1061499579
87 2.1385799829
120 2.1645021645
154 2.1987686895
160 2.2381378693
174 2.3741690408
195 2.5960539979
246 2.7808676307
370 2.9585798817
373 3.3467202142
571 3.3738191633
587 3.4965034965
898 3.5063113604
1011 3.5561877667
10445 3.6390101892
10749 3.8759689922
100000 3.8759689922
evaluations raw_y
1 1.0300782859
2 1.1256190905
8 1.2236906510
12 1.2382367509
18 1.4261266400
27 1.5015015015
28 1.7972681524
37 1.8395879323
43 2.0275750203
60 2.2542831380
89 2.4154589372
155 2.4582104228
194 2.5329280648
200 2.6455026455
213 2.8058361392
223 2.8312570781
338 2.9797377831
428 3.0450669915
457 3.1133250311
483 3.2258064516
535 3.4867503487
557 3.5765379113
6543 3.6603221083
6623 3.7369207773
6669 3.7936267071
6741 3.8759689922
6828 3.9872408293
7386 4.2158516020
7622 4.2881646655
100000 3.6710719530
evaluations raw_y
1 1.0395010395
2 1.1205737338
3 1.1600928074
4 1.1887779363
6 1.2594458438
7 1.4628437683
17 1.4784151390
26 1.4801657786
30 1.5015015015
31 1.5518311608
33 1.5615240475
37 1.7301038062
43 1.7373175817
46 1.7972681524
47 1.9638648861
56 2.0016012810
64 2.0308692120
65 2.3041474654
69 2.4248302619
93 2.5176233635
94 2.6178010471
106 2.7085590466
114 2.9446407538
115 2.9515938607
239 2.9585798817
370 3.0525030525
464 3.3557046980
486 3.4013605442
491 3.4106412005
565 3.6818851252
763 4.0783034258
766 4.3478260870
1258 4.3936731107
8102 4.4247787611
19108 4.5045045045
100000 3.2092426187
evaluations raw_y
1 0.9686168152
4 1.1494252874
13 1.2827090816
14 1.3361838589
33 1.3579576317
37 1.3958682300
40 1.5479876161
48 1.7692852088
51 1.9857029388
55 2.0955574183
69 2.2026431718
90 2.3212627669
125 2.3430178069
127 2.5025025025
147 2.5693730730
