evaluations raw_y
559 6.0000000000
623 7.0000000000
658 8.0000000000
1913 9.0000000000
evaluations raw_y
1 -1148.0000000000
4 -1109.0000000000
9 -1070.0000000000
10 -1031.0000000000
11 -963.0000000000
20 -924.0000000000
26 -885.0000000000
51 -846.0000000000
55 -807.0000000000
59 -768.0000000000
64 -729.0000000000
80 -690.0000000000
81 -661.0000000000
82 -622.0000000000
88 -583.0000000000
90 -573.0000000000
91 -534.0000000000
100 -466.0000000000
104 -427.0000000000
124 -369.0000000000
137 -330.0000000000
138 -320.0000000000
144 -311.0000000000
151 -292.0000000000
169 -253.0000000000
172 -224.0000000000
179 -195.0000000000
185 -166.0000000000
186 -137.0000000000
246 -108.0000000000
285 -99.0000000000
323 -51.0000000000
325 -42.0000000000
349 -41.0000000000
380 -32.0000000000
492 -3.0000000000
536 6.0000000000
564 7.0000000000
616 8.0000000000
1071 9.0000000000
evaluations raw_y
1 -1098.0000000000
3 -1059.0000000000
5 -1020.0000000000
16 -971.0000000000
19 -932.0000000000
25 -893.0000000000
30 -854.0000000000
31 -835.0000000000
32 -806.0000000000
42 -738.0000000000
64 -709.0000000000
65 -670.0000000000
67 -631.0000000000
73 -592.0000000000
84 -553.0000000000
89 -524.0000000000
92 -495.0000000000
103 -456.0000000000
119 -427.0000000000
124 -320.0000000000
126 -301.0000000000
128 -272.0000000000
131 -253.0000000000
138 -224.0000000000
139 -195.0000000000
169 -176.0000000000
178 -167.0000000000
231 -157.0000000000
259 -138.0000000000
264 -137.0000000000
338 -98.0000000000
366 -69.0000000000
370 -50.0000000000
407 -31.0000000000
411 -22.0000000000
423 -13.0000000000
434 6.0000000000
455 7.0000000000
1141 8.0000000000
evaluations raw_y
1 -1254.0000000000
2 -1215.0000000000
6 -1176.0000000000
9 -1137.0000000000
14 -1098.0000000000
17 -1030.0000000000
19 -991.0000000000
21 -952.0000000000
23 -913.0000000000
25 -884.0000000000
31 -865.0000000000
33 -836.0000000000
34 -807.0000000000
60 -768.0000000000
65 -729.0000000000
70 -700.0000000000
86 -632.0000000000
94 -593.0000000000
97 -554.0000000000
99 -515.0000000000
100 -486.0000000000
102 -457.0000000000
117 -428.0000000000
120 -409.0000000000
127 -380.0000000000
166 -341.0000000000
196 -302.0000000000
197 -273.0000000000
206 -244.0000000000
216 -225.0000000000
222 -206.0000000000
230 -177.0000000000
235 -128.0000000000
264 -119.0000000000
270 -109.0000000000
289 -81.0000000000
293 -71.0000000000
302 -62.0000000000
303 -53.0000000000
316 -52.0000000000
324 -51.0000000000
381 -22.0000000000
400 -3.0000000000
417 -2.0000000000
844 7.0000000000
861 8.0000000000
2024 9.0000000000
evaluations raw_y
1 -1498.0000000000
6 -1459.0000000000
9 -1420.0000000000
10 -1381.0000000000
13 -1342.0000000000
15 -1303.0000000000
17 -1235.0000000000
23 -1167.0000000000
26 -1138.0000000000
37 -1089.0000000000
39 -1069.0000000000
41 -1030.0000000000
43 -991.0000000000
47 -952.0000000000
49 -923.0000000000
56 -884.0000000000
65 -806.0000000000
68 -738.0000000000
76 -699.0000000000
82 -670.0000000000
86 -660.0000000000
95 -621.0000000000
97 -582.0000000000
99 -553.0000000000
100 -544.0000000000
102 -515.0000000000
107 -476.0000000000
112 -447.0000000000
118 -389.0000000000
128 -360.0000000000
131 -351.0000000000
135 -332.0000000000
157 -293.0000000000
159 -264.0000000000
165 -225.0000000000
203 -186.0000000000
215 -176.0000000000
229 -157.0000000000
234 -147.0000000000
269 -118.0000000000
288 -88.0000000000
336 -69.0000000000
394 -59.0000000000
411 -40.0000000000
462 -31.0000000000
572 -22.0000000000
598 -13.0000000000
613 -12.0000000000
675 -3.0000000000
677 7.0000000000
686 8.0000000000
718 9.0000000000
876 10.0000000000
evaluations raw_y
1 -1157.0000000000
3 -1118.0000000000
6 -1050.0000000000
13 -1011.0000000000
21 -972.0000000000
25 -904.0000000000
28 -865.0000000000
31 -787.0000000000
38 -748.0000000000
40 -709.0000000000
42 -699.0000000000
44 -660.0000000000
48 -602.0000000000
49 -563.0000000000
58 -495.0000000000
62 -466.0000000000
64 -437.0000000000
84 -408.0000000000
90 -379.0000000000
92 -350.0000000000
95 -321.0000000000
99 -292.0000000000
111 -282.0000000000
128 -263.0000000000
145 -253.0000000000
146 -224.0000000000
153 -205.0000000000
197 -176.0000000000
211 -147.0000000000
224 -137.0000000000
229 -108.0000000000
233 -70.0000000000
248 -51.0000000000
263 -32.0000000000
268 -4.0000000000
274 -3.0000000000
338 -2.0000000000
341 -1.0000000000
544 7.0000000000
691 8.0000000000
6027 9.0000000000
evaluations raw_y
1 -1692.0000000000
4 -1653.0000000000
8 -1585.0000000000
22 -1546.0000000000
27 -1468.0000000000
28 -1390.0000000000
30 -1351.0000000000
32 -1244.0000000000
33 -1234.0000000000
37 -1195.0000000000
39 -1156.0000000000
50 -1127.0000000000
52 -1088.0000000000
53 -1049.0000000000
58 -1010.0000000000
62 -971.0000000000
64 -961.0000000000
68 -932.0000000000
76 -893.0000000000
77 -854.0000000000
85 -825.0000000000
87 -796.0000000000
