evaluations raw_y
1 -0.5109644092
5 -0.5101586597
9 -0.5080956267
13 -0.5056729671
18 -0.5026891675
37 -0.4958383434
38 -0.4950602518
46 -0.4901062633
47 -0.4850810226
48 -0.4766302860
49 -0.4740266779
50 -0.4716625906
52 -0.4715233311
55 -0.4658908845
59 -0.4610460298
61 -0.4577879558
69 -0.4537226909
70 -0.4504335415
79 -0.4416891833
82 -0.4393814328
92 -0.4359411437
94 -0.4255390056
95 -0.4242984720
97 -0.4193452095
117 -0.4120954005
128 -0.4099404427
131 -0.4016910626
151 -0.4010744803
160 -0.3964051227
166 -0.3957198914
184 -0.3906181785
203 -0.3891441839
205 -0.3833356960
226 -0.3822853096
237 -0.3816317446
238 -0.3809652682
274 -0.3804862006
279 -0.3781784502
282 -0.3646310064
293 -0.3641012637
315 -0.3579366019
320 -0.3553481181
369 -0.3543470777
371 -0.3451942473
379 -0.3411289825
427 -0.3407974084
487 -0.3369127279
504 -0.3265595389
519 -0.3239054089
561 -0.3234252889
568 -0.3224162771
806 -0.3206448981
834 -0.3194146079
908 -0.3194062227
1016 -0.3170984723
1165 -0.3155832120
3896 -0.3154654044
4112 -0.3101062087
9032 -0.3082675238
9234 -0.3047897955
58912 -0.3041609057
60847 -0.3034047918
61272 -0.3028432930
61420 -0.3028349078
100000 -0.3028349078
evaluations raw_y
1 -0.5179071333
6 -0.5165273402
11 -0.5080133178
12 -0.5078829866
13 -0.5004276959
14 -0.4974487670
17 -0.4879288162
20 -0.4786046674
21 -0.4699490592
23 -0.4685638271
24 -0.4614682811
27 -0.4598642294
30 -0.4541693104
33 -0.4538506644
38 -0.4514987823
46 -0.4511312805
54 -0.4442478979
56 -0.4441985112
59 -0.4423955588
60 -0.4360787253
64 -0.4305159036
66 -0.4279538284
68 -0.4213085031
83 -0.4075900967
90 -0.4061161021
93 -0.4019097575
100 -0.3969961881
108 -0.3935334294
118 -0.3910154496
124 -0.3756727976
126 -0.3754081340
139 -0.3736972386
144 -0.3664147561
146 -0.3610555603
171 -0.3609339925
