evaluations raw_y
1 0.0000000000
56 2.0000000000
83 3.0000000000
153 6.0000000000
171 7.0000000000
461 8.0000000000
733 9.0000000000
888 10.0000000000
1041 12.0000000000
1043 13.0000000000
1071 16.0000000000
1138 18.0000000000
1792 19.0000000000
1808 20.0000000000
1891 23.0000000000
1918 24.0000000000
1947 26.0000000000
2137 27.0000000000
2345 28.0000000000
2487 30.0000000000
2668 31.0000000000
2720 32.0000000000
3091 34.0000000000
3238 35.0000000000
3253 40.0000000000
3696 41.0000000000
3757 42.0000000000
4086 43.0000000000
4192 44.0000000000
4232 48.0000000000
5018 49.0000000000
5259 51.0000000000
5360 52.0000000000
5400 53.0000000000
5940 55.0000000000
5948 56.0000000000
6039 62.0000000000
6048 63.0000000000
6107 65.0000000000
6133 66.0000000000
6248 67.0000000000
6294 68.0000000000
6386 69.0000000000
6810 70.0000000000
7278 72.0000000000
7341 73.0000000000
7956 74.0000000000
8133 79.0000000000
8320 81.0000000000
8486 82.0000000000
8553 83.0000000000
8646 84.0000000000
8802 85.0000000000
10017 86.0000000000
10185 88.0000000000
10205 90.0000000000
10366 91.0000000000
10446 92.0000000000
10622 96.0000000000
11314 97.0000000000
11600 98.0000000000
11700 99.0000000000
11875 100.0000000000
evaluations raw_y
1 2.0000000000
389 3.0000000000
569 4.0000000000
688 5.0000000000
726 7.0000000000
851 9.0000000000
982 10.0000000000
1095 11.0000000000
1116 12.0000000000
1189 21.0000000000
1457 22.0000000000
1471 23.0000000000
1506 26.0000000000
1615 28.0000000000
1708 32.0000000000
1730 33.0000000000
1912 34.0000000000
2239 37.0000000000
2345 38.0000000000
2370 40.0000000000
2528 48.0000000000
2615 50.0000000000
2619 53.0000000000
2694 56.0000000000
2831 57.0000000000
3206 61.0000000000
3531 62.0000000000
3760 63.0000000000
3763 64.0000000000
3826 66.0000000000
3940 67.0000000000
3996 69.0000000000
4058 70.0000000000
4527 71.0000000000
4855 72.0000000000
4915 73.0000000000
5217 76.0000000000
5679 77.0000000000
5748 79.0000000000
5782 80.0000000000
6946 84.0000000000
6992 85.0000000000
7043 86.0000000000
7269 88.0000000000
7395 91.0000000000
8070 93.0000000000
8254 94.0000000000
8633 95.0000000000
9054 98.0000000000
9056 100.0000000000
evaluations raw_y
1 1.0000000000
71 2.0000000000
221 3.0000000000
252 5.0000000000
275 6.0000000000
559 8.0000000000
728 9.0000000000
943 12.0000000000
1037 13.0000000000
1052 14.0000000000
1059 16.0000000000
1206 17.0000000000
1381 19.0000000000
1404 20.0000000000
1463 22.0000000000
1491 25.0000000000
1617 28.0000000000
1622 29.0000000000
1861 30.0000000000
1870 33.0000000000
1958 35.0000000000
2039 36.0000000000
2228 37.0000000000
2311 44.0000000000
2537 45.0000000000
2611 46.0000000000
2696 48.0000000000
2746 50.0000000000
2850 54.0000000000
2998 58.0000000000
3095 59.0000000000
3124 62.0000000000
3140 65.0000000000
3262 66.0000000000
3663 68.0000000000
4486 69.0000000000
4594 71.0000000000
4597 74.0000000000
4653 75.0000000000
4713 78.0000000000
4981 80.0000000000
5628 84.0000000000
5725 85.0000000000
6027 87.0000000000
6425 88.0000000000
7017 89.0000000000
7043 90.0000000000
7275 92.0000000000
7360 93.0000000000
8398 94.0000000000
8477 95.0000000000
8511 96.0000000000
8540 97.0000000000
8567 99.0000000000
8784 100.0000000000
evaluations raw_y
1 0.0000000000
13 1.0000000000
119 3.0000000000
144 6.0000000000
150 9.0000000000
315 12.0000000000
350 13.0000000000
392 14.0000000000
561 18.0000000000
588 20.0000000000
603 22.0000000000
628 25.0000000000
663 28.0000000000
834 30.0000000000
877 31.0000000000
911 33.0000000000
925 35.0000000000
934 37.0000000000
1123 40.0000000000
1207 41.0000000000
1617 45.0000000000
1755 47.0000000000
2082 48.0000000000
2210 50.0000000000
2599 54.0000000000
3157 55.0000000000
3214 56.0000000000
4056 57.0000000000
4312 58.0000000000
5692 62.0000000000
6106 64.0000000000
6212 65.0000000000
6230 68.0000000000
6373 72.0000000000
6754 73.0000000000
7085 74.0000000000
7098 75.0000000000
7116 76.0000000000
7299 77.0000000000
7346 80.0000000000
7359 82.0000000000
7374 83.0000000000
7636 88.0000000000
7702 94.0000000000
7720 100.0000000000
evaluations raw_y
1 1.0000000000
176 2.0000000000
317 4.0000000000
485 5.0000000000
923 6.0000000000
985 8.0000000000
1134 11.0000000000
1165 13.0000000000
1321 14.0000000000
1665 15.0000000000
1674 16.0000000000
1680 25.0000000000
1770 28.0000000000
1828 31.0000000000
2219 32.0000000000
2380 33.0000000000
2494 34.0000000000
2690 35.0000000000
2858 37.0000000000
2965 39.0000000000
3014 40.0000000000
3082 41.0000000000
3206 45.0000000000
3477 46.0000000000
3611 48.0000000000
3619 49.0000000000
3647 53.0000000000
3692 54.0000000000
3808 55.0000000000
3859 56.0000000000
4153 57.0000000000
4455 58.0000000000
4787 60.0000000000
4972 62.0000000000
5240 63.0000000000
5450 64.0000000000
6319 65.0000000000
6488 66.0000000000
6545 69.0000000000
6776 70.0000000000
6798 74.0000000000
6833 76.0000000000
6877 77.0000000000
7044 78.0000000000
7468 80.0000000000
7501 82.0000000000
7540 89.0000000000
7796 93.0000000000
7813 94.0000000000
8033 97.0000000000
8214 98.0000000000
8424 99.0000000000
8663 100.0000000000
evaluations raw_y
1 1.0000000000
43 4.0000000000
136 8.0000000000
163 9.0000000000
259 11.0000000000
271 12.0000000000
292 13.0000000000
409 16.0000000000
493 20.0000000000
753 23.0000000000
757 24.0000000000
766 27.0000000000
780 28.0000000000
1131 32.0000000000
1159 33.0000000000
1290 36.0000000000
1681 37.0000000000
1977 38.0000000000
2023 39.0000000000
2204 42.0000000000
2300 43.0000000000
2435 45.0000000000
2724 47.0000000000
2889 50.0000000000
2905 53.0000000000
2970 56.0000000000
2987 57.0000000000
3807 58.0000000000
4036 59.0000000000
4312 60.0000000000
4511 61.0000000000
4817 62.0000000000
5004 63.0000000000
5091 64.0000000000
