evaluations raw_y
1 2447.0000000000
3 2535.0000000000
8 2564.0000000000
18 2600.0000000000
20 2614.0000000000
22 2672.0000000000
25 2747.0000000000
29 2790.0000000000
32 2869.0000000000
36 2928.0000000000
37 3031.0000000000
38 3047.0000000000
40 3127.0000000000
45 3135.0000000000
47 3139.0000000000
71 3144.0000000000
77 3226.0000000000
79 3306.0000000000
81 3336.0000000000
86 3432.0000000000
95 3459.0000000000
108 3493.0000000000
110 3545.0000000000
114 3707.0000000000
115 3774.0000000000
118 3830.0000000000
121 3904.0000000000
146 3985.0000000000
152 4054.0000000000
159 4145.0000000000
166 4167.0000000000
172 4191.0000000000
189 4217.0000000000
190 4272.0000000000
191 4393.0000000000
195 4428.0000000000
210 4471.0000000000
216 4521.0000000000
252 4541.0000000000
283 4547.0000000000
305 4560.0000000000
344 4578.0000000000
363 4595.0000000000
417 4654.0000000000
446 4747.0000000000
469 4754.0000000000
481 4836.0000000000
526 4837.0000000000
550 4896.0000000000
568 4907.0000000000
613 4940.0000000000
625 4953.0000000000
640 4990.0000000000
669 4997.0000000000
672 4999.0000000000
817 5021.0000000000
1224 5035.0000000000
1662 5050.0000000000
evaluations raw_y
1 2140.0000000000
3 2187.0000000000
5 2212.0000000000
9 2219.0000000000
13 2400.0000000000
15 2417.0000000000
17 2485.0000000000
18 2524.0000000000
19 2579.0000000000
20 2625.0000000000
25 2748.0000000000
34 2761.0000000000
36 2801.0000000000
38 2825.0000000000
42 2894.0000000000
44 2941.0000000000
46 3034.0000000000
50 3122.0000000000
59 3208.0000000000
60 3241.0000000000
61 3296.0000000000
62 3318.0000000000
63 3412.0000000000
66 3432.0000000000
73 3509.0000000000
78 3515.0000000000
81 3614.0000000000
83 3685.0000000000
90 3776.0000000000
91 3863.0000000000
102 3899.0000000000
107 3900.0000000000
109 3962.0000000000
122 3967.0000000000
123 3978.0000000000
134 4001.0000000000
135 4020.0000000000
145 4060.0000000000
148 4075.0000000000
158 4123.0000000000
173 4178.0000000000
174 4220.0000000000
186 4238.0000000000
207 4242.0000000000
208 4318.0000000000
214 4349.0000000000
215 4366.0000000000
218 4435.0000000000
232 4489.0000000000
239 4492.0000000000
243 4665.0000000000
254 4700.0000000000
281 4759.0000000000
303 4776.0000000000
309 4844.0000000000
390 4884.0000000000
416 4920.0000000000
455 4948.0000000000
466 4950.0000000000
593 4959.0000000000
742 4966.0000000000
748 4974.0000000000
908 5018.0000000000
1197 5032.0000000000
1743 5050.0000000000
evaluations raw_y
1 3089.0000000000
3 3175.0000000000
5 3193.0000000000
6 3290.0000000000
10 3339.0000000000
11 3464.0000000000
14 3481.0000000000
18 3483.0000000000
35 3492.0000000000
36 3511.0000000000
37 3620.0000000000
39 3627.0000000000
46 3708.0000000000
49 3746.0000000000
50 3753.0000000000
53 3808.0000000000
69 3836.0000000000
70 3892.0000000000
72 3963.0000000000
81 4005.0000000000
83 4083.0000000000
84 4095.0000000000
96 4114.0000000000
103 4139.0000000000
109 4164.0000000000
112 4170.0000000000
114 4252.0000000000
120 4257.0000000000
123 4281.0000000000
125 4339.0000000000
131 4353.0000000000
166 4453.0000000000
167 4457.0000000000
172 4465.0000000000
185 4476.0000000000
187 4527.0000000000
232 4547.0000000000
236 4604.0000000000
285 4631.0000000000
321 4661.0000000000
326 4701.0000000000
333 4738.0000000000
339 4739.0000000000
407 4748.0000000000
427 4758.0000000000
450 4818.0000000000
452 4843.0000000000
457 4857.0000000000
487 4896.0000000000
505 4912.0000000000
506 4936.0000000000
522 4943.0000000000
688 4978.0000000000
730 4984.0000000000
759 5046.0000000000
818 5050.0000000000
evaluations raw_y
1 2988.0000000000
3 3063.0000000000
4 3153.0000000000
17 3167.0000000000
22 3198.0000000000
23 3254.0000000000
24 3301.0000000000
26 3314.0000000000
27 3360.0000000000
28 3444.0000000000
29 3466.0000000000
30 3555.0000000000
45 3655.0000000000
59 3665.0000000000
67 3704.0000000000
72 3781.0000000000
76 3835.0000000000
81 3965.0000000000
86 4000.0000000000
92 4005.0000000000
106 4060.0000000000
108 4076.0000000000
109 4169.0000000000
110 4249.0000000000
113 4255.0000000000
125 4274.0000000000
131 4301.0000000000
172 4359.0000000000
195 4410.0000000000
199 4509.0000000000
206 4559.0000000000
208 4623.0000000000
212 4666.0000000000
255 4710.0000000000
258 4759.0000000000
273 4806.0000000000
275 4807.0000000000
294 4816.0000000000
308 4834.0000000000
323 4844.0000000000
334 4860.0000000000
349 4868.0000000000
376 4901.0000000000
390 4918.0000000000
419 4930.0000000000
579 4960.0000000000
794 4963.0000000000
857 5011.0000000000
894 5050.0000000000
evaluations raw_y
1 3080.0000000000
3 3102.0000000000
4 3107.0000000000
5 3150.0000000000
9 3216.0000000000
11 3224.0000000000
13 3271.0000000000
27 3315.0000000000
30 3381.0000000000
31 3465.0000000000
40 3535.0000000000
42 3551.0000000000
44 3628.0000000000
54 3639.0000000000
57 3684.0000000000
60 3808.0000000000
72 3977.0000000000
79 4060.0000000000
92 4139.0000000000
94 4168.0000000000
101 4273.0000000000
110 4325.0000000000
123 4416.0000000000
135 4472.0000000000
159 4521.0000000000
184 4580.0000000000
216 4621.0000000000
244 4659.0000000000
323 4680.0000000000
354 4688.0000000000
364 4694.0000000000
376 4721.0000000000
386 4735.0000000000
390 4759.0000000000
396 4810.0000000000
427 4839.0000000000
429 4871.0000000000
441 4879.0000000000
561 4893.0000000000
585 4940.0000000000
615 4966.0000000000
698 4976.0000000000
708 4995.0000000000
723 4997.0000000000
751 5010.0000000000
883 5030.0000000000
1021 5048.0000000000
1282 5050.0000000000
evaluations raw_y
1 2684.0000000000
7 2762.0000000000
9 2783.0000000000
11 2881.0000000000
17 2931.0000000000
20 2960.0000000000
23 3047.0000000000
24 3126.0000000000
26 3129.0000000000
28 3172.0000000000
33 3319.0000000000
35 3336.0000000000
39 3393.0000000000
41 3444.0000000000
42 3451.0000000000
46 3452.0000000000
51 3482.0000000000
58 3576.0000000000
61 3581.0000000000
62 3587.0000000000
71 3605.0000000000
73 3667.0000000000
83 3777.0000000000
84 3853.0000000000
93 3902.0000000000
95 3969.0000000000
111 4006.0000000000
116 4071.0000000000
122 4075.0000000000
128 4098.0000000000
129 4168.0000000000
137 4258.0000000000
140 4309.0000000000
154 4395.0000000000
155 4494.0000000000
170 4532.0000000000
172 4544.0000000000
177 4565.0000000000
187 4573.0000000000
232 4647.0000000000
242 4695.0000000000
269 4698.0000000000
294 4734.0000000000
301 4766.0000000000
306 4770.0000000000
312 4836.0000000000
331 4846.0000000000
345 4873.0000000000
378 4926.0000000000
413 4931.0000000000
481 4955.0000000000
508 4981.0000000000
602 5009.0000000000
702 5024.0000000000
716 5033.0000000000
783 5041.0000000000
953 5050.0000000000
evaluations raw_y
1 2632.0000000000
2 2701.0000000000
5 2783.0000000000
6 2850.0000000000
16 2908.0000000000
17 2965.0000000000
23 2998.0000000000
27 3050.0000000000
32 3106.0000000000
33 3165.0000000000
38 3196.0000000000
39 3289.0000000000
44 3344.0000000000
46 3369.0000000000
50 3397.0000000000
52 3417.0000000000
59 3435.0000000000
60 3483.0000000000
63 3507.0000000000
65 3545.0000000000
70 3553.0000000000
71 3566.0000000000
72 3585.0000000000
88 3591.0000000000
92 3702.0000000000
99 3723.0000000000
103 3773.0000000000
119 3893.0000000000
131 3985.0000000000
136 4064.0000000000
141 4152.0000000000
167 4188.0000000000
168 4196.0000000000
173 4256.0000000000
178 4264.0000000000
180 4280.0000000000
192 4287.0000000000
206 4319.0000000000
208 4338.0000000000
211 4393.0000000000
219 4439.0000000000
238 4474.0000000000
240 4505.0000000000
249 4527.0000000000
257 4606.0000000000
274 4706.0000000000
308 4710.0000000000
312 4713.0000000000
355 4787.0000000000
381 4798.0000000000
399 4838.0000000000
442 4899.0000000000
561 4974.0000000000
613 4990.0000000000
675 5005.0000000000
951 5050.0000000000
evaluations raw_y
1 2279.0000000000
2 2344.0000000000
6 2457.0000000000
12 2533.0000000000
16 2561.0000000000
22 2647.0000000000
23 2819.0000000000
25 2824.0000000000
26 2883.0000000000
27 2988.0000000000
28 3029.0000000000
31 3115.0000000000
45 3162.0000000000
50 3234.0000000000
54 3248.0000000000
55 3297.0000000000
62 3338.0000000000
73 3398.0000000000
75 3430.0000000000
82 3462.0000000000
86 3514.0000000000
92 3540.0000000000
105 3627.0000000000
107 3701.0000000000
111 3738.0000000000
112 3761.0000000000
113 3835.0000000000
114 3881.0000000000
118 3910.0000000000
124 3957.0000000000
125 3988.0000000000
127 4059.0000000000
133 4060.0000000000
134 4108.0000000000
135 4116.0000000000
137 4319.0000000000
143 4324.0000000000
154 4328.0000000000
169 4376.0000000000
177 4377.0000000000
183 4448.0000000000
184 4520.0000000000
204 4564.0000000000
215 4599.0000000000
234 4624.0000000000
244 4679.0000000000
256 4689.0000000000
259 4706.0000000000
295 4714.0000000000
322 4756.0000000000
360 4783.0000000000
415 4824.0000000000
448 4845.0000000000
468 4855.0000000000
521 4859.0000000000
582 4917.0000000000
603 5007.0000000000
615 5013.0000000000
754 5016.0000000000
828 5028.0000000000
920 5050.0000000000
evaluations raw_y
1 2131.0000000000
3 2179.0000000000
4 2227.0000000000
7 2271.0000000000
8 2337.0000000000
9 2371.0000000000
10 2436.0000000000
11 2597.0000000000
14 2620.0000000000
16 2729.0000000000
17 2746.0000000000
19 2790.0000000000
23 2806.0000000000
24 2818.0000000000
28 2868.0000000000
31 2941.0000000000
34 3010.0000000000
36 3092.0000000000
40 3132.0000000000
49 3181.0000000000
54 3230.0000000000
57 3318.0000000000
62 3484.0000000000
66 3485.0000000000
71 3598.0000000000
73 3645.0000000000
77 3768.0000000000
87 3828.0000000000
88 3890.0000000000
92 3947.0000000000
93 4055.0000000000
108 4059.0000000000
109 4105.0000000000
114 4180.0000000000
119 4242.0000000000
125 4260.0000000000
126 4281.0000000000
141 4291.0000000000
163 4314.0000000000
170 4342.0000000000
177 4434.0000000000
195 4503.0000000000
205 4519.0000000000
228 4525.0000000000
266 4580.0000000000
267 4599.0000000000
302 4603.0000000000
313 4685.0000000000
316 4738.0000000000
335 4764.0000000000
399 4830.0000000000
447 4831.0000000000
459 4915.0000000000
470 4919.0000000000
492 4956.0000000000
497 4964.0000000000
585 5030.0000000000
795 5042.0000000000
1138 5043.0000000000
1842 5050.0000000000
evaluations raw_y
1 2166.0000000000
2 2197.0000000000
5 2259.0000000000
10 2269.0000000000
11 2331.0000000000
13 2403.0000000000
14 2497.0000000000
19 2561.0000000000
21 2708.0000000000
25 2724.0000000000
29 2792.0000000000
30 2880.0000000000
31 2950.0000000000
38 3017.0000000000
45 3024.0000000000
51 3093.0000000000
57 3146.0000000000
61 3224.0000000000
67 3288.0000000000
70 3444.0000000000
73 3459.0000000000
80 3562.0000000000
81 3593.0000000000
86 3614.0000000000
87 3659.0000000000
99 3705.0000000000
114 3785.0000000000
118 3830.0000000000
121 3889.0000000000
127 3983.0000000000
131 4009.0000000000
136 4082.0000000000
137 4110.0000000000
140 4120.0000000000
151 4150.0000000000
161 4191.0000000000
163 4261.0000000000
164 4273.0000000000
172 4365.0000000000
189 4448.0000000000
202 4509.0000000000
204 4540.0000000000
210 4641.0000000000
258 4673.0000000000
293 4755.0000000000
298 4766.0000000000
308 4833.0000000000
310 4862.0000000000
349 4881.0000000000
352 4892.0000000000
402 4944.0000000000
449 4984.0000000000
520 4987.0000000000
554 5018.0000000000
897 5028.0000000000
1142 5050.0000000000
