evaluations raw_y
1 0.8805917577
7 1.0326311442
9 1.1820330969
15 1.2444001991
17 1.3774104683
19 1.4196479273
20 1.4961101137
24 1.6307893020
26 1.6545334216
28 1.7018379850
30 1.7972681524
46 1.7998560115
49 1.8024513338
57 1.9334880124
59 2.2665457842
61 2.3041474654
72 2.3169601483
77 2.4390243902
92 2.4437927664
136 2.4875621891
147 2.6511134677
177 2.6795284030
246 2.8312570781
249 2.9171528588
664 3.0376670717
812 3.0902348578
evaluations raw_y
1 1.0309278351
2 1.0817827780
3 1.1256190905
4 1.1798017933
5 1.1831519167
6 1.3304949441
7 1.3609145346
10 1.4543339151
12 1.4731879788
25 1.5832805573
27 1.6056518947
28 1.7972681524
31 2.1682567216
36 2.3877745941
42 2.4390243902
51 2.5536261491
88 2.6455026455
94 2.7932960894
98 2.9868578256
235 3.0229746070
295 3.0303030303
296 3.1446540881
298 3.3921302578
391 3.4199726402
401 3.4293552812
440 3.4770514604
445 3.7593984962
450 3.7707390649
458 3.9001560062
758 3.9123630673
800 3.9745627981
evaluations raw_y
1 0.8494733265
3 0.9147457007
5 0.9830908376
7 1.0326311442
8 1.2189176012
9 1.2960082945
10 1.3774104683
11 1.5160703457
12 1.6633399867
15 1.8811136193
21 1.9607843137
34 2.0016012810
38 2.0781379884
51 2.0885547201
52 2.2026431718
58 2.2143489814
60 2.3430178069
89 2.3741690408
102 2.3877745941
118 2.3923444976
155 2.4826216485
192 2.5588536336
204 2.9103608847
227 2.9446407538
235 3.0674846626
236 3.1685678074
237 3.1928480204
249 3.4674063800
404 3.4770514604
evaluations raw_y
1 0.7036307346
2 0.7864108210
6 0.8397715821
7 0.8588114050
10 0.9028530155
12 1.0421008754
14 1.0570824524
16 1.0855405992
17 1.1358473421
19 1.1494252874
24 1.1504832029
27 1.2456402591
28 1.3319126265
29 1.5873015873
31 1.7064846416
35 1.7421602787
38 1.8368846436
40 1.9546520719
51 2.1168501270
52 2.1949078139
57 2.2789425706
58 2.4248302619
64 2.5906735751
66 2.6624068158
88 2.6910656620
104 3.0084235860
125 3.0303030303
185 3.1928480204
evaluations raw_y
1 0.8409014464
2 0.9290226682
4 1.0224948875
5 1.0836584309
7 1.1096316023
11 1.1431184271
13 1.2297097885
14 1.3683634373
16 1.5615240475
17 1.6286644951
18 1.6350555919
20 1.8181818182
21 1.8315018315
28 1.8896447468
41 1.9394879752
43 1.9485580670
45 2.0885547201
47 2.2182786158
50 2.3562676720
59 2.5960539979
63 2.6567481403
65 2.7442371021
81 2.9171528588
95 2.9940119760
120 3.0599755202
210 3.4770514604
evaluations raw_y
1 1.3164823591
2 1.3881177124
8 1.4409221902
12 1.4836795252
16 1.6160310278
19 1.6307893020
26 1.6371971185
29 1.8477457502
30 1.9984012790
33 2.1240441801
35 2.2665457842
44 2.4875621891
64 2.6068821689
102 2.6343519494
121 2.6968716289
123 2.8248587571
155 2.8312570781
174 2.8636884307
182 3.2092426187
184 3.3025099075
187 3.3829499323
253 3.4293552812
261 3.4770514604
264 3.4867503487
338 3.5765379113
372 3.6496350365
449 3.7481259370
477 3.7821482602
499 3.8167938931
519 4.0518638574
586 4.0650406504
629 4.1050903120
681 4.1736227045
evaluations raw_y
1 1.0706638116
2 1.0845986985
3 1.1327594019
4 1.1990407674
5 1.4611338399
10 1.4662756598
16 1.4819205691
21 1.7349063151
26 1.7519271198
27 1.8642803878
30 1.9425019425
37 1.9762845850
43 2.0048115477
46 2.0746887967
49 2.1645021645
50 2.2956841139
53 2.3877745941
57 2.6343519494
99 2.6737967914
114 3.0599755202
141 3.1605562579
233 3.1847133758
404 3.2594524120
560 3.4867503487
676 3.5971223022
712 3.7147102526
735 3.9123630673
765 4.2735042735
767 4.2881646655
evaluations raw_y
1 1.1135857461
4 1.2309207287
5 1.3068478829
10 1.3653741125
12 1.3698630137
15 1.5105740181
20 1.7494751575
24 1.8288222385
57 1.9455252918
59 1.9920318725
66 2.0275750203
68 2.1349274125
71 2.2222222222
73 2.2421524664
97 2.2461814915
102 2.4248302619
108 2.6232948583
109 2.6288117771
111 2.6795284030
149 2.8571428571
184 3.0156815440
206 3.0826140567
217 3.1055900621
222 3.1289111389
223 3.2010243278
303 3.2594524120
375 3.3921302578
418 3.4387895461
436 3.7369207773
438 3.7481259370
522 3.7821482602
evaluations raw_y
1 1.2309207287
3 1.2493753123
7 1.3220518244
8 1.3234515617
10 1.3713658804
11 1.4594279043
14 1.5713387806
16 1.6479894529
17 1.6812373907
20 1.6972165648
27 1.7229496899
29 1.8698578908
30 2.0177562550
39 2.0610057708
49 2.3169601483
51 2.3386342376
56 2.3518344309
59 2.3562676720
64 2.3607176582
77 2.3741690408
110 2.5025025025
116 2.5484199796
117 2.7932960894
118 2.9308323564
283 3.0376670717
299 3.0750307503
311 3.1446540881
357 3.1847133758
402 3.4199726402
444 3.5460992908
475 3.8639876352
