evaluations raw_y
1 -1274.0000000000
3 -1245.0000000000
4 -1206.0000000000
6 -1167.0000000000
9 -1128.0000000000
10 -1099.0000000000
11 -1060.0000000000
12 -1021.0000000000
13 -992.0000000000
18 -963.0000000000
21 -924.0000000000
25 -885.0000000000
26 -846.0000000000
28 -807.0000000000
30 -778.0000000000
34 -739.0000000000
35 -700.0000000000
36 -671.0000000000
45 -632.0000000000
47 -593.0000000000
51 -554.0000000000
52 -535.0000000000
53 -526.0000000000
58 -497.0000000000
61 -468.0000000000
63 -429.0000000000
64 -400.0000000000
82 -361.0000000000
83 -332.0000000000
86 -293.0000000000
91 -254.0000000000
96 -215.0000000000
103 -196.0000000000
106 -167.0000000000
113 -138.0000000000
123 -109.0000000000
132 -100.0000000000
140 -99.0000000000
143 -70.0000000000
145 -41.0000000000
147 -32.0000000000
159 -31.0000000000
173 -30.0000000000
177 -21.0000000000
185 -2.0000000000
195 7.0000000000
230 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1410.0000000000
2 -1371.0000000000
4 -1332.0000000000
5 -1293.0000000000
7 -1254.0000000000
9 -1215.0000000000
11 -1176.0000000000
12 -1147.0000000000
13 -1108.0000000000
14 -1069.0000000000
17 -1030.0000000000
18 -991.0000000000
20 -952.0000000000
27 -913.0000000000
31 -874.0000000000
35 -845.0000000000
36 -816.0000000000
37 -787.0000000000
39 -748.0000000000
45 -709.0000000000
49 -680.0000000000
54 -641.0000000000
56 -602.0000000000
61 -583.0000000000
63 -554.0000000000
65 -515.0000000000
67 -486.0000000000
70 -457.0000000000
71 -428.0000000000
72 -389.0000000000
74 -360.0000000000
75 -321.0000000000
76 -292.0000000000
79 -263.0000000000
97 -244.0000000000
99 -225.0000000000
101 -196.0000000000
104 -195.0000000000
118 -166.0000000000
129 -147.0000000000
131 -118.0000000000
141 -99.0000000000
143 -70.0000000000
153 -41.0000000000
177 -22.0000000000
180 -21.0000000000
184 -12.0000000000
187 7.0000000000
192 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1741.0000000000
2 -1702.0000000000
4 -1663.0000000000
7 -1624.0000000000
9 -1585.0000000000
10 -1546.0000000000
11 -1507.0000000000
12 -1468.0000000000
15 -1439.0000000000
16 -1400.0000000000
17 -1361.0000000000
18 -1322.0000000000
21 -1293.0000000000
22 -1254.0000000000
25 -1225.0000000000
27 -1186.0000000000
29 -1147.0000000000
30 -1108.0000000000
33 -1069.0000000000
34 -1030.0000000000
37 -991.0000000000
40 -962.0000000000
42 -923.0000000000
45 -884.0000000000
46 -845.0000000000
47 -806.0000000000
49 -767.0000000000
54 -728.0000000000
65 -689.0000000000
66 -650.0000000000
67 -621.0000000000
69 -592.0000000000
73 -553.0000000000
74 -524.0000000000
78 -505.0000000000
80 -466.0000000000
82 -437.0000000000
86 -398.0000000000
87 -379.0000000000
89 -350.0000000000
103 -331.0000000000
107 -302.0000000000
119 -273.0000000000
122 -244.0000000000
129 -215.0000000000
139 -186.0000000000
146 -157.0000000000
147 -148.0000000000
151 -129.0000000000
152 -100.0000000000
153 -81.0000000000
156 -72.0000000000
162 -53.0000000000
185 -44.0000000000
189 -43.0000000000
197 -42.0000000000
203 -33.0000000000
204 -24.0000000000
227 -23.0000000000
229 -22.0000000000
264 -21.0000000000
313 -2.0000000000
314 7.0000000000
317 8.0000000000
336 9.0000000000
100000 -30.0000000000
evaluations raw_y
1 -1468.0000000000
2 -1429.0000000000
6 -1400.0000000000
7 -1361.0000000000
9 -1322.0000000000
12 -1293.0000000000
13 -1254.0000000000
14 -1225.0000000000
20 -1196.0000000000
21 -1157.0000000000
24 -1128.0000000000
26 -1089.0000000000
27 -1050.0000000000
28 -1011.0000000000
29 -982.0000000000
31 -943.0000000000
33 -904.0000000000
34 -865.0000000000
42 -836.0000000000
43 -797.0000000000
54 -758.0000000000
57 -729.0000000000
58 -690.0000000000
60 -651.0000000000
61 -632.0000000000
62 -593.0000000000
63 -554.0000000000
66 -525.0000000000
73 -486.0000000000
77 -447.0000000000
80 -408.0000000000
83 -369.0000000000
90 -350.0000000000
94 -331.0000000000
95 -292.0000000000
101 -273.0000000000
110 -254.0000000000
116 -215.0000000000
131 -196.0000000000
138 -167.0000000000
139 -138.0000000000
143 -119.0000000000
158 -110.0000000000
167 -81.0000000000
199 -72.0000000000
202 -53.0000000000
209 -24.0000000000
213 -23.0000000000
215 -14.0000000000
230 -13.0000000000
232 -12.0000000000
248 -3.0000000000
250 -2.0000000000
260 -1.0000000000
278 8.0000000000
301 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1605.0000000000
3 -1566.0000000000
4 -1527.0000000000
5 -1488.0000000000
8 -1449.0000000000
9 -1410.0000000000
12 -1371.0000000000
14 -1332.0000000000
15 -1293.0000000000
19 -1254.0000000000
