evaluations raw_y
1 -0.5166532886
2 -0.5159572378
3 -0.5144652098
4 -0.5033194209
6 -0.5007573457
7 -0.4999555047
8 -0.4929541902
9 -0.4886324586
11 -0.4851696999
14 -0.4812610354
16 -0.4810937081
18 -0.4722048993
19 -0.4643573875
20 -0.4637074000
21 -0.4614494701
23 -0.4592443556
26 -0.4546121561
27 -0.4540422721
29 -0.4466652547
31 -0.4417112662
34 -0.4407265492
46 -0.4388215617
51 -0.4353440704
56 -0.4304125718
57 -0.4280711164
59 -0.4262000971
61 -0.4224786335
68 -0.4192205063
72 -0.4119380238
75 -0.4017609092
78 -0.3994991226
82 -0.3967963673
83 -0.3941422372
88 -0.3940851744
89 -0.3892736430
90 -0.3831785957
92 -0.3826984757
107 -0.3794482549
108 -0.3787554036
110 -0.3772338652
111 -0.3734541181
127 -0.3685532820
128 -0.3676907710
134 -0.3602620344
136 -0.3590089308
143 -0.3511961129
160 -0.3409593204
166 -0.3391879414
169 -0.3381789296
170 -0.3324764454
180 -0.3281112597
188 -0.3268809695
218 -0.3234406803
221 -0.3234322952
241 -0.3233058897
405 -0.3179970138
440 -0.3126773779
523 -0.3086121130
100000 -0.3135661016
evaluations raw_y
1 -0.5190947908
3 -0.5142832593
4 -0.5125723638
5 -0.5118763130
6 -0.5040634951
8 -0.4959702091
11 -0.4936287537
13 -0.4857812419
15 -0.4807700180
20 -0.4758564486
26 -0.4750783570
28 -0.4700286490
29 -0.4690276087
34 -0.4624209640
41 -0.4583556991
42 -0.4525684306
46 -0.4475460483
48 -0.4470659283
50 -0.4458253946
53 -0.4396844378
66 -0.4316618912
70 -0.4250096659
72 -0.4202362784
73 -0.4195827133
75 -0.4166494706
79 -0.3997050514
88 -0.3989833612
89 -0.3955430720
91 -0.3817916628
93 -0.3774699312
98 -0.3745514000
100 -0.3742198259
103 -0.3633443539
106 -0.3632872911
107 -0.3629393340
129 -0.3576196982
136 -0.3527188621
142 -0.3428005636
149 -0.3415702734
159 -0.3409536912
168 -0.3364398035
188 -0.3345687843
191 -0.3327658319
219 -0.3320248145
247 -0.3240454790
295 -0.3199923980
305 -0.3139468684
332 -0.3121754894
369 -0.3031039437
581 -0.3016299492
586 -0.3008281082
100000 -0.3040783290
evaluations raw_y
1 -0.5155246573
2 -0.5107512698
3 -0.5075004947
4 -0.5072205788
5 -0.4966243651
9 -0.4925591002
10 -0.4902796518
11 -0.4839909534
14 -0.4832499360
22 -0.4829183620
23 -0.4803298781
27 -0.4790093155
28 -0.4789259856
29 -0.4789176005
33 -0.4776460922
35 -0.4726921036
37 -0.4700515777
40 -0.4619521465
44 -0.4428120762
53 -0.4330044657
55 -0.4327975562
58 -0.4261072418
62 -0.4246332472
64 -0.4242186019
78 -0.4185161177
79 -0.4140022301
84 -0.4054882077
87 -0.3968610017
89 -0.3962911178
95 -0.3843135127
97 -0.3795019813
98 -0.3689281431
100 -0.3662618598
106 -0.3527910804
109 -0.3470930414
112 -0.3390966084
119 -0.3356095508
124 -0.3338986553
130 -0.3331205637
139 -0.3319281336
149 -0.3292740036
177 -0.3219915211
185 -0.3189985394
198 -0.3179974991
209 -0.3126778632
317 -0.3078028569
335 -0.3054951065
442 -0.3039735681
602 -0.3033070917
767 -0.3022980798
787 -0.3010677896
100000 -0.3048873470
evaluations raw_y
1 -0.4882233140
2 -0.4833224779
4 -0.4821732295
12 -0.4780900100
16 -0.4757273892
20 -0.4691939860
21 -0.4642399975
24 -0.4619322470
27 -0.4533050411
28 -0.4484601864
34 -0.4425330715
40 -0.4410590770
44 -0.4366938912
45 -0.4324875466
48 -0.4307651160
62 -0.4295348258
67 -0.4238920275
69 -0.4158955945
71 -0.4154205712
80 -0.4103188582
81 -0.4086079627
87 -0.3986896642
96 -0.3937364017
100 -0.3858987389
103 -0.3746164328
108 -0.3720279489
116 -0.3623075121
126 -0.3601023976
127 -0.3551888282
145 -0.3490241665
172 -0.3486762095
176 -0.3384990949
178 -0.3369775565
191 -0.3369691714
195 -0.3314434593
204 -0.3301826633
210 -0.3296529205
222 -0.3269987905
258 -0.3224544581
302 -0.3214534177
318 -0.3125742233
404 -0.3118332060
100000 -0.3196460238
evaluations raw_y
1 -0.4932635834
2 -0.4832610343
3 -0.4795914376
7 -0.4688349312
10 -0.4676425011
11 -0.4666859337
14 -0.4629993750
18 -0.4564659718
19 -0.4549919772
21 -0.4464779548
24 -0.4434990260
29 -0.4434496392
30 -0.4362291928
33 -0.4356593088
38 -0.4307355027
42 -0.4245002680
46 -0.4177152421
49 -0.4144650213
51 -0.4137240039
57 -0.4114162535
61 -0.4069023659
62 -0.4056415698
64 -0.4016942626
67 -0.4013702243
72 -0.3988210379
74 -0.3981867933
80 -0.3979798837
81 -0.3967126228
82 -0.3912844352
85 -0.3894134159
91 -0.3873006650
103 -0.3827012458
107 -0.3780063182
119 -0.3723082791
122 -0.3674967477
125 -0.3625427591
130 -0.3590800004
