evaluations raw_y
1 0.0000000000
320 1.0000000000
355 2.0000000000
658 3.0000000000
703 4.0000000000
795 10.0000000000
947 13.0000000000
955 15.0000000000
1009 17.0000000000
1029 18.0000000000
1059 20.0000000000
1066 23.0000000000
1113 24.0000000000
1194 25.0000000000
1352 27.0000000000
1457 28.0000000000
1488 31.0000000000
1511 33.0000000000
1620 35.0000000000
1674 37.0000000000
1820 39.0000000000
1948 43.0000000000
2027 44.0000000000
2057 46.0000000000
2071 48.0000000000
2240 49.0000000000
2252 50.0000000000
2273 51.0000000000
2388 54.0000000000
2547 55.0000000000
2612 56.0000000000
2618 63.0000000000
2625 64.0000000000
2685 65.0000000000
2995 66.0000000000
3116 69.0000000000
3157 70.0000000000
3446 71.0000000000
3458 73.0000000000
3525 74.0000000000
3616 77.0000000000
3708 78.0000000000
3750 79.0000000000
3823 83.0000000000
3985 84.0000000000
4190 88.0000000000
4291 90.0000000000
4364 93.0000000000
4377 95.0000000000
4456 96.0000000000
4491 97.0000000000
4559 99.0000000000
4603 100.0000000000
evaluations raw_y
1 1.0000000000
720 3.0000000000
743 5.0000000000
941 7.0000000000
965 8.0000000000
988 9.0000000000
996 12.0000000000
1147 14.0000000000
1351 15.0000000000
1418 20.0000000000
1447 21.0000000000
1615 23.0000000000
1730 24.0000000000
1733 26.0000000000
1813 27.0000000000
1814 30.0000000000
1912 33.0000000000
2068 38.0000000000
2162 39.0000000000
2171 40.0000000000
2288 43.0000000000
2445 45.0000000000
2495 47.0000000000
2524 48.0000000000
2574 49.0000000000
2616 51.0000000000
2759 53.0000000000
2804 54.0000000000
2970 55.0000000000
3227 56.0000000000
3302 57.0000000000
3366 58.0000000000
3373 59.0000000000
3383 61.0000000000
3416 64.0000000000
3521 65.0000000000
3645 66.0000000000
3691 67.0000000000
3701 70.0000000000
3833 71.0000000000
3861 72.0000000000
4119 73.0000000000
4212 75.0000000000
4227 76.0000000000
4228 78.0000000000
4336 80.0000000000
4366 84.0000000000
4400 85.0000000000
4437 87.0000000000
4440 90.0000000000
4596 94.0000000000
4664 96.0000000000
4736 98.0000000000
4937 99.0000000000
4944 100.0000000000
evaluations raw_y
1 1.0000000000
16 4.0000000000
125 8.0000000000
131 11.0000000000
310 12.0000000000
619 14.0000000000
661 16.0000000000
748 19.0000000000
818 21.0000000000
849 23.0000000000
965 25.0000000000
978 28.0000000000
1008 29.0000000000
1056 33.0000000000
1135 36.0000000000
1290 37.0000000000
1439 38.0000000000
1496 39.0000000000
1821 40.0000000000
1833 44.0000000000
1935 46.0000000000
1988 47.0000000000
2191 48.0000000000
2210 49.0000000000
2444 51.0000000000
2683 52.0000000000
2774 53.0000000000
2952 58.0000000000
3309 59.0000000000
3333 61.0000000000
3397 63.0000000000
3528 65.0000000000
3545 66.0000000000
3743 67.0000000000
3908 68.0000000000
3942 69.0000000000
3974 70.0000000000
4077 71.0000000000
4141 72.0000000000
4310 73.0000000000
4372 74.0000000000
4604 75.0000000000
4666 77.0000000000
4702 79.0000000000
4708 80.0000000000
4778 81.0000000000
4989 84.0000000000
5000 85.0000000000
5236 87.0000000000
5363 88.0000000000
5370 89.0000000000
5521 93.0000000000
5572 94.0000000000
5585 95.0000000000
5619 96.0000000000
5623 98.0000000000
5764 99.0000000000
5767 100.0000000000
evaluations raw_y
1 2.0000000000
4 4.0000000000
33 5.0000000000
36 6.0000000000
225 7.0000000000
255 8.0000000000
402 9.0000000000
403 11.0000000000
575 13.0000000000
599 14.0000000000
602 15.0000000000
782 16.0000000000
789 17.0000000000
864 24.0000000000
865 26.0000000000
958 29.0000000000
1048 30.0000000000
1058 31.0000000000
1065 35.0000000000
1116 37.0000000000
1288 39.0000000000
1315 40.0000000000
1332 43.0000000000
1423 44.0000000000
1671 45.0000000000
1680 47.0000000000
1799 48.0000000000
1814 50.0000000000
1819 52.0000000000
1821 54.0000000000
1853 58.0000000000
1860 63.0000000000
1864 65.0000000000
1881 67.0000000000
2172 70.0000000000
2292 71.0000000000
2336 74.0000000000
2523 75.0000000000
2601 78.0000000000
2615 80.0000000000
2620 81.0000000000
2642 84.0000000000
2662 85.0000000000
2675 86.0000000000
2693 87.0000000000
2728 88.0000000000
2788 89.0000000000
2948 90.0000000000
3057 91.0000000000
3216 92.0000000000
3238 93.0000000000
3269 95.0000000000
3398 97.0000000000
3452 100.0000000000
evaluations raw_y
1 3.0000000000
75 4.0000000000
224 5.0000000000
243 6.0000000000
342 7.0000000000
373 11.0000000000
432 12.0000000000
486 13.0000000000
625 14.0000000000
633 15.0000000000
637 16.0000000000
839 19.0000000000
872 20.0000000000
1016 21.0000000000
1086 23.0000000000
1375 24.0000000000
1436 25.0000000000
1608 27.0000000000
1725 31.0000000000
1971 34.0000000000
2032 36.0000000000
2265 39.0000000000
2313 41.0000000000
2335 43.0000000000
2375 48.0000000000
2438 50.0000000000
2450 54.0000000000
2725 55.0000000000
2805 57.0000000000
2940 58.0000000000
2982 59.0000000000
2989 60.0000000000
3125 61.0000000000
3265 62.0000000000
3669 63.0000000000
3750 64.0000000000
3924 73.0000000000
3962 75.0000000000
4170 77.0000000000
4191 80.0000000000
4208 83.0000000000
4380 84.0000000000
4594 89.0000000000
4617 91.0000000000
4718 94.0000000000
4733 98.0000000000
4879 100.0000000000
evaluations raw_y
1 5.0000000000
30 6.0000000000
59 7.0000000000
73 9.0000000000
278 10.0000000000
344 11.0000000000
517 12.0000000000
532 13.0000000000
560 18.0000000000
622 21.0000000000
911 23.0000000000
1073 25.0000000000
1098 26.0000000000
1191 28.0000000000
1226 29.0000000000
1275 34.0000000000
1304 36.0000000000
1386 37.0000000000
1387 38.0000000000
1462 41.0000000000
1619 43.0000000000
1635 44.0000000000
1827 45.0000000000
2025 46.0000000000
2101 48.0000000000
2174 50.0000000000
2192 51.0000000000
2212 53.0000000000
2248 59.0000000000
2352 61.0000000000
2431 62.0000000000
2435 65.0000000000
2510 69.0000000000
2750 70.0000000000
2754 72.0000000000
2770 77.0000000000
2915 81.0000000000
2933 82.0000000000
2972 83.0000000000
3005 86.0000000000
3121 87.0000000000
3123 88.0000000000
3346 94.0000000000
3389 98.0000000000
3510 100.0000000000
evaluations raw_y
1 0.0000000000
44 1.0000000000
135 3.0000000000
362 4.0000000000
447 10.0000000000
448 12.0000000000
611 13.0000000000
632 15.0000000000
671 18.0000000000
711 19.0000000000
750 20.0000000000
831 25.0000000000
835 27.0000000000
836 28.0000000000
894 30.0000000000
938 31.0000000000
951 32.0000000000
1041 33.0000000000
1131 34.0000000000
1289 36.0000000000
1316 37.0000000000
1345 42.0000000000
1443 45.0000000000
1487 50.0000000000
1648 52.0000000000
1653 54.0000000000
1795 58.0000000000
1800 59.0000000000
1839 60.0000000000
1886 63.0000000000
2005 65.0000000000
2029 67.0000000000
2060 68.0000000000
2118 70.0000000000
2302 71.0000000000
2372 74.0000000000
2509 78.0000000000
2573 81.0000000000
2665 85.0000000000
2718 86.0000000000
2760 90.0000000000
2814 91.0000000000
3101 94.0000000000
3212 100.0000000000
evaluations raw_y
1 2.0000000000
7 3.0000000000
122 4.0000000000
191 7.0000000000
228 9.0000000000
320 12.0000000000
677 14.0000000000
714 15.0000000000
903 19.0000000000
915 20.0000000000
1026 21.0000000000
1120 22.0000000000
1401 23.0000000000
1547 28.0000000000
1610 30.0000000000
1749 33.0000000000
1934 37.0000000000
1956 38.0000000000
2006 40.0000000000
2143 41.0000000000
2212 48.0000000000
2215 51.0000000000
2328 52.0000000000
2415 54.0000000000
2438 55.0000000000
2451 56.0000000000
2461 57.0000000000
2524 60.0000000000
2649 61.0000000000
2756 62.0000000000
2907 65.0000000000
2943 66.0000000000
3022 68.0000000000
3023 69.0000000000
3025 70.0000000000
3465 71.0000000000
3588 72.0000000000
3690 75.0000000000
3694 77.0000000000
4028 80.0000000000
4278 82.0000000000
4296 84.0000000000
4446 86.0000000000
4498 88.0000000000
4546 89.0000000000
4627 90.0000000000
4700 92.0000000000
4754 100.0000000000
evaluations raw_y
1 1.0000000000
55 3.0000000000
65 4.0000000000
88 5.0000000000
252 6.0000000000
398 9.0000000000
484 12.0000000000
603 15.0000000000
758 17.0000000000
770 20.0000000000
