evaluations raw_y
1 2688.0000000000
2 2742.0000000000
4 2772.0000000000
8 2864.0000000000
15 2929.0000000000
16 3003.0000000000
20 3070.0000000000
23 3143.0000000000
24 3155.0000000000
25 3206.0000000000
33 3269.0000000000
34 3317.0000000000
36 3366.0000000000
37 3451.0000000000
43 3493.0000000000
44 3495.0000000000
46 3563.0000000000
47 3604.0000000000
49 3631.0000000000
55 3653.0000000000
57 3689.0000000000
69 3755.0000000000
92 3800.0000000000
93 3875.0000000000
103 3881.0000000000
109 3931.0000000000
115 3993.0000000000
120 4070.0000000000
121 4170.0000000000
124 4254.0000000000
128 4353.0000000000
129 4442.0000000000
149 4463.0000000000
150 4542.0000000000
159 4614.0000000000
161 4670.0000000000
210 4761.0000000000
216 4770.0000000000
287 4830.0000000000
288 4927.0000000000
375 4950.0000000000
476 4955.0000000000
769 5050.0000000000
evaluations raw_y
1 2718.0000000000
2 2756.0000000000
4 2793.0000000000
5 2815.0000000000
17 2878.0000000000
24 2961.0000000000
28 3002.0000000000
29 3052.0000000000
35 3095.0000000000
36 3123.0000000000
38 3127.0000000000
44 3144.0000000000
47 3235.0000000000
48 3320.0000000000
50 3333.0000000000
53 3342.0000000000
58 3423.0000000000
63 3497.0000000000
68 3595.0000000000
72 3668.0000000000
74 3760.0000000000
76 3826.0000000000
77 3860.0000000000
78 3876.0000000000
86 3925.0000000000
88 3965.0000000000
94 4017.0000000000
96 4071.0000000000
97 4102.0000000000
98 4196.0000000000
102 4229.0000000000
111 4236.0000000000
114 4323.0000000000
127 4371.0000000000
138 4417.0000000000
155 4461.0000000000
162 4561.0000000000
191 4588.0000000000
199 4641.0000000000
225 4713.0000000000
226 4715.0000000000
234 4805.0000000000
250 4823.0000000000
276 4891.0000000000
305 4955.0000000000
404 5024.0000000000
442 5050.0000000000
evaluations raw_y
1 2754.0000000000
2 2790.0000000000
7 2844.0000000000
8 2864.0000000000
9 2910.0000000000
10 2931.0000000000
11 2987.0000000000
14 2990.0000000000
17 2999.0000000000
19 3040.0000000000
24 3080.0000000000
26 3084.0000000000
27 3121.0000000000
28 3184.0000000000
32 3273.0000000000
33 3316.0000000000
35 3363.0000000000
37 3427.0000000000
38 3460.0000000000
39 3510.0000000000
47 3603.0000000000
50 3699.0000000000
56 3723.0000000000
62 3771.0000000000
69 3837.0000000000
84 3869.0000000000
87 3924.0000000000
92 3940.0000000000
94 3974.0000000000
97 3976.0000000000
98 4056.0000000000
111 4117.0000000000
116 4191.0000000000
130 4249.0000000000
147 4268.0000000000
160 4346.0000000000
165 4363.0000000000
167 4461.0000000000
183 4484.0000000000
185 4552.0000000000
195 4563.0000000000
208 4615.0000000000
225 4621.0000000000
226 4659.0000000000
232 4688.0000000000
235 4770.0000000000
247 4830.0000000000
268 4874.0000000000
273 4881.0000000000
312 4969.0000000000
392 5050.0000000000
evaluations raw_y
1 2115.0000000000
5 2154.0000000000
8 2211.0000000000
11 2272.0000000000
13 2309.0000000000
14 2318.0000000000
19 2370.0000000000
20 2408.0000000000
21 2425.0000000000
22 2490.0000000000
23 2569.0000000000
25 2601.0000000000
30 2676.0000000000
32 2740.0000000000
33 2816.0000000000
34 2914.0000000000
37 2932.0000000000
38 2987.0000000000
41 3006.0000000000
42 3012.0000000000
45 3102.0000000000
50 3136.0000000000
54 3181.0000000000
56 3216.0000000000
58 3221.0000000000
59 3268.0000000000
60 3295.0000000000
65 3388.0000000000
66 3483.0000000000
69 3574.0000000000
74 3652.0000000000
81 3674.0000000000
84 3740.0000000000
86 3825.0000000000
87 3924.0000000000
88 3970.0000000000
89 3995.0000000000
91 4025.0000000000
92 4067.0000000000
95 4125.0000000000
97 4168.0000000000
106 4221.0000000000
107 4294.0000000000
112 4301.0000000000
137 4384.0000000000
145 4473.0000000000
147 4513.0000000000
151 4526.0000000000
201 4557.0000000000
207 4617.0000000000
212 4701.0000000000
239 4795.0000000000
282 4866.0000000000
323 4948.0000000000
372 4958.0000000000
376 5050.0000000000
evaluations raw_y
1 2729.0000000000
3 2790.0000000000
4 2852.0000000000
5 2866.0000000000
8 2960.0000000000
11 2970.0000000000
14 3054.0000000000
19 3125.0000000000
22 3158.0000000000
25 3244.0000000000
30 3248.0000000000
33 3261.0000000000
34 3342.0000000000
35 3415.0000000000
42 3455.0000000000
44 3487.0000000000
46 3557.0000000000
52 3563.0000000000
56 3643.0000000000
60 3674.0000000000
62 3698.0000000000
64 3764.0000000000
69 3813.0000000000
70 3866.0000000000
72 3920.0000000000
73 3948.0000000000
76 3950.0000000000
79 4040.0000000000
90 4100.0000000000
93 4155.0000000000
94 4178.0000000000
96 4237.0000000000
98 4325.0000000000
102 4425.0000000000
111 4466.0000000000
132 4491.0000000000
133 4498.0000000000
143 4524.0000000000
158 4621.0000000000
164 4667.0000000000
177 4710.0000000000
194 4725.0000000000
195 4754.0000000000
202 4836.0000000000
210 4904.0000000000
313 4951.0000000000
352 5050.0000000000
evaluations raw_y
1 2690.0000000000
2 2758.0000000000
3 2762.0000000000
4 2836.0000000000
6 2869.0000000000
7 2940.0000000000
11 2996.0000000000
16 3013.0000000000
17 3041.0000000000
18 3067.0000000000
20 3096.0000000000
21 3162.0000000000
22 3226.0000000000
30 3317.0000000000
34 3325.0000000000
36 3368.0000000000
38 3430.0000000000
41 3443.0000000000
43 3500.0000000000
50 3584.0000000000
52 3644.0000000000
58 3674.0000000000
59 3712.0000000000
60 3765.0000000000
66 3864.0000000000
67 3949.0000000000
72 4031.0000000000
74 4092.0000000000
75 4115.0000000000
84 4154.0000000000
88 4221.0000000000
89 4301.0000000000
95 4346.0000000000
98 4366.0000000000
114 4397.0000000000
136 4415.0000000000
144 4442.0000000000
154 4500.0000000000
161 4510.0000000000
170 4516.0000000000
172 4528.0000000000
194 4578.0000000000
202 4625.0000000000
208 4695.0000000000
210 4735.0000000000
265 4742.0000000000
267 4774.0000000000
284 4851.0000000000
290 4876.0000000000
322 4898.0000000000
379 4995.0000000000
624 5050.0000000000
evaluations raw_y
1 1794.0000000000
3 1823.0000000000
4 1885.0000000000
9 1974.0000000000
10 2029.0000000000
11 2036.0000000000
13 2127.0000000000
14 2171.0000000000
17 2248.0000000000
19 2330.0000000000
20 2352.0000000000
24 2428.0000000000
25 2522.0000000000
27 2587.0000000000
29 2648.0000000000
35 2664.0000000000
36 2754.0000000000
41 2833.0000000000
43 2837.0000000000
44 2877.0000000000
48 2946.0000000000
51 3012.0000000000
52 3044.0000000000
53 3081.0000000000
54 3167.0000000000
58 3237.0000000000
60 3317.0000000000
62 3365.0000000000
63 3446.0000000000
66 3546.0000000000
68 3564.0000000000
69 3567.0000000000
77 3660.0000000000
85 3666.0000000000
86 3686.0000000000
90 3749.0000000000
92 3800.0000000000
93 3892.0000000000
94 3934.0000000000
104 3993.0000000000
113 4028.0000000000
117 4071.0000000000
122 4138.0000000000
128 4153.0000000000
135 4155.0000000000
136 4239.0000000000
151 4260.0000000000
166 4333.0000000000
168 4408.0000000000
180 4454.0000000000
182 4488.0000000000
211 4542.0000000000
212 4627.0000000000
239 4701.0000000000
245 4797.0000000000
266 4846.0000000000
282 4873.0000000000
287 4931.0000000000
291 4962.0000000000
564 5050.0000000000
evaluations raw_y
1 1916.0000000000
2 1984.0000000000
3 2067.0000000000
5 2074.0000000000
6 2118.0000000000
9 2156.0000000000
10 2254.0000000000
13 2326.0000000000
14 2417.0000000000
15 2507.0000000000
19 2606.0000000000
20 2706.0000000000
23 2726.0000000000
24 2778.0000000000
27 2796.0000000000
28 2867.0000000000
29 2922.0000000000
32 2924.0000000000
35 2969.0000000000
40 3054.0000000000
43 3102.0000000000
44 3113.0000000000
51 3171.0000000000
52 3212.0000000000
57 3215.0000000000
59 3271.0000000000
60 3280.0000000000
70 3327.0000000000
72 3357.0000000000
74 3365.0000000000
83 3461.0000000000
84 3467.0000000000
87 3543.0000000000
89 3631.0000000000
98 3700.0000000000
100 3794.0000000000
101 3851.0000000000
105 3856.0000000000
108 3953.0000000000
118 4028.0000000000
128 4092.0000000000
129 4142.0000000000
136 4220.0000000000
150 4282.0000000000
151 4335.0000000000
167 4430.0000000000
178 4457.0000000000
179 4520.0000000000
195 4545.0000000000
201 4626.0000000000
212 4719.0000000000
220 4741.0000000000
236 4821.0000000000
277 4872.0000000000
360 4895.0000000000
422 4919.0000000000
426 4958.0000000000
569 5050.0000000000
evaluations raw_y
1 2265.0000000000
2 2358.0000000000
3 2454.0000000000
4 2505.0000000000
5 2553.0000000000
6 2616.0000000000
7 2637.0000000000
8 2651.0000000000
9 2695.0000000000
10 2745.0000000000
12 2834.0000000000
15 2910.0000000000
16 2974.0000000000
18 2994.0000000000
19 3041.0000000000
23 3120.0000000000
24 3133.0000000000
25 3187.0000000000
27 3287.0000000000
28 3318.0000000000
32 3402.0000000000
33 3483.0000000000
34 3488.0000000000
42 3578.0000000000
44 3644.0000000000
50 3661.0000000000
54 3732.0000000000
58 3755.0000000000
63 3757.0000000000
64 3848.0000000000
68 3893.0000000000
70 3919.0000000000
71 3961.0000000000
74 3991.0000000000
79 4044.0000000000
92 4048.0000000000
94 4130.0000000000
95 4155.0000000000
97 4188.0000000000
99 4189.0000000000
100 4195.0000000000
107 4214.0000000000
115 4269.0000000000
125 4276.0000000000
127 4304.0000000000
137 4341.0000000000
147 4373.0000000000
174 4416.0000000000
175 4428.0000000000
177 4468.0000000000
188 4535.0000000000
223 4607.0000000000
228 4667.0000000000
229 4708.0000000000
250 4794.0000000000
307 4843.0000000000
502 4931.0000000000
530 5026.0000000000
678 5050.0000000000
evaluations raw_y
1 2924.0000000000
3 3002.0000000000
5 3031.0000000000
7 3037.0000000000
8 3136.0000000000
9 3204.0000000000
14 3234.0000000000
19 3235.0000000000
20 3257.0000000000
25 3331.0000000000
27 3349.0000000000
32 3386.0000000000
34 3424.0000000000
35 3520.0000000000
52 3584.0000000000
56 3632.0000000000
59 3723.0000000000
68 3820.0000000000
70 3851.0000000000
71 3868.0000000000
74 3919.0000000000
76 3973.0000000000
93 4012.0000000000
97 4036.0000000000
100 4117.0000000000
115 4206.0000000000
129 4246.0000000000
140 4318.0000000000
153 4330.0000000000
163 4428.0000000000
177 4514.0000000000
185 4530.0000000000
190 4613.0000000000
193 4657.0000000000
228 4691.0000000000
250 4784.0000000000
264 4840.0000000000
280 4866.0000000000
368 4939.0000000000
372 4998.0000000000
713 5050.0000000000
