evaluations raw_y
1 51.0000000000
4 53.0000000000
10 56.0000000000
23 61.0000000000
170 62.0000000000
644 66.0000000000
100000 47.0000000000
evaluations raw_y
1 51.0000000000
3 59.0000000000
57 70.0000000000
100000 58.0000000000
evaluations raw_y
1 50.0000000000
2 55.0000000000
11 59.0000000000
18 61.0000000000
139 64.0000000000
1759 65.0000000000
2055 66.0000000000
14527 68.0000000000
29190 69.0000000000
100000 44.0000000000
evaluations raw_y
1 49.0000000000
2 57.0000000000
34 58.0000000000
82 62.0000000000
131 64.0000000000
493 66.0000000000
100000 50.0000000000
evaluations raw_y
1 48.0000000000
4 57.0000000000
18 58.0000000000
28 60.0000000000
50 63.0000000000
160 64.0000000000
364 65.0000000000
560 66.0000000000
1423 67.0000000000
2454 69.0000000000
100000 41.0000000000
evaluations raw_y
1 43.0000000000
2 61.0000000000
21 64.0000000000
156 65.0000000000
100000 51.0000000000
evaluations raw_y
1 50.0000000000
2 52.0000000000
3 54.0000000000
5 55.0000000000
8 59.0000000000
57 61.0000000000
68 64.0000000000
173 65.0000000000
583 66.0000000000
920 73.0000000000
100000 47.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
3 58.0000000000
15 62.0000000000
464 64.0000000000
3037 65.0000000000
3421 67.0000000000
100000 49.0000000000
evaluations raw_y
1 50.0000000000
2 52.0000000000
3 53.0000000000
6 55.0000000000
8 61.0000000000
115 62.0000000000
139 63.0000000000
358 65.0000000000
1173 66.0000000000
1523 68.0000000000
100000 40.0000000000
evaluations raw_y
1 47.0000000000
2 51.0000000000
4 54.0000000000
9 56.0000000000
22 57.0000000000
26 58.0000000000
36 63.0000000000
62 64.0000000000
629 65.0000000000
665 66.0000000000
1186 67.0000000000
1219 69.0000000000
100000 47.0000000000
