evaluations raw_y
1 -913.0000000000
1113 -894.0000000000
1162 -816.0000000000
1706 -777.0000000000
2391 -708.0000000000
100000 -1653.0000000000
evaluations raw_y
1 -1352.0000000000
2 -991.0000000000
17 -923.0000000000
259 -874.0000000000
576 -865.0000000000
641 -816.0000000000
894 -787.0000000000
4268 -719.0000000000
100000 -1255.0000000000
evaluations raw_y
1 -1313.0000000000
2 -1079.0000000000
42 -1049.0000000000
76 -972.0000000000
138 -942.0000000000
199 -874.0000000000
1452 -787.0000000000
1668 -758.0000000000
100000 -1381.0000000000
evaluations raw_y
1 -1449.0000000000
2 -1420.0000000000
3 -1137.0000000000
8 -1001.0000000000
79 -952.0000000000
29602 -894.0000000000
100000 -1390.0000000000
evaluations raw_y
1 -1098.0000000000
9 -991.0000000000
59 -972.0000000000
294 -904.0000000000
877 -825.0000000000
100000 -1234.0000000000
evaluations raw_y
1 -1478.0000000000
2 -1254.0000000000
8 -1206.0000000000
14 -1156.0000000000
19 -1137.0000000000
23 -1128.0000000000
28 -1127.0000000000
36 -1117.0000000000
37 -1098.0000000000
52 -1010.0000000000
53 -982.0000000000
125 -952.0000000000
259 -913.0000000000
494 -738.0000000000
100000 -1283.0000000000
evaluations raw_y
1 -1556.0000000000
2 -1244.0000000000
4 -1234.0000000000
13 -1146.0000000000
17 -1070.0000000000
32 -1040.0000000000
115 -874.0000000000
387 -845.0000000000
729 -835.0000000000
100000 -1517.0000000000
evaluations raw_y
1 -1176.0000000000
2 -1166.0000000000
17 -1069.0000000000
112 -825.0000000000
6852 -816.0000000000
6921 -806.0000000000
7471 -797.0000000000
8995 -777.0000000000
11997 -738.0000000000
100000 -1566.0000000000
evaluations raw_y
1 -1605.0000000000
2 -1030.0000000000
48 -1001.0000000000
300 -981.0000000000
339 -768.0000000000
2281 -757.0000000000
2955 -728.0000000000
4999 -651.0000000000
100000 -1371.0000000000
evaluations raw_y
1 -1293.0000000000
2 -1254.0000000000
6 -1206.0000000000
12 -1118.0000000000
32 -961.0000000000
174 -933.0000000000
329 -913.0000000000
653 -894.0000000000
791 -845.0000000000
990 -757.0000000000
1055 -749.0000000000
1168 -670.0000000000
2966 -582.0000000000
100000 -1488.0000000000
