evaluations raw_y
1 0.9663703131
3 1.2556504269
7 1.4409221902
23 1.4697236919
62 1.4749262537
97 1.5290519878
162 1.6523463318
889 1.7768301350
985 1.9364833462
1114 2.0408163265
13767 2.0746887967
54078 2.0990764064
86294 2.2222222222
86303 2.2624434389
100000 0.9114108640
evaluations raw_y
1 0.8588114050
2 0.8893632159
3 1.1579434924
4 1.1967448540
7 1.3713658804
11 1.4594279043
14 1.5460729746
122 1.5974440895
168 1.6995241332
4080 1.8181818182
7039 1.8642803878
7560 1.9011406844
11674 1.9245573518
17964 2.0374898126
44496 2.2026431718
49923 2.3562676720
100000 0.9242144177
evaluations raw_y
1 0.6802721088
2 1.0473397570
4 1.2130033964
5 1.3506212858
6 1.4697236919
42 1.5733165513
103 1.5792798484
489 1.7064846416
760 1.7373175817
777 1.7818959373
779 1.8315018315
780 1.9857029388
798 2.0815986678
833 2.5484199796
100000 0.9009009009
evaluations raw_y
1 0.8793527963
2 1.5499070056
108 1.5595757954
347 1.5654351910
388 1.5812776724
411 1.6744809109
457 1.8395879323
524 1.9127773527
1060 1.9215987702
6937 1.9516003123
10790 2.0145044319
10939 2.1276595745
59077 2.2381378693
59168 2.2542831380
100000 1.2960082945
evaluations raw_y
1 1.0482180294
2 1.0535187526
3 1.5537600994
71 1.6589250166
750 1.7182130584
764 1.7818959373
787 1.7895490336
820 1.7998560115
926 1.8896447468
927 1.9700551615
1333 1.9888623707
4334 2.0542317173
26298 2.0644095789
26580 2.1758050479
100000 1.1358473421
evaluations raw_y
1 1.1379153391
2 1.2394645513
4 1.5105740181
29 1.6523463318
57 1.7111567420
452 1.7277125086
641 1.8181818182
3663 1.9394879752
4424 2.1061499579
17395 2.1276595745
46524 2.1570319241
56275 2.2583559169
100000 0.9423294384
evaluations raw_y
1 0.8931761343
2 1.0817827780
3 1.0902747492
4 1.2094823416
14 1.7667844523
134 2.0016012810
14391 2.1795989538
34625 2.2789425706
100000 1.1389521640
evaluations raw_y
1 1.0989010989
2 1.3206550449
8 1.7229496899
109 1.8341892883
456 1.8615040953
561 1.9731649566
889 2.0781379884
15946 2.0885547201
21500 2.1349274125
47166 2.2421524664
47245 2.3651844844
100000 1.0216591745
evaluations raw_y
1 0.5493298176
2 0.9754194304
3 1.1579434924
10 1.2973533991
12 1.3304949441
23 1.4979029359
79 1.6436554898
333 1.6789791807
509 1.8982536067
921 1.9215987702
4937 1.9275250578
5182 1.9888623707
10010 2.0475020475
12294 2.1312872975
27510 2.2956841139
100000 1.0588733587
evaluations raw_y
1 1.3623978202
2 1.4084507042
10 1.4560279557
22 1.6414970453
56 1.6567263088
217 1.7277125086
220 1.7325017325
261 2.1834061135
39820 2.1949078139
95778 2.2421524664
95800 2.2914757104
100000 0.9002520706
