evaluations raw_y
1 5.8000000000
2 6.6000000000
3 7.4000000000
13 8.0000000000
37 8.2000000000
427 8.6000000000
543 9.0000000000
2253 9.4000000000
2312 9.6000000000
2331 9.8000000000
2566 10.4000000000
9746 10.6000000000
12642 11.0000000000
19075 11.2000000000
100000 7.4000000000
evaluations raw_y
1 7.0000000000
3 8.8000000000
1028 9.0000000000
1039 9.2000000000
1044 9.4000000000
1357 9.6000000000
3786 10.6000000000
11655 11.0000000000
11710 11.2000000000
11744 11.4000000000
100000 6.4000000000
evaluations raw_y
1 7.0000000000
2 7.8000000000
3 9.4000000000
623 9.6000000000
3699 10.0000000000
3702 11.0000000000
57610 11.2000000000
82244 11.4000000000
100000 6.4000000000
evaluations raw_y
1 5.6000000000
2 7.4000000000
4 8.6000000000
7 9.4000000000
1025 9.6000000000
1084 9.8000000000
1093 10.0000000000
1117 10.2000000000
1195 10.4000000000
1288 10.6000000000
1302 10.8000000000
1373 11.0000000000
33694 11.6000000000
100000 7.6000000000
evaluations raw_y
1 9.2000000000
20 9.4000000000
5638 9.6000000000
10377 9.8000000000
25862 10.0000000000
26880 10.4000000000
46756 10.6000000000
48454 11.0000000000
48879 11.6000000000
100000 6.2000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
4 7.4000000000
17 8.0000000000
18 8.4000000000
29 9.6000000000
380 10.0000000000
3797 10.4000000000
4166 10.6000000000
7919 10.8000000000
8099 11.2000000000
100000 5.4000000000
evaluations raw_y
1 6.6000000000
5 7.0000000000
9 7.8000000000
31 8.2000000000
69 8.4000000000
140 9.4000000000
1278 9.6000000000
9874 9.8000000000
34447 10.2000000000
52848 10.4000000000
52891 11.2000000000
81096 11.4000000000
81214 11.6000000000
81372 12.2000000000
100000 6.8000000000
evaluations raw_y
1 6.8000000000
2 8.4000000000
16 9.0000000000
1797 9.2000000000
2596 9.6000000000
3935 9.8000000000
3959 10.0000000000
4379 10.2000000000
4423 10.4000000000
4454 10.8000000000
4597 11.0000000000
29461 11.2000000000
100000 6.0000000000
evaluations raw_y
1 6.6000000000
5 8.0000000000
7 8.4000000000
51 9.6000000000
1019 9.8000000000
1057 10.0000000000
1189 10.2000000000
11656 10.6000000000
16564 11.2000000000
16572 11.4000000000
100000 6.2000000000
evaluations raw_y
1 7.0000000000
5 7.2000000000
12 8.2000000000
60 8.6000000000
2108 8.8000000000
2315 9.0000000000
2495 9.4000000000
5246 9.6000000000
5521 10.0000000000
5585 10.2000000000
5678 10.4000000000
5904 10.6000000000
5967 10.8000000000
39996 11.0000000000
40021 11.8000000000
100000 5.4000000000
