evaluations raw_y
1 -0.4866700220
4 -0.4804347757
19 -0.4794400933
21 -0.4770533554
34 -0.4746155027
35 -0.4715678377
43 -0.4709163115
380 -0.4704562930
399 -0.4657815320
519 -0.4566576317
2724 -0.4539476588
2727 -0.4506793030
2741 -0.4466293099
8344 -0.4429649006
8346 -0.4343779997
8374 -0.4292960629
16561 -0.4285797879
16562 -0.4262171670
16563 -0.4201716374
16564 -0.4167088788
16567 -0.4128302492
100000 -0.5219797897
evaluations raw_y
1 -0.4708471423
128 -0.4677268535
1006 -0.4632689005
1110 -0.4614707115
1111 -0.4604859945
1112 -0.4557752604
1303 -0.4498138783
4617 -0.4484436013
4618 -0.4465725821
4633 -0.4445055757
23093 -0.4439904649
32663 -0.4439132211
35671 -0.4423074436
44148 -0.4406232224
47713 -0.4402720712
53955 -0.4276920835
53969 -0.4274755202
80778 -0.4196238357
100000 -0.5200163814
evaluations raw_y
1 -0.5129366274
8 -0.5072079598
11 -0.5017170532
12 -0.5016676665
13 -0.4950291188
14 -0.4845404367
17 -0.4800077158
65 -0.4721125328
70 -0.4648317928
73 -0.4605562737
84 -0.4573733451
722 -0.4537051629
6688 -0.4534048367
8751 -0.4503438133
8770 -0.4462976852
8773 -0.4419457040
8775 -0.4392843016
8814 -0.4344671207
8817 -0.4338205330
9746 -0.4305851426
34067 -0.4108762449
34072 -0.4037755679
100000 -0.5401545383
evaluations raw_y
1 -0.4963024102
8 -0.4948284156
14 -0.4941679086
18 -0.4881223790
19 -0.4843261017
23 -0.4793384644
24 -0.4647706406
509 -0.4598799161
510 -0.4597129373
520 -0.4591403108
968 -0.4587204316
978 -0.4583146263
979 -0.4561095119
2966 -0.4527161806
4000 -0.4518167591
4531 -0.4508502400
4533 -0.4504105108
4536 -0.4400283825
6162 -0.4325232083
6164 -0.4318271575
20046 -0.4267173549
20055 -0.4237873031
85992 -0.4226971520
96734 -0.4219000892
100000 -0.4623703653
evaluations raw_y
1 -0.5382888762
47 -0.5330202895
51 -0.5249208583
55 -0.5114898940
77 -0.5070747163
86 -0.4902253175
122 -0.4803542613
127 -0.4801580461
130 -0.4775959709
144 -0.4752943280
169 -0.4697925592
182 -0.4680817992
377 -0.4659807691
381 -0.4643202770
1008 -0.4629786516
1010 -0.4579178697
2169 -0.4535190797
2174 -0.4486931037
4991 -0.4451358015
7996 -0.4434639032
8002 -0.4407698227
8114 -0.4385509911
8143 -0.4382317961
8146 -0.4279969096
52226 -0.4247446925
87978 -0.4189541965
87984 -0.4179560071
87997 -0.4173502920
100000 -0.4956925858
evaluations raw_y
1 -0.4961476196
25 -0.4926887543
26 -0.4861634841
27 -0.4835093540
28 -0.4813075353
37 -0.4812421011
42 -0.4810385077
796 -0.4807579841
801 -0.4668169925
2242 -0.4612290485
2247 -0.4612206634
2265 -0.4575360698
2711 -0.4572589450
4789 -0.4528274367
4801 -0.4477377339
4802 -0.4447267437
4813 -0.4408765199
7317 -0.4344564143
7318 -0.4327455188
7326 -0.4315455166
7330 -0.4300261343
10840 -0.4258427318
10843 -0.4190583662
10865 -0.4178457690
10869 -0.4133318813
10875 -0.4130003073
45889 -0.4060748375
45893 -0.4000826287
45896 -0.4000255659
100000 -0.5362878741
evaluations raw_y
1 -0.5037238186
5 -0.5011746322
6 -0.5007720756
29 -0.4998920392
53 -0.4991270645
54 -0.4946969139
58 -0.4939788635
182 -0.4850972500
185 -0.4848311102
191 -0.4828960392
192 -0.4717502503
193 -0.4687572686
450 -0.4678812457
509 -0.4678467595
534 -0.4636796747
536 -0.4575494723
542 -0.4546171855
2310 -0.4543624371
2354 -0.4514507269
2359 -0.4471064660
2391 -0.4415063531
2392 -0.4409293203
2395 -0.4393186226
2418 -0.4295561583
99974 -0.4270456945
99977 -0.4230811171
100000 -0.4832302797
evaluations raw_y
1 -0.4591227997
7 -0.4570628720
97 -0.4560968070
987 -0.4490976840
990 -0.4442400239
6814 -0.4425458174
6815 -0.4384625980
6816 -0.4353698908
44490 -0.4335144756
84520 -0.4330563380
84533 -0.4309170199
84534 -0.4258153069
84535 -0.4221630091
84538 -0.4188862975
91087 -0.4147745509
100000 -0.5184110949
evaluations raw_y
1 -0.4985275106
2 -0.4928294716
14 -0.4811131006
15 -0.4761816020
16 -0.4663163980
18 -0.4659017527
112 -0.4614869706
114 -0.4602407706
121 -0.4590483404
125 -0.4523183202
126 -0.4466234011
143 -0.4413572515
144 -0.4346588883
145 -0.4301450007
154 -0.4267497544
157 -0.4250273238
971 -0.4186014877
991 -0.4129714300
1004 -0.4117252333
1006 -0.4055605716
1008 -0.3996328495
100000 -0.4895114659
evaluations raw_y
1 -0.5084573371
3 -0.5064879959
21 -0.5056693819
22 -0.5024423893
29 -0.4993769911
337 -0.4957187393
339 -0.4902905517
350 -0.4820717628
351 -0.4779705997
418 -0.4769793834
429 -0.4740246100
698 -0.4685408832
699 -0.4677480378
714 -0.4559584615
721 -0.4537393653
723 -0.4522653708
1555 -0.4497320324
1556 -0.4462921458
1562 -0.4382869802
1563 -0.4375909294
1573 -0.4279804158
19052 -0.4273136219
19060 -0.4206233075
19067 -0.4172250498
100000 -0.5207400199
