evaluations raw_y
1 -1527.0000000000
2 -1351.0000000000
3 -1323.0000000000
4 -1303.0000000000
7 -1090.0000000000
24 -855.0000000000
62 -836.0000000000
112 -788.0000000000
122 -787.0000000000
124 -680.0000000000
132 -612.0000000000
163 -505.0000000000
196 -417.0000000000
290 -369.0000000000
315 -330.0000000000
357 -301.0000000000
403 -292.0000000000
413 -272.0000000000
441 -204.0000000000
476 -195.0000000000
500 -185.0000000000
548 -147.0000000000
597 -128.0000000000
630 -118.0000000000
709 -109.0000000000
744 -100.0000000000
754 -81.0000000000
772 -80.0000000000
790 -71.0000000000
816 -61.0000000000
823 -42.0000000000
918 -41.0000000000
958 -31.0000000000
986 -23.0000000000
1012 -22.0000000000
1018 -3.0000000000
1379 -2.0000000000
1422 6.0000000000
1450 7.0000000000
2524 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1469.0000000000
4 -1439.0000000000
5 -1205.0000000000
15 -1108.0000000000
31 -1079.0000000000
51 -1050.0000000000
53 -1030.0000000000
54 -982.0000000000
62 -972.0000000000
69 -884.0000000000
140 -806.0000000000
143 -738.0000000000
161 -670.0000000000
193 -544.0000000000
291 -467.0000000000
333 -457.0000000000
359 -409.0000000000
407 -370.0000000000
439 -283.0000000000
552 -274.0000000000
558 -254.0000000000
611 -245.0000000000
668 -216.0000000000
691 -206.0000000000
710 -197.0000000000
718 -186.0000000000
755 -177.0000000000
777 -157.0000000000
846 -148.0000000000
863 -129.0000000000
924 -119.0000000000
980 -110.0000000000
996 -109.0000000000
1019 -80.0000000000
1084 -62.0000000000
1152 -52.0000000000
1192 -43.0000000000
1246 -33.0000000000
1265 -24.0000000000
1274 -14.0000000000
1300 -5.0000000000
1335 -4.0000000000
1524 -3.0000000000
1579 5.0000000000
1608 6.0000000000
1847 7.0000000000
1862 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1566.0000000000
3 -1332.0000000000
5 -1069.0000000000
18 -1030.0000000000
26 -826.0000000000
83 -757.0000000000
145 -738.0000000000
146 -690.0000000000
182 -622.0000000000
201 -602.0000000000
232 -563.0000000000
243 -534.0000000000
260 -524.0000000000
278 -475.0000000000
315 -436.0000000000
331 -408.0000000000
351 -388.0000000000
360 -368.0000000000
380 -349.0000000000
383 -320.0000000000
427 -310.0000000000
440 -252.0000000000
471 -233.0000000000
501 -204.0000000000
504 -194.0000000000
536 -165.0000000000
615 -156.0000000000
635 -147.0000000000
693 -138.0000000000
704 -128.0000000000
727 -100.0000000000
811 -90.0000000000
832 -80.0000000000
843 -71.0000000000
909 -52.0000000000
979 -51.0000000000
1046 -33.0000000000
1083 -32.0000000000
1248 -13.0000000000
1282 -12.0000000000
1500 -11.0000000000
1632 -3.0000000000
1656 -2.0000000000
1846 8.0000000000
1898 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1021.0000000000
27 -933.0000000000
48 -797.0000000000
107 -778.0000000000
114 -748.0000000000
138 -719.0000000000
157 -680.0000000000
172 -661.0000000000
173 -573.0000000000
201 -486.0000000000
204 -448.0000000000
229 -437.0000000000
310 -408.0000000000
319 -340.0000000000
349 -330.0000000000
376 -291.0000000000
393 -205.0000000000
458 -204.0000000000
469 -167.0000000000
498 -157.0000000000
508 -138.0000000000
529 -129.0000000000
560 -109.0000000000
596 -100.0000000000
603 -79.0000000000
627 -70.0000000000
682 -60.0000000000
694 -50.0000000000
768 -42.0000000000
773 -41.0000000000
815 -32.0000000000
963 -31.0000000000
981 -13.0000000000
1106 -12.0000000000
1349 7.0000000000
1607 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1517.0000000000
2 -1079.0000000000
39 -972.0000000000
81 -816.0000000000
103 -728.0000000000
125 -719.0000000000
150 -661.0000000000
198 -651.0000000000
208 -602.0000000000
213 -447.0000000000
272 -437.0000000000
278 -389.0000000000
314 -369.0000000000
364 -350.0000000000
375 -341.0000000000
377 -292.0000000000
393 -224.0000000000
421 -214.0000000000
459 -186.0000000000
471 -175.0000000000
494 -147.0000000000
518 -100.0000000000
589 -70.0000000000
711 -60.0000000000
813 -42.0000000000
848 -41.0000000000
853 -13.0000000000
937 -12.0000000000
1012 6.0000000000
1053 7.0000000000
1398 8.0000000000
1830 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1527.0000000000
2 -1468.0000000000
3 -1458.0000000000
4 -1147.0000000000
18 -1117.0000000000
25 -1050.0000000000
32 -962.0000000000
54 -885.0000000000
83 -729.0000000000
117 -583.0000000000
220 -525.0000000000
255 -496.0000000000
257 -476.0000000000
259 -457.0000000000
262 -408.0000000000
298 -379.0000000000
322 -311.0000000000
373 -283.0000000000
433 -254.0000000000
461 -234.0000000000
480 -215.0000000000
519 -186.0000000000
669 -166.0000000000
697 -157.0000000000
743 -147.0000000000
753 -137.0000000000
760 -128.0000000000
867 -80.0000000000
1131 -51.0000000000
1321 -22.0000000000
1420 -3.0000000000
1582 -2.0000000000
2077 7.0000000000
2661 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1683.0000000000
2 -1245.0000000000
5 -1020.0000000000
59 -991.0000000000
77 -913.0000000000
115 -796.0000000000
139 -787.0000000000
157 -738.0000000000
177 -612.0000000000
204 -515.0000000000
245 -485.0000000000
301 -466.0000000000
334 -427.0000000000
356 -398.0000000000
377 -397.0000000000
378 -369.0000000000
402 -351.0000000000
408 -330.0000000000
424 -311.0000000000
460 -253.0000000000
471 -215.0000000000
530 -205.0000000000
559 -166.0000000000
579 -128.0000000000
767 -118.0000000000
769 -99.0000000000
838 -80.0000000000
914 -61.0000000000
971 -42.0000000000
