evaluations raw_y
1 2593.0000000000
3 2603.0000000000
5 3427.0000000000
50 3485.0000000000
88 3577.0000000000
94 3612.0000000000
123 3677.0000000000
156 3683.0000000000
166 3844.0000000000
179 3893.0000000000
223 3949.0000000000
231 3997.0000000000
276 4038.0000000000
278 4058.0000000000
305 4085.0000000000
311 4209.0000000000
374 4259.0000000000
394 4288.0000000000
411 4297.0000000000
419 4301.0000000000
430 4458.0000000000
446 4523.0000000000
527 4528.0000000000
532 4606.0000000000
612 4614.0000000000
621 4631.0000000000
638 4660.0000000000
692 4675.0000000000
696 4716.0000000000
763 4755.0000000000
821 4759.0000000000
828 4834.0000000000
908 4840.0000000000
956 4885.0000000000
987 4887.0000000000
1000 4893.0000000000
1030 4934.0000000000
1068 4940.0000000000
1140 4954.0000000000
1174 4985.0000000000
1213 4991.0000000000
1242 5021.0000000000
1462 5022.0000000000
1895 5037.0000000000
2174 5050.0000000000
evaluations raw_y
1 2101.0000000000
2 2359.0000000000
4 2523.0000000000
5 2822.0000000000
8 2863.0000000000
22 3271.0000000000
38 3315.0000000000
60 3614.0000000000
90 3640.0000000000
116 3678.0000000000
150 3735.0000000000
194 3839.0000000000
198 3902.0000000000
201 4000.0000000000
235 4103.0000000000
266 4237.0000000000
295 4261.0000000000
313 4336.0000000000
327 4450.0000000000
380 4507.0000000000
400 4528.0000000000
406 4534.0000000000
442 4565.0000000000
449 4578.0000000000
455 4681.0000000000
510 4690.0000000000
533 4791.0000000000
583 4891.0000000000
616 4893.0000000000
639 4898.0000000000
664 4907.0000000000
683 4908.0000000000
716 4925.0000000000
824 4952.0000000000
1086 4976.0000000000
1219 4978.0000000000
1261 4990.0000000000
1308 4992.0000000000
1334 5002.0000000000
1346 5016.0000000000
1390 5018.0000000000
1422 5027.0000000000
1461 5029.0000000000
2528 5050.0000000000
evaluations raw_y
1 2286.0000000000
2 2431.0000000000
5 2553.0000000000
15 3038.0000000000
32 3451.0000000000
90 3567.0000000000
122 3591.0000000000
129 3676.0000000000
155 3688.0000000000
181 3726.0000000000
208 3878.0000000000
235 4049.0000000000
273 4208.0000000000
285 4328.0000000000
354 4393.0000000000
367 4425.0000000000
416 4457.0000000000
439 4471.0000000000
440 4489.0000000000
451 4519.0000000000
479 4520.0000000000
491 4521.0000000000
507 4568.0000000000
558 4614.0000000000
617 4678.0000000000
642 4705.0000000000
650 4729.0000000000
712 4746.0000000000
727 4760.0000000000
769 4769.0000000000
788 4820.0000000000
806 4834.0000000000
807 4837.0000000000
854 4851.0000000000
857 4865.0000000000
917 4873.0000000000
951 4889.0000000000
963 4903.0000000000
979 4943.0000000000
1012 4966.0000000000
1015 4967.0000000000
1035 4981.0000000000
1087 4986.0000000000
1118 5003.0000000000
1137 5010.0000000000
1162 5012.0000000000
1190 5019.0000000000
1312 5025.0000000000
1399 5027.0000000000
1460 5037.0000000000
1880 5042.0000000000
1970 5050.0000000000
evaluations raw_y
1 2751.0000000000
6 2794.0000000000
8 3008.0000000000
13 3024.0000000000
18 3034.0000000000
22 3340.0000000000
64 3369.0000000000
65 3383.0000000000
110 3474.0000000000
123 3567.0000000000
156 3709.0000000000
174 3763.0000000000
189 3807.0000000000
194 3898.0000000000
261 3904.0000000000
271 4212.0000000000
315 4224.0000000000
373 4253.0000000000
377 4262.0000000000
398 4295.0000000000
405 4450.0000000000
442 4510.0000000000
500 4526.0000000000
530 4545.0000000000
585 4562.0000000000
609 4627.0000000000
639 4659.0000000000
674 4667.0000000000
679 4674.0000000000
716 4708.0000000000
727 4735.0000000000
757 4762.0000000000
764 4767.0000000000
789 4774.0000000000
812 4782.0000000000
814 4799.0000000000
820 4831.0000000000
854 4881.0000000000
1031 4904.0000000000
1154 4919.0000000000
1248 4927.0000000000
1274 4979.0000000000
1293 4987.0000000000
1420 5001.0000000000
