evaluations raw_y
1 0.0000000000
2 1.0000000000
3 3.0000000000
10 4.0000000000
19 8.0000000000
22 10.0000000000
225 11.0000000000
607 12.0000000000
739 13.0000000000
880 14.0000000000
974 16.0000000000
1225 18.0000000000
1327 21.0000000000
1803 22.0000000000
1819 24.0000000000
1928 25.0000000000
2197 33.0000000000
2818 36.0000000000
2872 38.0000000000
3059 41.0000000000
3238 43.0000000000
3282 46.0000000000
3834 48.0000000000
3943 51.0000000000
3969 52.0000000000
4341 53.0000000000
4437 54.0000000000
4842 57.0000000000
5539 62.0000000000
5561 63.0000000000
5683 66.0000000000
5843 69.0000000000
6159 72.0000000000
6194 75.0000000000
6322 77.0000000000
6369 78.0000000000
6459 80.0000000000
6474 81.0000000000
6488 82.0000000000
6547 83.0000000000
6840 87.0000000000
6971 88.0000000000
7043 91.0000000000
7333 92.0000000000
7468 95.0000000000
7532 96.0000000000
7594 99.0000000000
7632 100.0000000000
evaluations raw_y
1 0.0000000000
9 1.0000000000
246 2.0000000000
564 8.0000000000
832 10.0000000000
1022 11.0000000000
1061 15.0000000000
1063 18.0000000000
1616 22.0000000000
1760 25.0000000000
2067 26.0000000000
2153 27.0000000000
2287 29.0000000000
2437 31.0000000000
2501 33.0000000000
2572 34.0000000000
3595 36.0000000000
3848 37.0000000000
3973 38.0000000000
4164 39.0000000000
4236 41.0000000000
4320 42.0000000000
4393 44.0000000000
4451 45.0000000000
4591 46.0000000000
4755 49.0000000000
5001 50.0000000000
5111 55.0000000000
5509 57.0000000000
5892 58.0000000000
5997 59.0000000000
6100 63.0000000000
6144 64.0000000000
6171 68.0000000000
6365 71.0000000000
6649 72.0000000000
6908 73.0000000000
7355 76.0000000000
7536 77.0000000000
8657 78.0000000000
8682 79.0000000000
9290 82.0000000000
9524 83.0000000000
9580 84.0000000000
9619 87.0000000000
9974 90.0000000000
11286 93.0000000000
11308 95.0000000000
11434 97.0000000000
11635 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
6 3.0000000000
156 5.0000000000
267 7.0000000000
419 9.0000000000
864 15.0000000000
899 16.0000000000
1120 17.0000000000
1174 18.0000000000
1281 20.0000000000
1478 21.0000000000
2109 23.0000000000
2317 26.0000000000
2455 28.0000000000
2632 32.0000000000
2779 33.0000000000
3554 34.0000000000
3710 35.0000000000
3727 36.0000000000
3759 40.0000000000
3905 42.0000000000
4736 44.0000000000
4979 45.0000000000
5204 49.0000000000
5979 51.0000000000
6430 52.0000000000
8014 53.0000000000
8095 54.0000000000
8244 58.0000000000
9246 61.0000000000
9465 63.0000000000
9687 64.0000000000
9712 65.0000000000
9747 66.0000000000
10557 67.0000000000
10848 68.0000000000
10874 69.0000000000
11580 70.0000000000
11715 71.0000000000
11730 72.0000000000
12295 76.0000000000
12550 77.0000000000
13846 78.0000000000
14238 80.0000000000
14456 84.0000000000
15021 86.0000000000
15087 87.0000000000
15255 88.0000000000
15354 92.0000000000
15645 93.0000000000
