evaluations raw_y
1 6.6000000000
2 8.0000000000
5 9.0000000000
15 9.4000000000
22 10.4000000000
36 10.6000000000
50 10.8000000000
63 11.0000000000
86 11.4000000000
95 11.6000000000
110 12.4000000000
124 12.6000000000
178 12.8000000000
222 13.0000000000
228 13.4000000000
242 13.6000000000
257 14.0000000000
292 14.2000000000
335 14.4000000000
357 14.6000000000
430 14.8000000000
473 15.0000000000
479 15.2000000000
550 15.4000000000
564 15.6000000000
608 15.8000000000
917 16.0000000000
980 16.2000000000
1017 16.4000000000
1026 16.6000000000
100000 16.4000000000
evaluations raw_y
1 6.2000000000
2 6.4000000000
5 6.8000000000
7 7.6000000000
12 7.8000000000
19 8.2000000000
22 8.8000000000
24 10.0000000000
35 11.0000000000
44 11.2000000000
50 11.8000000000
55 12.0000000000
63 12.2000000000
67 12.4000000000
81 12.6000000000
83 12.8000000000
102 13.2000000000
140 13.4000000000
157 13.6000000000
187 13.8000000000
215 14.0000000000
264 14.2000000000
285 14.4000000000
305 14.6000000000
425 14.8000000000
449 15.0000000000
463 15.2000000000
469 15.4000000000
517 15.6000000000
572 15.8000000000
604 16.0000000000
626 16.2000000000
655 16.4000000000
657 16.6000000000
947 16.8000000000
1716 17.0000000000
100000 15.8000000000
evaluations raw_y
1 5.6000000000
3 7.2000000000
10 8.0000000000
13 8.2000000000
22 9.6000000000
33 10.2000000000
39 10.4000000000
54 10.6000000000
61 10.8000000000
72 11.8000000000
103 12.0000000000
109 12.2000000000
138 12.4000000000
143 12.6000000000
176 12.8000000000
184 13.0000000000
203 13.2000000000
217 13.4000000000
219 13.6000000000
268 13.8000000000
269 14.0000000000
325 14.2000000000
333 14.4000000000
357 14.6000000000
400 14.8000000000
470 15.0000000000
505 15.2000000000
519 15.4000000000
557 15.6000000000
622 15.8000000000
628 16.0000000000
738 16.2000000000
818 16.4000000000
883 16.6000000000
932 16.8000000000
1449 17.0000000000
1946 17.2000000000
100000 17.0000000000
evaluations raw_y
1 6.8000000000
4 8.0000000000
6 8.6000000000
7 9.4000000000
16 10.0000000000
23 10.2000000000
26 10.6000000000
30 10.8000000000
32 11.0000000000
33 11.2000000000
37 12.0000000000
46 12.2000000000
54 12.6000000000
58 13.0000000000
94 13.2000000000
135 13.4000000000
164 13.6000000000
203 13.8000000000
258 14.0000000000
261 14.2000000000
282 14.4000000000
317 14.6000000000
329 14.8000000000
372 15.0000000000
395 15.2000000000
476 15.4000000000
584 15.6000000000
600 15.8000000000
638 16.0000000000
658 16.2000000000
671 16.4000000000
763 16.6000000000
1056 16.8000000000
100000 16.8000000000
evaluations raw_y
1 7.2000000000
3 7.6000000000
6 7.8000000000
9 8.8000000000
10 9.0000000000
19 9.4000000000
32 10.0000000000
54 10.2000000000
68 10.6000000000
104 10.8000000000
114 11.0000000000
128 11.2000000000
153 11.4000000000
165 11.6000000000
171 11.8000000000
178 12.0000000000
191 12.2000000000
206 12.6000000000
230 12.8000000000
293 13.0000000000
309 13.2000000000
343 13.4000000000
351 13.6000000000
395 13.8000000000
420 14.0000000000
428 14.2000000000
