evaluations raw_y
1 5.8000000000
2 7.2000000000
3 7.4000000000
4 8.0000000000
25 8.8000000000
34 9.4000000000
110 10.0000000000
276 10.6000000000
18563 10.8000000000
100000 7.4000000000
evaluations raw_y
1 7.0000000000
2 7.4000000000
3 8.4000000000
14 8.6000000000
58 8.8000000000
67 10.0000000000
624 10.2000000000
1449 11.0000000000
47467 11.2000000000
100000 8.4000000000
evaluations raw_y
1 7.0000000000
2 8.0000000000
3 9.2000000000
94 9.4000000000
404 10.2000000000
430 10.6000000000
7124 10.8000000000
8429 11.6000000000
100000 5.2000000000
evaluations raw_y
1 5.6000000000
2 8.0000000000
4 8.2000000000
19 8.8000000000
55 9.4000000000
144 9.6000000000
479 9.8000000000
529 10.0000000000
1352 10.2000000000
2066 10.6000000000
4147 11.2000000000
100000 5.6000000000
evaluations raw_y
1 9.2000000000
204 10.6000000000
1004 10.8000000000
2436 11.0000000000
4238 11.2000000000
7969 11.4000000000
100000 8.2000000000
evaluations raw_y
1 6.8000000000
4 7.4000000000
10 7.6000000000
14 8.2000000000
26 8.8000000000
43 9.0000000000
97 9.4000000000
403 9.6000000000
548 9.8000000000
675 10.0000000000
1247 10.8000000000
1483 11.2000000000
74572 11.6000000000
100000 7.8000000000
evaluations raw_y
1 6.6000000000
5 6.8000000000
10 7.6000000000
14 7.8000000000
24 8.6000000000
48 8.8000000000
125 9.0000000000
219 10.2000000000
308 10.6000000000
490 10.8000000000
3858 11.2000000000
100000 5.6000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
3 7.4000000000
15 8.4000000000
33 9.2000000000
70 9.6000000000
312 10.0000000000
455 10.4000000000
793 10.6000000000
3098 10.8000000000
100000 6.0000000000
evaluations raw_y
1 6.6000000000
6 7.0000000000
7 8.2000000000
12 8.8000000000
37 9.0000000000
77 10.0000000000
111 10.6000000000
1355 11.4000000000
100000 6.8000000000
evaluations raw_y
1 7.0000000000
2 7.2000000000
3 7.6000000000
4 8.0000000000
5 8.2000000000
37 9.0000000000
111 9.2000000000
473 9.4000000000
1319 10.2000000000
5607 10.4000000000
50175 10.6000000000
50544 11.0000000000
100000 7.0000000000
