evaluations raw_y
1 51.0000000000
3 52.0000000000
4 54.0000000000
10 62.0000000000
4037 63.0000000000
19312 64.0000000000
52106 65.0000000000
52211 66.0000000000
52376 68.0000000000
52394 69.0000000000
52586 70.0000000000
100000 55.0000000000
evaluations raw_y
1 51.0000000000
2 52.0000000000
3 57.0000000000
33 58.0000000000
57 60.0000000000
310 62.0000000000
1182 63.0000000000
1444 64.0000000000
59109 65.0000000000
81473 66.0000000000
81527 67.0000000000
81550 68.0000000000
100000 49.0000000000
evaluations raw_y
1 50.0000000000
2 54.0000000000
19 58.0000000000
30 59.0000000000
84 60.0000000000
5034 61.0000000000
5662 63.0000000000
6263 64.0000000000
6500 65.0000000000
11143 66.0000000000
43272 67.0000000000
43280 68.0000000000
43294 69.0000000000
100000 49.0000000000
evaluations raw_y
1 49.0000000000
2 57.0000000000
22 58.0000000000
4254 59.0000000000
4351 60.0000000000
4374 61.0000000000
5745 62.0000000000
18091 63.0000000000
18111 65.0000000000
45760 66.0000000000
100000 47.0000000000
evaluations raw_y
1 48.0000000000
4 51.0000000000
13 54.0000000000
14 59.0000000000
11429 60.0000000000
11571 61.0000000000
14644 64.0000000000
44653 66.0000000000
51545 67.0000000000
51587 69.0000000000
92988 71.0000000000
100000 55.0000000000
evaluations raw_y
1 43.0000000000
2 60.0000000000
12 61.0000000000
21 62.0000000000
6439 63.0000000000
6942 64.0000000000
8054 66.0000000000
12194 67.0000000000
12493 68.0000000000
12509 69.0000000000
39892 70.0000000000
40443 71.0000000000
40601 72.0000000000
100000 43.0000000000
evaluations raw_y
1 50.0000000000
3 51.0000000000
5 54.0000000000
6 55.0000000000
8 56.0000000000
9 57.0000000000
16 58.0000000000
23 59.0000000000
110 60.0000000000
850 62.0000000000
995 64.0000000000
1370 66.0000000000
2142 67.0000000000
2207 69.0000000000
100000 49.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
3 56.0000000000
70 57.0000000000
72 62.0000000000
2329 63.0000000000
2347 65.0000000000
17429 68.0000000000
67008 69.0000000000
100000 48.0000000000
evaluations raw_y
1 50.0000000000
2 51.0000000000
5 56.0000000000
6 57.0000000000
10 62.0000000000
76 63.0000000000
8273 64.0000000000
8351 65.0000000000
14125 66.0000000000
52433 68.0000000000
100000 47.0000000000
evaluations raw_y
1 47.0000000000
2 50.0000000000
4 53.0000000000
12 54.0000000000
26 58.0000000000
497 60.0000000000
783 61.0000000000
805 62.0000000000
35750 63.0000000000
62665 64.0000000000
62700 65.0000000000
64444 66.0000000000
64788 67.0000000000
64818 68.0000000000
100000 49.0000000000
