evaluations raw_y
1 -913.0000000000
4809 -884.0000000000
4814 -835.0000000000
13176 -825.0000000000
13191 -796.0000000000
13264 -758.0000000000
100000 -1234.0000000000
evaluations raw_y
1 -1352.0000000000
2 -1020.0000000000
21 -962.0000000000
104 -952.0000000000
854 -904.0000000000
933 -855.0000000000
947 -836.0000000000
4073 -826.0000000000
4169 -787.0000000000
30400 -767.0000000000
100000 -1585.0000000000
evaluations raw_y
1 -1313.0000000000
2 -1011.0000000000
2887 -1010.0000000000
4674 -991.0000000000
4981 -981.0000000000
15237 -972.0000000000
15420 -855.0000000000
33334 -816.0000000000
33349 -807.0000000000
100000 -1391.0000000000
evaluations raw_y
1 -1449.0000000000
2 -1342.0000000000
3 -1147.0000000000
4 -1137.0000000000
8 -1108.0000000000
11 -1040.0000000000
23 -991.0000000000
5050 -981.0000000000
5063 -942.0000000000
5572 -933.0000000000
5577 -894.0000000000
5583 -884.0000000000
5649 -875.0000000000
5653 -807.0000000000
100000 -1556.0000000000
evaluations raw_y
1 -1098.0000000000
2003 -1050.0000000000
5298 -1020.0000000000
5447 -1010.0000000000
5471 -951.0000000000
11766 -933.0000000000
11796 -914.0000000000
11817 -904.0000000000
11835 -884.0000000000
11957 -875.0000000000
12012 -865.0000000000
12089 -855.0000000000
12135 -816.0000000000
12356 -807.0000000000
12360 -797.0000000000
12411 -758.0000000000
12431 -748.0000000000
100000 -1089.0000000000
evaluations raw_y
1 -1478.0000000000
2 -1205.0000000000
14 -1108.0000000000
1515 -1088.0000000000
2215 -1069.0000000000
2276 -1040.0000000000
2308 -1020.0000000000
2367 -1001.0000000000
2687 -982.0000000000
2915 -972.0000000000
2975 -884.0000000000
3108 -865.0000000000
70948 -845.0000000000
100000 -1342.0000000000
evaluations raw_y
1 -1556.0000000000
2 -1439.0000000000
4 -1351.0000000000
13 -1254.0000000000
1288 -1244.0000000000
1359 -1176.0000000000
1368 -1166.0000000000
1451 -1147.0000000000
1493 -1088.0000000000
1523 -1030.0000000000
1573 -1020.0000000000
1792 -991.0000000000
2632 -981.0000000000
7973 -933.0000000000
8005 -903.0000000000
8123 -864.0000000000
8144 -796.0000000000
8170 -757.0000000000
9378 -748.0000000000
100000 -1381.0000000000
evaluations raw_y
1 -1176.0000000000
5 -1127.0000000000
18 -1098.0000000000
21 -1068.0000000000
4020 -1059.0000000000
4124 -1030.0000000000
4836 -1029.0000000000
6195 -1010.0000000000
6946 -971.0000000000
8540 -952.0000000000
13079 -904.0000000000
13202 -865.0000000000
14238 -855.0000000000
47069 -835.0000000000
48598 -826.0000000000
49102 -807.0000000000
49149 -797.0000000000
100000 -1380.0000000000
evaluations raw_y
1 -1605.0000000000
2 -1069.0000000000
46 -1040.0000000000
48 -962.0000000000
51 -943.0000000000
7980 -913.0000000000
8007 -903.0000000000
8029 -845.0000000000
24017 -826.0000000000
24029 -806.0000000000
24157 -796.0000000000
50903 -758.0000000000
100000 -1907.0000000000
evaluations raw_y
1 -1293.0000000000
5 -1128.0000000000
37 -1098.0000000000
8575 -1060.0000000000
8606 -1040.0000000000
8763 -943.0000000000
8804 -933.0000000000
20980 -924.0000000000
21189 -914.0000000000
21231 -875.0000000000
21235 -846.0000000000
21627 -827.0000000000
21752 -808.0000000000
74973 -806.0000000000
75000 -796.0000000000
75030 -767.0000000000
100000 -1478.0000000000
