evaluations raw_y
1 2909.0000000000
17 2910.0000000000
18 3082.0000000000
24 3301.0000000000
6797 3377.0000000000
7028 3422.0000000000
7237 3575.0000000000
100000 2409.0000000000
evaluations raw_y
1 2978.0000000000
4 3172.0000000000
24 3372.0000000000
10973 3396.0000000000
10982 3410.0000000000
11346 3419.0000000000
11352 3513.0000000000
11366 3514.0000000000
84863 3586.0000000000
100000 2521.0000000000
evaluations raw_y
1 2156.0000000000
2 2635.0000000000
6 2657.0000000000
18 2756.0000000000
29 3002.0000000000
31 3124.0000000000
1746 3125.0000000000
10976 3134.0000000000
11016 3173.0000000000
11362 3294.0000000000
31159 3367.0000000000
31217 3401.0000000000
31270 3467.0000000000
31307 3505.0000000000
31375 3545.0000000000
31393 3557.0000000000
31429 3561.0000000000
31442 3582.0000000000
31538 3635.0000000000
100000 2055.0000000000
evaluations raw_y
1 2295.0000000000
2 2622.0000000000
4 2803.0000000000
5 3216.0000000000
15 3222.0000000000
41 3355.0000000000
25335 3573.0000000000
100000 2661.0000000000
evaluations raw_y
1 2277.0000000000
3 2516.0000000000
6 2996.0000000000
443 3147.0000000000
7666 3149.0000000000
8600 3173.0000000000
8602 3224.0000000000
8655 3228.0000000000
21847 3378.0000000000
23108 3383.0000000000
23117 3449.0000000000
23341 3485.0000000000
23434 3553.0000000000
100000 2989.0000000000
evaluations raw_y
1 2546.0000000000
2 2717.0000000000
5 2896.0000000000
37 2913.0000000000
100 2929.0000000000
105 2972.0000000000
2376 2976.0000000000
7419 3010.0000000000
12713 3043.0000000000
13299 3059.0000000000
13350 3106.0000000000
13353 3109.0000000000
13366 3124.0000000000
13378 3140.0000000000
13385 3157.0000000000
13468 3221.0000000000
13479 3253.0000000000
13640 3256.0000000000
14716 3372.0000000000
14925 3406.0000000000
14956 3470.0000000000
15164 3640.0000000000
100000 2762.0000000000
evaluations raw_y
1 2432.0000000000
7 2471.0000000000
14 2497.0000000000
16 2854.0000000000
59 3027.0000000000
3934 3041.0000000000
3958 3166.0000000000
4053 3167.0000000000
4062 3202.0000000000
4812 3205.0000000000
5216 3232.0000000000
5242 3250.0000000000
5392 3256.0000000000
28350 3301.0000000000
28396 3329.0000000000
28554 3391.0000000000
31796 3448.0000000000
31806 3501.0000000000
96701 3533.0000000000
100000 2410.0000000000
evaluations raw_y
1 2796.0000000000
4 3011.0000000000
26 3107.0000000000
6968 3127.0000000000
10603 3139.0000000000
15013 3163.0000000000
15260 3204.0000000000
15312 3263.0000000000
15335 3317.0000000000
15741 3359.0000000000
15746 3387.0000000000
15771 3428.0000000000
100000 2620.0000000000
evaluations raw_y
1 2488.0000000000
5 2750.0000000000
54 2792.0000000000
1650 2801.0000000000
1673 2804.0000000000
1826 2820.0000000000
1873 2842.0000000000
1905 2961.0000000000
2002 2999.0000000000
2011 3049.0000000000
2034 3051.0000000000
2036 3062.0000000000
2041 3107.0000000000
2078 3147.0000000000
2140 3149.0000000000
2169 3224.0000000000
2890 3226.0000000000
3021 3260.0000000000
3661 3261.0000000000
3671 3283.0000000000
7033 3364.0000000000
41000 3408.0000000000
100000 2691.0000000000
evaluations raw_y
1 2551.0000000000
2 2574.0000000000
3 3191.0000000000
1352 3273.0000000000
7014 3389.0000000000
7116 3401.0000000000
7175 3496.0000000000
7251 3549.0000000000
100000 2329.0000000000
