evaluations raw_y
1 0.9663703131
31 0.9708737864
32 1.0092854259
44 1.0175010175
46 1.0579771477
52 1.1256190905
56 1.1410314925
59 1.1420740064
209 1.1515430677
220 1.2481278083
222 1.2722646310
226 1.3404825737
302 1.4037057833
329 1.6056518947
330 1.7470300489
1134 1.9364833462
8396 2.0576131687
8398 2.2542831380
100000 0.9701202949
evaluations raw_y
1 0.8588114050
4 0.8641548566
10 1.0535187526
17 1.1027790031
18 1.1317338162
172 1.1358473421
173 1.1515430677
298 1.3477088949
777 1.5873015873
1512 1.6458196182
1513 1.8076644975
1515 1.8261504748
2240 1.8587360595
8011 1.8642803878
8014 1.9011406844
11202 1.9984012790
58159 2.2065313327
93579 2.2789425706
93581 2.5746652935
100000 1.1547344111
evaluations raw_y
1 0.6802721088
7 0.6942515968
8 0.7624275694
12 0.8297378029
15 0.9589566552
83 0.9996001599
100 1.0490977759
166 1.1266336187
168 1.2248897599
170 1.2357884330
178 1.3819789939
180 1.5673981191
181 1.5893197711
184 1.7397355602
1431 1.7618040874
2088 1.7998560115
5903 1.8076644975
5906 1.8925056775
17874 1.9011406844
17876 1.9952114924
29614 2.1204410517
66346 2.2026431718
100000 0.8547008547
evaluations raw_y
1 0.8793527963
22 0.8830801837
27 0.9276437848
30 0.9538344143
31 1.0117361392
32 1.2321340562
41 1.3192612137
43 1.3433637829
44 1.5160703457
568 1.7135023989
3347 1.7277125086
5860 1.7445917655
5869 1.8698578908
14611 1.9700551615
20551 1.9825535289
21232 2.0341741253
21233 2.0850708924
91320 2.3169601483
100000 1.2406947891
evaluations raw_y
1 1.0482180294
4 1.3927576602
5 1.3974287311
240 1.5271838729
242 1.7253278123
248 1.8559762435
2094 1.9364833462
8622 2.1132713440
8630 2.1682567216
100000 1.2309207287
evaluations raw_y
1 1.1379153391
4 1.3333333333
159 1.3943112103
283 1.4180374362
287 1.5812776724
291 1.6097875080
295 1.6414970453
2693 1.6458196182
2753 1.7743080199
9550 1.9485580670
20580 1.9516003123
22016 2.0080321285
34956 2.0408163265
34959 2.1312872975
68962 2.4582104228
100000 0.8701705534
evaluations raw_y
1 0.8931761343
7 0.9127418766
8 0.9201324991
10 0.9516558812
12 1.0517458982
21 1.0950503723
49 1.1057054401
91 1.1348161598
107 1.1494252874
142 1.2048192771
150 1.3448090371
171 1.4326647564
172 1.5479876161
183 1.5733165513
224 1.6139444803
226 1.7568517217
1485 2.0177562550
13433 2.0210185934
85134 2.0441537204
94910 2.1026072330
100000 1.4052838673
evaluations raw_y
1 1.0989010989
5 1.1720581341
6 1.1731581417
11 1.2456402591
183 1.2518778167
214 1.2581781580
297 1.3054830287
304 1.4310246136
311 1.4662756598
314 1.5087507544
316 1.5441630636
490 1.6077170418
772 1.6926201760
800 1.7593244194
5728 1.8642803878
5760 1.9607843137
10126 1.9731649566
10149 2.0145044319
13015 2.2747952684
100000 1.3027618551
evaluations raw_y
1 0.5493298176
6 0.6090133983
12 0.7596475235
17 0.7685213649
29 0.8970218873
36 0.9402030839
38 1.1205737338
175 1.1764705882
230 1.1775788978
236 1.3535462913
239 1.6436554898
875 1.7818959373
980 1.8181818182
1212 1.8261504748
8203 1.8587360595
8207 1.9364833462
11480 2.0990764064
31298 2.1987686895
31311 2.3299161230
100000 0.9900990099
evaluations raw_y
1 1.3623978202
3 1.4084507042
6 1.5832805573
7 1.7494751575
382 1.7593244194
439 1.8477457502
2513 2.0815986678
35906 2.0885547201
56075 2.3041474654
100000 1.0224948875
