evaluations raw_y
1 49.0000000000
2 53.0000000000
5 58.0000000000
40 59.0000000000
66 60.0000000000
68 61.0000000000
95 62.0000000000
124 63.0000000000
128 65.0000000000
166 66.0000000000
182 67.0000000000
192 71.0000000000
263 74.0000000000
298 75.0000000000
316 76.0000000000
393 77.0000000000
407 78.0000000000
426 79.0000000000
452 80.0000000000
470 81.0000000000
525 82.0000000000
546 83.0000000000
578 84.0000000000
607 85.0000000000
626 86.0000000000
700 87.0000000000
737 88.0000000000
875 89.0000000000
938 90.0000000000
1142 91.0000000000
1252 92.0000000000
1347 93.0000000000
1466 94.0000000000
1732 95.0000000000
1857 96.0000000000
1927 97.0000000000
2135 98.0000000000
2331 99.0000000000
2537 100.0000000000
evaluations raw_y
1 56.0000000000
2 62.0000000000
64 63.0000000000
97 64.0000000000
115 68.0000000000
164 69.0000000000
212 72.0000000000
227 74.0000000000
287 78.0000000000
349 79.0000000000
416 80.0000000000
464 82.0000000000
516 84.0000000000
616 85.0000000000
697 86.0000000000
810 87.0000000000
936 88.0000000000
1009 89.0000000000
1067 90.0000000000
1109 91.0000000000
1168 92.0000000000
1472 93.0000000000
1557 94.0000000000
1651 95.0000000000
1714 96.0000000000
1800 97.0000000000
1967 98.0000000000
2091 99.0000000000
2366 100.0000000000
evaluations raw_y
1 54.0000000000
7 55.0000000000
13 62.0000000000
50 66.0000000000
103 70.0000000000
153 71.0000000000
214 72.0000000000
224 73.0000000000
251 76.0000000000
275 77.0000000000
309 83.0000000000
375 84.0000000000
466 85.0000000000
515 86.0000000000
642 87.0000000000
726 88.0000000000
941 89.0000000000
1077 90.0000000000
1112 91.0000000000
1183 92.0000000000
1223 93.0000000000
1410 94.0000000000
1422 95.0000000000
1639 96.0000000000
1791 97.0000000000
2076 98.0000000000
2405 99.0000000000
2739 100.0000000000
evaluations raw_y
1 48.0000000000
2 51.0000000000
6 53.0000000000
8 58.0000000000
15 59.0000000000
61 65.0000000000
103 70.0000000000
227 76.0000000000
291 77.0000000000
321 79.0000000000
413 80.0000000000
417 81.0000000000
480 82.0000000000
586 83.0000000000
601 84.0000000000
622 85.0000000000
721 86.0000000000
824 87.0000000000
906 88.0000000000
941 89.0000000000
1034 90.0000000000
1127 91.0000000000
1239 92.0000000000
1294 93.0000000000
1435 94.0000000000
1471 95.0000000000
1543 96.0000000000
1774 97.0000000000
2376 98.0000000000
2635 99.0000000000
2864 100.0000000000
evaluations raw_y
1 43.0000000000
2 49.0000000000
7 50.0000000000
12 51.0000000000
17 58.0000000000
30 62.0000000000
65 64.0000000000
102 65.0000000000
156 66.0000000000
191 67.0000000000
201 70.0000000000
228 72.0000000000
237 78.0000000000
324 79.0000000000
373 80.0000000000
408 84.0000000000
437 85.0000000000
505 87.0000000000
617 89.0000000000
817 90.0000000000
924 91.0000000000
968 92.0000000000
1004 93.0000000000
1319 94.0000000000
1447 95.0000000000
1619 96.0000000000
1934 97.0000000000
2130 98.0000000000
2276 99.0000000000
2369 100.0000000000
evaluations raw_y
1 44.0000000000
2 53.0000000000
4 59.0000000000
18 63.0000000000
60 64.0000000000
67 65.0000000000
75 66.0000000000
116 68.0000000000
129 71.0000000000
178 74.0000000000
207 75.0000000000
222 76.0000000000
263 80.0000000000
324 81.0000000000
391 82.0000000000
405 83.0000000000
437 86.0000000000
468 88.0000000000
533 89.0000000000
581 90.0000000000
617 91.0000000000
635 92.0000000000
817 93.0000000000
847 94.0000000000
1088 95.0000000000
1206 96.0000000000
1342 97.0000000000
1436 98.0000000000
1633 99.0000000000
2837 100.0000000000
evaluations raw_y
1 48.0000000000
3 50.0000000000
4 52.0000000000
8 53.0000000000
11 58.0000000000
29 60.0000000000
51 66.0000000000
102 68.0000000000
149 69.0000000000
157 70.0000000000
168 75.0000000000
251 76.0000000000
276 79.0000000000
346 80.0000000000
394 81.0000000000
422 82.0000000000
430 83.0000000000
527 84.0000000000
531 86.0000000000
595 88.0000000000
809 90.0000000000
845 91.0000000000
926 92.0000000000
1008 93.0000000000
1130 94.0000000000
1382 95.0000000000
1465 96.0000000000
1518 97.0000000000
1546 98.0000000000
1710 99.0000000000
1956 100.0000000000
evaluations raw_y
1 51.0000000000
3 52.0000000000
4 59.0000000000
23 60.0000000000
24 65.0000000000
92 66.0000000000
132 67.0000000000
167 69.0000000000
171 70.0000000000
178 71.0000000000
213 72.0000000000
243 73.0000000000
263 76.0000000000
287 78.0000000000
314 80.0000000000
383 82.0000000000
389 83.0000000000
416 85.0000000000
476 86.0000000000
515 87.0000000000
561 88.0000000000
629 90.0000000000
704 91.0000000000
718 92.0000000000
776 93.0000000000
1034 95.0000000000
1150 96.0000000000
1266 97.0000000000
1511 98.0000000000
1608 99.0000000000
2190 100.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
5 50.0000000000
6 60.0000000000
34 64.0000000000
109 66.0000000000
119 67.0000000000
128 68.0000000000
148 72.0000000000
193 75.0000000000
302 76.0000000000
304 77.0000000000
329 78.0000000000
374 79.0000000000
390 80.0000000000
436 81.0000000000
460 82.0000000000
477 84.0000000000
531 85.0000000000
548 86.0000000000
566 87.0000000000
578 88.0000000000
845 89.0000000000
874 90.0000000000
983 91.0000000000
1107 92.0000000000
1242 93.0000000000
1338 94.0000000000
1408 95.0000000000
1895 96.0000000000
2017 97.0000000000
2089 98.0000000000
2139 99.0000000000
2282 100.0000000000
evaluations raw_y
1 43.0000000000
2 57.0000000000
11 59.0000000000
43 64.0000000000
74 65.0000000000
125 67.0000000000
144 68.0000000000
184 72.0000000000
187 77.0000000000
331 78.0000000000
337 80.0000000000
352 81.0000000000
394 83.0000000000
451 84.0000000000
486 85.0000000000
522 86.0000000000
592 87.0000000000
635 88.0000000000
703 89.0000000000
779 90.0000000000
818 91.0000000000
954 92.0000000000
1129 93.0000000000
1168 94.0000000000
1280 95.0000000000
1308 97.0000000000
1553 98.0000000000
1845 99.0000000000
2136 100.0000000000
