evaluations raw_y
1 6.6000000000
2 7.4000000000
4 8.8000000000
65 10.4000000000
183 10.6000000000
199 10.8000000000
216 11.2000000000
232 11.8000000000
304 12.0000000000
337 12.6000000000
438 12.8000000000
458 13.6000000000
636 13.8000000000
662 14.0000000000
824 14.2000000000
863 14.4000000000
891 14.6000000000
957 14.8000000000
997 15.0000000000
1040 15.2000000000
1166 15.4000000000
1209 15.6000000000
1286 15.8000000000
1349 16.0000000000
1439 16.2000000000
1659 16.4000000000
1906 16.6000000000
2008 16.8000000000
100000 16.6000000000
evaluations raw_y
1 6.2000000000
6 8.8000000000
61 9.2000000000
92 9.4000000000
108 9.8000000000
134 10.8000000000
227 11.4000000000
249 12.0000000000
345 12.8000000000
392 13.0000000000
485 13.2000000000
505 13.4000000000
534 13.6000000000
543 13.8000000000
631 14.0000000000
733 14.2000000000
912 14.4000000000
1003 14.6000000000
1104 14.8000000000
1155 15.0000000000
1288 15.2000000000
1368 15.4000000000
1445 15.6000000000
1509 15.8000000000
1605 16.0000000000
1757 16.2000000000
2420 16.4000000000
2708 16.6000000000
3210 16.8000000000
100000 16.6000000000
evaluations raw_y
1 5.6000000000
2 6.0000000000
3 7.4000000000
4 8.2000000000
27 8.4000000000
38 9.6000000000
68 10.0000000000
157 11.4000000000
225 11.6000000000
268 11.8000000000
283 12.0000000000
305 12.4000000000
377 12.6000000000
397 13.2000000000
486 13.4000000000
510 13.6000000000
522 13.8000000000
605 14.0000000000
673 14.2000000000
813 14.4000000000
836 14.6000000000
1052 14.8000000000
1102 15.0000000000
1209 15.2000000000
1320 15.4000000000
1433 15.6000000000
1651 15.8000000000
1781 16.0000000000
1817 16.2000000000
2110 16.4000000000
2315 16.6000000000
2978 16.8000000000
100000 16.6000000000
evaluations raw_y
1 6.8000000000
4 7.4000000000
6 8.8000000000
58 9.2000000000
95 10.0000000000
140 10.4000000000
222 11.4000000000
271 11.6000000000
293 12.2000000000
341 12.8000000000
392 13.2000000000
429 14.0000000000
478 14.2000000000
556 14.4000000000
601 14.6000000000
616 14.8000000000
662 15.0000000000
809 15.2000000000
842 15.4000000000
955 15.6000000000
962 15.8000000000
1089 16.0000000000
1107 16.2000000000
1208 16.4000000000
1513 16.6000000000
1940 16.8000000000
2222 17.0000000000
100000 17.0000000000
evaluations raw_y
1 7.2000000000
3 7.6000000000
9 8.6000000000
32 8.8000000000
33 9.0000000000
104 9.6000000000
154 9.8000000000
192 10.0000000000
214 10.2000000000
257 10.4000000000
264 11.0000000000
318 11.6000000000
398 12.2000000000
453 12.4000000000
489 12.6000000000
520 12.8000000000
540 13.4000000000
667 13.6000000000
719 13.8000000000
731 14.0000000000
756 14.2000000000
798 14.4000000000
844 14.6000000000
985 14.8000000000
1101 15.0000000000
1198 15.2000000000
1278 15.4000000000
1417 15.6000000000
1626 15.8000000000
1636 16.0000000000
1847 16.2000000000
1983 16.4000000000
2267 16.6000000000
3209 16.8000000000
3523 17.0000000000
100000 17.0000000000
evaluations raw_y
1 6.2000000000
2 6.4000000000
4 7.0000000000
7 7.4000000000
8 8.2000000000
10 8.4000000000
15 8.8000000000
17 9.0000000000
23 9.4000000000
37 9.6000000000
87 10.6000000000
185 11.2000000000
195 11.6000000000
251 11.8000000000
302 12.0000000000
360 12.6000000000
390 12.8000000000
445 13.0000000000
475 13.2000000000
508 13.4000000000
562 13.6000000000
565 14.0000000000
696 14.2000000000
826 14.4000000000
842 14.6000000000
946 14.8000000000
951 15.0000000000
1278 15.2000000000
1324 15.4000000000
1510 15.6000000000
1714 15.8000000000
1778 16.0000000000
1893 16.2000000000
2262 16.4000000000
100000 16.2000000000
evaluations raw_y
1 7.0000000000
11 7.2000000000
13 7.6000000000
20 7.8000000000
26 8.0000000000
39 8.8000000000
42 9.2000000000
93 11.6000000000
189 12.0000000000
246 12.4000000000
344 12.8000000000
351 13.0000000000
421 13.6000000000
455 13.8000000000
483 14.0000000000
501 14.2000000000
574 14.4000000000
627 14.6000000000
940 14.8000000000
1024 15.0000000000
1271 15.2000000000
1398 15.4000000000
1500 15.6000000000
1726 15.8000000000
1832 16.0000000000
2081 16.2000000000
2184 16.4000000000
2307 16.6000000000
2377 16.8000000000
2753 17.0000000000
100000 17.0000000000
evaluations raw_y
1 7.2000000000
2 7.6000000000
6 8.0000000000
7 9.0000000000
26 9.4000000000
57 10.0000000000
158 10.8000000000
203 11.8000000000
255 12.0000000000
289 12.2000000000
304 12.4000000000
371 12.6000000000
417 12.8000000000
419 13.0000000000
502 13.2000000000
559 13.4000000000
604 13.6000000000
661 13.8000000000
782 14.0000000000
814 14.2000000000
866 14.4000000000
1001 14.6000000000
1111 14.8000000000
1184 15.0000000000
1281 15.2000000000
1346 15.4000000000
1426 15.6000000000
1609 15.8000000000
1829 16.0000000000
2223 16.2000000000
2333 16.4000000000
100000 16.4000000000
evaluations raw_y
1 7.8000000000
5 8.0000000000
12 8.4000000000
27 9.0000000000
62 9.4000000000
111 9.8000000000
132 10.6000000000
198 11.0000000000
215 11.2000000000
222 11.6000000000
226 12.8000000000
310 13.0000000000
392 13.2000000000
401 13.4000000000
450 13.6000000000
481 13.8000000000
505 14.0000000000
560 14.2000000000
644 14.4000000000
645 14.6000000000
743 14.8000000000
851 15.0000000000
894 15.2000000000
1091 15.4000000000
1174 15.6000000000
1217 15.8000000000
1413 16.0000000000
1496 16.2000000000
100000 16.0000000000
evaluations raw_y
1 6.2000000000
2 7.4000000000
6 7.6000000000
9 7.8000000000
17 8.2000000000
19 9.4000000000
80 10.0000000000
179 11.0000000000
249 12.0000000000
328 12.2000000000
349 12.4000000000
371 12.6000000000
408 12.8000000000
492 13.0000000000
496 13.2000000000
511 13.4000000000
571 13.8000000000
615 14.0000000000
679 14.2000000000
812 14.4000000000
814 14.6000000000
982 14.8000000000
1017 15.0000000000
1082 15.2000000000
1134 15.4000000000
1295 15.6000000000
1365 15.8000000000
1499 16.0000000000
1790 16.2000000000
2043 16.4000000000
2779 16.6000000000
100000 16.4000000000
