evaluations raw_y
1 -0.5087053499
2 -0.4998468214
3 -0.4887160526
9 -0.4859824581
10 -0.4853203433
22 -0.4797689696
27 -0.4678293799
34 -0.4607504437
71 -0.4534421715
83 -0.4436150857
84 -0.4386642097
104 -0.4289325287
147 -0.4232817108
149 -0.4136965039
248 -0.4089384693
262 -0.3960571759
294 -0.3836966596
311 -0.3783433820
349 -0.3681111385
455 -0.3668503425
462 -0.3559052109
544 -0.3557034659
553 -0.3514860198
667 -0.3512657606
675 -0.3505810637
678 -0.3499644815
695 -0.3492809054
701 -0.3474979211
707 -0.3419527185
717 -0.3393906433
741 -0.3378021111
789 -0.3371855289
822 -0.3370234260
834 -0.3342017294
899 -0.3329714392
1013 -0.3324913192
1112 -0.3314421609
1122 -0.3270232461
1130 -0.3257929560
1156 -0.3235135076
1304 -0.3225124672
1326 -0.3217714498
1563 -0.3205106538
1606 -0.3166910964
1944 -0.3163595224
7298 -0.3145208375
24989 -0.3138919477
27582 -0.3125659498
29710 -0.3096176927
48079 -0.3094998851
48381 -0.3041406894
100000 -0.3079602468
evaluations raw_y
1 -0.5554181074
2 -0.5038058335
4 -0.4857889335
15 -0.4758259879
41 -0.4586011819
51 -0.4444575853
67 -0.4418105635
123 -0.4255650566
132 -0.4235992990
186 -0.4196048184
192 -0.4194998936
208 -0.4092252732
243 -0.3990540253
324 -0.3946072110
330 -0.3801661135
354 -0.3767042984
423 -0.3702286424
478 -0.3665766788
508 -0.3601035563
516 -0.3582976990
552 -0.3564584282
595 -0.3562464179
607 -0.3541220306
641 -0.3535922879
654 -0.3516468967
728 -0.3480686035
754 -0.3469400627
771 -0.3457045161
777 -0.3449946715
780 -0.3433617694
794 -0.3361154771
817 -0.3344825750
818 -0.3325371838
837 -0.3283308393
863 -0.3263675659
898 -0.3259667519
983 -0.3236590015
1030 -0.3234011393
1047 -0.3206925748
1078 -0.3196059204
1092 -0.3157219471
1114 -0.3134141967
1153 -0.3130133827
1159 -0.3112680520
1175 -0.3093611156
1241 -0.3089519165
1294 -0.3086184725
1406 -0.3086100874
1577 -0.3074176572
1581 -0.3068991919
1632 -0.3056276836
1725 -0.3046266432
1953 -0.3036176313
2069 -0.3023770977
2131 -0.3011468075
2315 -0.2999543774
2527 -0.2993377952
4883 -0.2958600669
11429 -0.2952311771
75420 -0.2939051792
100000 -0.2950976093
evaluations raw_y
1 -0.5228320471
2 -0.4741355444
14 -0.4699603730
18 -0.4435810560
119 -0.4424816645
126 -0.4403135735
130 -0.4247941289
177 -0.4104957388
209 -0.4087822813
224 -0.4085412908
227 -0.3956712821
276 -0.3945286485
280 -0.3898130023
282 -0.3863915367
327 -0.3850556256
336 -0.3810213417
361 -0.3786867815
370 -0.3738143960
400 -0.3706975603
435 -0.3705741164
450 -0.3689522296
