evaluations raw_y
1 0.9792401097
3 1.1307100859
5 1.4376078206
17 1.4509576320
21 1.5913430936
25 1.8726591760
44 1.9215987702
68 2.0508613618
102 2.1533161068
106 2.1834061135
114 2.2502250225
123 2.3474178404
131 2.3607176582
135 2.3969319271
140 2.4015369837
144 2.4295432459
150 2.4826216485
157 2.5588536336
291 2.7442371021
383 2.7870680045
396 2.8636884307
404 2.9446407538
445 3.1766200762
513 3.2509752926
707 3.3288948069
869 3.4674063800
898 3.5161744023
1027 3.7369207773
1037 3.8402457757
2020 3.8520801233
100000 3.8520801233
evaluations raw_y
1 1.3192612137
2 1.3579576317
8 1.3958682300
16 1.4961101137
26 1.5576323988
49 1.5595757954
50 1.5974440895
54 1.7135023989
59 1.8642803878
85 2.0177562550
88 2.0475020475
95 2.1422450728
101 2.2301516503
118 2.3877745941
185 2.4975024975
239 2.5693730730
247 2.7322404372
306 2.7382256298
313 2.8571428571
323 3.0599755202
423 3.2765399738
440 3.3200531208
478 3.3467202142
573 3.3921302578
1024 3.7257824143
1192 3.7593984962
1283 4.1459369818
1301 4.2158516020
31544 4.2444821732
31689 4.4722719141
31727 4.4883303411
31955 4.6382189239
100000 4.6382189239
evaluations raw_y
1 1.4359563469
4 1.4731879788
13 1.5733165513
22 1.6223231668
36 1.7349063151
39 1.8726591760
41 2.1459227468
47 2.2421524664
53 2.2789425706
59 2.3041474654
70 2.3169601483
119 2.3786869648
121 2.4582104228
124 2.5960539979
127 2.6968716289
162 3.1055900621
206 3.1446540881
229 3.1685678074
238 3.2258064516
334 3.3200531208
5167 3.3738191633
5332 3.3829499323
5387 3.3921302578
5402 3.5360678925
5477 3.5460992908
6094 4.5372050817
100000 4.5372050817
evaluations raw_y
1 1.2297097885
2 1.2632642749
6 1.3192612137
11 1.3638843426
17 1.3653741125
21 1.6479894529
38 1.9364833462
47 2.0678246485
52 2.3430178069
75 2.5075225677
119 2.5329280648
199 2.6123301985
201 2.7502750275
206 2.8376844495
292 2.8968713789
397 3.0450669915
406 3.1133250311
759 3.2509752926
898 3.4387895461
2184 3.4867503487
2244 3.6603221083
44839 3.7481259370
44894 3.9001560062
45084 3.9246467818
45429 3.9872408293
45545 4.1322314050
45756 4.2301184433
100000 3.1685678074
evaluations raw_y
1 0.9262689885
2 0.9416195857
3 1.4228799089
28 1.5346838551
38 1.5479876161
39 1.6160310278
50 1.6789791807
79 1.7972681524
91 1.7998560115
92 1.8754688672
127 1.8896447468
158 2.0145044319
167 2.0374898126
178 2.0441537204
200 2.1385799829
241 2.2421524664
266 2.3041474654
267 2.3786869648
279 2.4875621891
294 2.6399155227
322 2.7262813522
334 2.9515938607
635 3.1210986267
717 3.1766200762
724 3.3112582781
735 3.4482758621
833 3.8880248834
926 3.9494470774
1252 4.1186161450
100000 3.5663338088
evaluations raw_y
1 0.7473841555
2 0.9100837277
3 1.1116051578
4 1.2165450122
13 1.4961101137
20 1.5216068168
27 1.5654351910
29 1.6265452180
35 1.7182130584
39 1.8102824041
47 2.0308692120
51 2.1132713440
56 2.2956841139
106 2.7203482046
129 2.7870680045
159 2.9940119760
194 3.0599755202
217 3.0826140567
225 3.1847133758
244 3.2425421530
461 3.4867503487
532 3.5161744023
570 3.6927621861
671 3.8639876352
90650 4.0916530278
100000 4.0916530278
evaluations raw_y
1 1.2001920307
3 2.0781379884
41 2.1168501270
91 2.1276595745
119 2.1987686895
122 2.2143489814
174 2.3255813953
221 2.3832221163
268 2.4925224327
279 2.4975024975
293 2.5278058645
303 2.5853154085
311 2.6123301985
327 2.6399155227
373 2.6910656620
416 2.8184892897
437 3.3025099075
537 3.4387895461
1023 3.4674063800
1071 3.5360678925
1355 3.6075036075
2115 3.6603221083
3167 3.8051750381
12446 3.9246467818
56936 3.9494470774
100000 2.4295432459
evaluations raw_y
1 0.9028530155
2 1.1820330969
6 1.2309207287
11 1.3728720483
12 1.5852885225
15 1.7793594306
46 2.1061499579
54 2.2143489814
64 2.2261798753
109 2.4485798237
118 2.4630541872
123 2.6852846402
276 2.7870680045
548 2.8312570781
583 3.2175032175
865 3.2765399738
1251 3.4106412005
1697 3.4578146611
1738 3.6284470247
2501 3.7037037037
2686 3.9619651347
100000 3.9619651347
evaluations raw_y
1 1.2153621779
2 1.4492753623
9 1.7373175817
32 1.8368846436
36 2.0610057708
51 2.4248302619
92 2.6455026455
226 2.7203482046
320 2.9036004646
407 2.9103608847
427 2.9308323564
448 2.9797377831
487 2.9868578256
556 3.0525030525
923 3.1685678074
100000 2.8184892897
evaluations raw_y
1 1.2071463061
3 1.2345679012
5 1.6567263088
24 1.8050541516
34 1.9669551534
82 2.1459227468
102 2.1795989538
144 2.2914757104
185 2.3607176582
193 2.4533856722
201 2.5075225677
365 2.6511134677
411 2.6795284030
421 2.7563395810
437 2.8968713789
688 3.0012004802
722 3.0229746070
758 3.0599755202
968 3.1605562579
1032 3.2341526520
1145 3.2594524120
1173 3.5663338088
1302 3.6603221083
1489 3.7821482602
1560 3.9872408293
100000 3.3921302578
