evaluations raw_y
1 2593.0000000000
3 2641.0000000000
5 3281.0000000000
19 3453.0000000000
21 3570.0000000000
28 3617.0000000000
46 3650.0000000000
49 3726.0000000000
73 3744.0000000000
76 3774.0000000000
79 3779.0000000000
85 3792.0000000000
86 3797.0000000000
93 3805.0000000000
95 3850.0000000000
96 3858.0000000000
103 3876.0000000000
111 3941.0000000000
113 3974.0000000000
116 4039.0000000000
129 4042.0000000000
139 4060.0000000000
140 4119.0000000000
142 4124.0000000000
145 4126.0000000000
146 4134.0000000000
147 4201.0000000000
156 4267.0000000000
166 4285.0000000000
176 4300.0000000000
179 4315.0000000000
195 4384.0000000000
215 4418.0000000000
224 4446.0000000000
228 4514.0000000000
231 4546.0000000000
242 4610.0000000000
261 4616.0000000000
264 4632.0000000000
267 4680.0000000000
281 4702.0000000000
298 4704.0000000000
304 4716.0000000000
351 4729.0000000000
471 4731.0000000000
496 4807.0000000000
536 4861.0000000000
601 4917.0000000000
656 4968.0000000000
722 4991.0000000000
821 5006.0000000000
996 5049.0000000000
1042 5050.0000000000
evaluations raw_y
1 2101.0000000000
2 2340.0000000000
4 2537.0000000000
8 2565.0000000000
12 2631.0000000000
13 2670.0000000000
15 2964.0000000000
34 3167.0000000000
46 3185.0000000000
47 3240.0000000000
55 3270.0000000000
57 3315.0000000000
60 3419.0000000000
102 3477.0000000000
106 3555.0000000000
138 3588.0000000000
152 3636.0000000000
164 3638.0000000000
173 3685.0000000000
194 3696.0000000000
196 3781.0000000000
224 3872.0000000000
225 3874.0000000000
235 3973.0000000000
277 4064.0000000000
297 4128.0000000000
299 4164.0000000000
323 4264.0000000000
342 4278.0000000000
344 4360.0000000000
352 4372.0000000000
369 4392.0000000000
373 4394.0000000000
374 4406.0000000000
380 4478.0000000000
394 4498.0000000000
396 4516.0000000000
400 4535.0000000000
412 4599.0000000000
427 4637.0000000000
458 4648.0000000000
465 4673.0000000000
478 4702.0000000000
582 4799.0000000000
613 4812.0000000000
713 4835.0000000000
743 4883.0000000000
751 4911.0000000000
756 5003.0000000000
1292 5007.0000000000
1297 5046.0000000000
1304 5050.0000000000
evaluations raw_y
1 2286.0000000000
2 2609.0000000000
5 2826.0000000000
15 2861.0000000000
20 2981.0000000000
22 3022.0000000000
24 3353.0000000000
52 3382.0000000000
67 3384.0000000000
71 3485.0000000000
79 3527.0000000000
81 3541.0000000000
85 3579.0000000000
106 3663.0000000000
