evaluations raw_y
1 0.0000000000
6 1.0000000000
32 4.0000000000
96 5.0000000000
163 11.0000000000
607 13.0000000000
880 14.0000000000
974 15.0000000000
1724 16.0000000000
1879 18.0000000000
2862 22.0000000000
2872 25.0000000000
3016 26.0000000000
3048 29.0000000000
3322 30.0000000000
3442 31.0000000000
3658 32.0000000000
4007 33.0000000000
4096 41.0000000000
4240 42.0000000000
4366 43.0000000000
4411 44.0000000000
4441 45.0000000000
4918 48.0000000000
5278 51.0000000000
5554 52.0000000000
5686 54.0000000000
5707 55.0000000000
5831 57.0000000000
5891 59.0000000000
6089 60.0000000000
6884 61.0000000000
7004 62.0000000000
7387 64.0000000000
7579 65.0000000000
7713 68.0000000000
7715 76.0000000000
7761 80.0000000000
7777 81.0000000000
7871 83.0000000000
8949 84.0000000000
8986 87.0000000000
9042 88.0000000000
9404 95.0000000000
9690 96.0000000000
10226 98.0000000000
10369 99.0000000000
11021 100.0000000000
evaluations raw_y
1 0.0000000000
212 1.0000000000
246 2.0000000000
564 4.0000000000
984 5.0000000000
1294 7.0000000000
1769 10.0000000000
1970 11.0000000000
2094 15.0000000000
2175 18.0000000000
2251 22.0000000000
2269 24.0000000000
2424 25.0000000000
2719 26.0000000000
2798 27.0000000000
3924 29.0000000000
4356 31.0000000000
4626 33.0000000000
5117 34.0000000000
5268 35.0000000000
5278 41.0000000000
5428 42.0000000000
5468 43.0000000000
5612 46.0000000000
5650 47.0000000000
5919 50.0000000000
6129 51.0000000000
6343 52.0000000000
6624 55.0000000000
6651 56.0000000000
6817 59.0000000000
7932 61.0000000000
8159 64.0000000000
8206 66.0000000000
8240 71.0000000000
8340 76.0000000000
8421 77.0000000000
8657 79.0000000000
9290 80.0000000000
9757 83.0000000000
10047 84.0000000000
10076 85.0000000000
10411 86.0000000000
10693 87.0000000000
10987 88.0000000000
11470 90.0000000000
11502 95.0000000000
12003 99.0000000000
12264 100.0000000000
evaluations raw_y
1 0.0000000000
49 1.0000000000
78 2.0000000000
139 3.0000000000
156 4.0000000000
271 5.0000000000
338 7.0000000000
419 8.0000000000
547 12.0000000000
616 13.0000000000
792 15.0000000000
899 16.0000000000
1120 17.0000000000
1174 18.0000000000
1281 19.0000000000
1440 21.0000000000
2109 23.0000000000
2317 24.0000000000
2391 27.0000000000
2467 28.0000000000
